"line id verse number","arabic text","english translation text"
"","AYE RAAT NA DHALNA KE UJAD JAYEGI ZAINAB","O NIGHT DO NOT FADE, ZAINAB WILL BE DESTROYED"
"","BHAI SE DAME SUBH BICHAR JAYEGI ZAINAB","ZAINAB WILL BE TORN AWAY FROM HER BROTHER AT DAWN"
"","SONE DE SAKINA KO KE PHIR SO NA SAKEGI","LET SAKINA SLEEP SHE WILL NOT BE BE ABLE TO SLEEP LATER"
"","RONA BHI JO CHAHEGI TO PHIR RO NA SAKEGI","EVEN IF SHE WANTS TO SHE WILL NOT BE ALLOWED TO CRY"
"","ASGHAR SE MULAQAT TO PHIR HO NA SAKEGI","SHE WILL NEVER SEE ASGHAR AGAIN"
"","GHABRAE HUWE LAAL HAI SAHMI HUI MAAYAIN","CHILDREN ARE ANXIOUS, MOTHERS ARE DISILLUSIONED"
"","JEE BHAR KE MAIN DE LOO ALI AKBAR KO DUAE","LET ME GIVE HEARTFELT DUAS TO ALI AKBAR"
"","LENA HAI ABHI AUNO- MOHAMMAD KI BALAYE","I HAVE YET TO ACCEPT THE CALAMITY OF AUN AND MUHAMMAD"
"","HAR CHAND SE BACHON KI ABHI PYAS HAI BAQI","THE INNOCENT CHILDREN ARE STILL THIRSTY"
"","KUCH ANKH ME HASRAT TO KUCH AAS HAI BAQI","THE EYES STILL WISH AND HOPE (FOR WATER) REMAINS"
"","LEKIN MERA BHAI MERA BHAI MERA ABBAS HAI BAQI","BECAUSE MY BROTHER ABBAS IS STILL ALIVE"
"","AYE RAAT BIKHAR TERE BAS ME HAI JAHA TAK","O NIGHT SCATTER AWAY AS FAR AS YOU CAN"
"","MIT JAAYE KAL ALE PAYMABAR KE NISHAN TAK","(FOR) TOMORROW ALL SIGNS OF THE PROPHET WILL BE WIPED OFF"
"","BAQI HAI YE MANZAR ALI AKBAR KI AZAAN TAK","THIS SCENE WILL ONLY REMAIN TILL ALI AKBAR'S ADHAAN"
"","BAQI HAI ABHI AALE MOHAMMAD KA SAFINA","THE SHIP OF AHLE BAIT(HUSSAIN) IS STILL ALIVE"
"","BETI KO SULANE KA HAI SHABBIR KA SINA","SHABBIR'S BOSOM IS STILL THERE FOR SAKINA TO REST"
"","JHOOLA ALI ASGHAR KA JHULATI HAI SAKINA","SAKINA IS ROCKING ALI ASGHAR'S CRADLE"
"","KAL KAUN SUNEGA YE MERI AAHO BUKA BHI","WHO WILL LISTEN TO MY PAIN AND LAMENT TOMORROW"
"","HOGA TAHE KHANJAR MERE BHAI KA GALA BHI","MY BROTHER'S THROAT WILL BE ON THE EDGE OF THE SWORD"
"","KHAIMA TO KUJA SAR PE NA HOGI YE RIDA BHI","THE TENTS WILL BE GONE AND MY HIJAB TOO"
"","AYE RAAT GHARI BHAR KO TO RAHNE DE SUKOON MAIN","O NIGHT LEAVE US IN PEACE FOR A WHILE"
"","GHIR JAYENGE NASIR MERE AADA KI SAFON MEEN","MY HELPERS WILL BE SURROUNDED BY THE RANKS OF THE ENEMY"
"","YE CHAND SE CHEHRE TO NAHA JAYENGE KHOON MEEN","THEIR INNOCENT FACES WILL BE DRENCHED IN BLOOD"
