"line id verse number","arabic text","english translation text"
"","BHAI BHAI PUKARTI RAHI MAI,\nPHIR BHI KHANJAR NAHI RUKA AMMA","I KEPT CALLING FOR MY BROTHER BUT THE DAGGER DIDN'T STOP, MOTHER"
"","SHIMR NE KI PHIR AISI GHUSTAKHI..\nMUJHSE DEKHA NAHI GAYA AMMA","I COULDN'T WATCH SHIMR'S INSOLENCE, MOTHER"
"","TUM JO ZULFE SAWARA KARTI THI\nUNHI ZULFO MEIN HAATH THA USKA\nJAHA'N BOSE DIYE THEY NANA NE","THE LOCKS OF HAIR THAT YOU USED TO BRUSH\nWERE THE SAME ONES SHIMR HELD\nWHERE THE PROPHET USED TO KISS"
"","USI GARDAN SE KHOO'N TAPAKTA THA\nSHIMR KHAIME TAK AAGAYA AMMA\nSARE SHABBIR YU UTHAYE HUE","IS THE NECK WHERE BLOOD POURED\nCARRYING THE HEAD OF HUSSAIN\nHE REACHED OUR CAMP, MOTHER"
"","DEKH KAR MUJHKO BAYN KARTE HUE\nSHIMR HAR BAAR MUSKARATA RAHA","SHIMR SAW ME LAMENT FOR HUSSAIN\nAND HE KEPT SMILING"
"","MERI NAZRO KE SAAMNE ZALIM\nWAAR GINKAR CHURI CHALATA RAHA","I WITNESSED THE OPPRESSOR\nATTACK WITH THE KNIVES\nTHERE WERE PRECISELY…"
"","HAYE 13 ZARBE THI KUND KHANJAR THA\nAUR SHABBIR KA GALA AMMA","13 SWORDS AND A DULL DAGGER\nAND HUSSAIN'S THROAT, MOTHER"
"","CHARO JANIB SE GHER RAKHA THA\nTERE NOORE NAZAR KO LASHKAR NE\nTEER BARSATA THA KOI USPAR","SURROUNDED FROM ALL 4 SIDES\nWAS THE LIGHT OF YOUR EYES\nSOME RAINED ARROWS ONTO HIM"
"","KOI PATTHAR SE MAARTA THA\nHAYE RET ZAKHMO PE WO GIRATA RAHA\nJISKO PATTHAR NAHI MILA AMMA","SOME THREW ROCKS AT HIM\nAND THOSE WHO COULDN'T FIND ROCKS POURED SAND ON HIS WOUNDS, MOTHER"
"","HAYE JAB CHALAYA THA SHIMR NE KHANJAR\nMAINE AANKO'N SE APNI DEKHA THA\nHAATH APNE UTHAKE PEHLU SE","WHEN SHIMR RAN HIS DAGGER\nI WITNESSED WITH MY OWN EYES\nYOU LIFTED YOUR HANDS"
"","HAATH APNE UTHAKE PEHLU SE\nTUNE SUKHE GALE PE RAKHA THA","YOU LIFTED YOUR HANDS\nAND PLACED THEM ON HUSSAIN'S PARCHED THROAT"
"","UNGLIYA'N ZAKHMI HOGAYI HONGI\nHAATH MUJHSE TO NAA CHUPA AMMA","YOUR FINGERS MUST BE INJURED\nDON'T HIDE YOUR HANDS FROM ME, MOTHER"
