line id verse number,arabic text,english translation text
,,
,,PLEASE REMAIN SILENT DURING  NAMAAZ
,,Du’a after Salaat for the month of Rajab
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah,
the All-merciful, the
All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Alláh bless Muhammad and the family of Muhammad.
,يَا مَنْ أَرْجُوهُ لِكُلِّ خَيْرٍ،,"O He Whom alone I hope
for all good things;"
,وآمَنُ سَخَطَهُ عِنْدَ كُلِّ شَرٍّ،,and Whose wrath I do not expect when I do wrong;
,يَا مَنْ يُعْطِي الْكَثِيرَ بِالْقَلِيلِ،,"O He Who recompenses
the little deed with very much reward;"
,يَا مَنْ يُعْطَي مَنْ سَأَلَهُ,"O He Who answers him
who begs Him;"
,يَا مَنْ يُعْطي مَنْ لَمْ يَسْأَلْهُ,"O He Who gives those
who do not ask Him"
,وَمَنْ لَمْ يَعْرِفْهُ تَحَنُّناً مِنْهُ وَرَحْمَةً،,"and do not even recognize Him out of His kindness
and mercifulness:"
,أَعْطِنِي بِمَسْأَلتِي إيَّاكَ مِنْ جَمِيعِ خَيْرِ الدُّنْيَا،,"(please do) give me, for
I pray You, the whole
welfare of this world"
,وَجَمِيعِ خَيْرِ الآخِرَةِ،,"and the whole welfare
of the Next World;"
,وَاصْرِفْ عَنّي بِمَسْألَتي إيَّاكَ,"and save me, for I
pray You,"
,جَميعَ شَرِّ الدُّنْيا وَشَرِّ الآخِرَة,"the whole evil of this
world and the Next
World"
,فَإنَّهُ غَيْرُ مَنْقُوصٍ مَا أَعْطَيْتَ،,"Verily, all that which You
give is unblemished."
,وَزِدْنِي مِنْ فَضْلِكَ يَا كَرِيمُ.,"(Please do) increase Your favours upon me, O the
All-generous."
,يَا ذَاَ الْجَلالِ وَالإكْرَامِ،,"O the Lord of Majesty
and Honor;"
,يَا ذَاَ النَّعْمَاءِ وَالْجُودِ،,O the Lord of Bliss and Magnanimity;
,يَا ذَاَ الْمَنِّ وَالطَّوْلِ,O the Lord of Favor and Munificence;
,حَرِّمْ شَيْبَتِي عَلَى النَّارِ.,"please do rescue my
white-hair beard from Hellfire."
