line id verse number,arabic text,english translation text
,,"AMAAL – E – LAYLATUL RAGHAAIB
The Night of Wishes"
,,"Hazrat
Muhammad Mustafa
(SAWS) used to fast on the first Thursday"
,,"Between Maghrib & Isha
recite 12 Rak’at namaz in
Six sets of 2 units.
In every Rak’at after
Surah al Hamd recite
3 times Surah al-Qadr &
12 times Surah an Ikhlaas"
,,"After completion of  the Namaz, recite the following invocation Seventy times"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ النَّبِيِّ اللأُمِّيِّ وَ عَلَى آلِهِ,"O Allah please send
blessings upon Muhammad, the Ummi Prophet, and
upon his Family."
,,"Go into Sujood and
recite the following Seventy times:"
,سُبُّوْحٌ قُدُّوسٌ رَبُّ الْمَلاَءِكَةِ وَ الرُّوحِ,"Glorified (is He),
Holy (is He), the Lord of
the angels and the Spirit."
,,Raise your head from Sujood and recite the following Seventy times:
,رَبِّ اغْفِرْ وَارْحَمْ وَتَجَاوَزْ عَمَّا تَعْلَمْ إِنَّكَ اَنْتَ الْعَلِيُّ الأَعْظَمُ,"O My Lord: please forgive me, have mercy upon me and overlook my wrongdoings. Surely, You are the Most
High, the Greatest."
,,"Go into Sujood and
recite the following Seventy times:"
,سُبُّوْحٌ قُدُّوسٌ رَبُّ الْمَلاَءِكَةِ وَ الرُّوحِ,"Glorified (is He),
Holy (is He), the Lord of
the angels and the Spirit."
,,Hajaat
