Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَلْحَمْدُ لِلّٰهِ الَّذِيْ لَمْ يَتَّخِذْ وَلَدًا,All praise is for Allah who has not taken a son
,وَلَمْ يَكُنْ لَهُ شَرِيكٌ فِيْ الْمُلْكِ,And has no partner in His dominion
,وَلَمْ يَكُنْ لَهُ وَلِيٌّ مِنَ الذُّلِّ,And has no protector out of weakness
,وَكَبِّرْهُ تَكْبِيرًا,And glorify Him with great glorification
,يَا عُدَّتِيْ فِيْ مُدَّتِي,O my provision in my lifetime
,يَا صَاحِبِيْ فِيْ شِدَّتِيْ,O my companion in my difficulty
,يَا وَلِيِّى فِيْ نِعْمَتِيْ,O my guardian in my blessings
,يَا غِيَاثِيْ فِيْ رَغْبَتِيْ,O my helper in my desires
,يَا نَجَاحِيْ فِيْ حَاجَتِيْ,O my success in my needs
,يَا حَافِظِيْ فِيْ غَيْبَتِيْ,O my protector in my absence
,يَا كَافِيْ فِيْ وَحْدَتِيْ,O my sufficiency in my solitude
,يَا أُنْسِيْ فِيْ وَحْشَتِيْ,O my companion in my loneliness
,أَنْتَ السَّاتِرُ عَوْرَتِيْ,You are the One who conceals my faults
,فَلَكَ الْحَمْدُ,So for You is all praise
,وَأَنْتَ الْمُقِيلُ عَثْرَتِيْ,And You are the One who forgives my mistakes
,فَلَكَ الْحَمْدُ,So for You is all praise
,وَأَنْتَ الْمُنْعِشُ صَرْعَتِيْ,And You are the One who lifts me from my fall
,فَلَكَ الْحَمْدُ,So for You is all praise
,صَلِّ عَلٰى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,Send blessings upon Muhammad and the family of Muhammad
,وَاسْتُرْ عَوْرَتِيْ,And conceal my faults
,وَ آمِنْ رَوْعَتِيْ,And calm my fears
,وَأَقِلْنِيْ عَثْرَتِيْ,And forgive my mistakes
,وَاصْفَحْ عَنْ جُرْمِيْ,And pardon my crimes
,وَتَجَاوَزْ عَنْ سَيِّئاتِيْ,And overlook my misdeeds
,فِيْ أَصْحَابِ الْجَنَّةِ,Among the companions of Paradise
,وَعْدَ الصِّدْقِ الَّذِيْ كَانُوْا يُوعَدُونَ,The promise of truth which they were promised
