Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ صَبْرَ الشَّاكِرِينَ لَكَ,"O Allah, I ask You for the patience of those who are grateful to You"
,وَعَمَلَ الْخَائِفِينَ مِنْكَ,And the deeds of those who fear You
,وَيَقِينَ الْعَابِدِيْنَ لَكَ,And the certainty of those who worship You
,اَللّٰهُمَّ أَنْتَ الْعَلِيُّ الْعَظِيمُ,"O Allah, You are the Most High, the Most Great"
,وَأَنَا عَبْدُكَ الْبَائِسُ الْفَقِيرُ,"And I am Your servant, wretched and poor"
,أَنْتَ الْغَنِيُّ الْحَمِيدُ,"You are the Self-Sufficient, the Praiseworthy"
,وَأَنَا الْعَبْدُ الذَّلِيلُ,And I am the humble servant
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِهِ,"O Allah, send blessings upon Muhammad and his family"
,وَامْنُنْ بِغِنَاكَ عَلٰى فَقْرِيْ,And bestow Your wealth upon my poverty
,وَبِحِلْمِكَ عَلٰى جَهْلِيْ,And Your forbearance upon my ignorance
,وَبِقُوَّتِكَ عَلٰى ضَعْفِيْ,And Your strength upon my weakness
,يَا قَوِيُّ يَا عَزِيزُ,"O Powerful, O Mighty"
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِهِ,"O Allah, send blessings upon Muhammad and his family"
,اَلْأَوْصِيَاءِ الْمَرْضِيِّينَ,"The successors, the ones with whom You are pleased"
,وَاكْفِنِيْ مَا أَهَمَّنِيْ مِنْ أَمْرِ الدُّنْيَا وَالْآخِرَةِ,And suffice me in what concerns me from the affairs of this world and the hereafter
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of those who show mercy
