line id verse number,arabic text,english translation text
,,"Dua “Allahummaqsim lana min khashyatik”
Tofatus Saaemeen p347c/p341c"
,,"In this dua, as ask Allah (SWT) to put the fear of his greatness in us so that we not disobey him as our disobedience keeps us away from reaching his pleasure."
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,Oh Allah bless Muhammad and the family of Muhammad.
,اللّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ,Oh Allah: (please do) grant us an amount of fearfulness of You
,مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعْصِيَتِكَ،,that prevents us from committing acts of disobedience to You;
,وَمِنْ طَاعَتِكَ مَا تُبَلِّغُنَا بِهِ رِضْوَانَكَ،,and an amount of obedience to You that makes us attain Your satisfaction;
,وَمِنَ الْيَقِينِ مَا يَهُونُ عَلَيْنَا بِهِ مُصِيبَاتُ الدُّنْيَا.,and an amount of conviction that help us tolerate the vicissitudes of this worldly life.
,اللّهُمَّ أَمْتِعْنَا بِأَسْمَاعِنَا وَأَبْصَارِنَا وَقُوَّتِنَا,"Oh Allah: (please do) make us enjoy our hearings, sights, and powers"
,مَا أَحْيَيْتَنَا وَاجْعَلْهُ الْوَارِثَ مِنَّا،,so long as You decide to keep us alive; and (please do) make it the inheritor of us.
,وَاجْعَلْ ثأْرَنَا عَلَى مَنْ ظَلَمَنَا،,And (please do) make us avenge ourselves against them who wrong us;
,وَانْصُرْنَا عَلَى مَنْ عَادَانَا،,and back us against them who antagonize us;
,وَلا تَجْعَلْ مُصِيبَتَنَا فِي دِينِنَا،,and do not suffer misfortunes in affairs of our religion;
,وَلا تَجْعَلِ الدُّنْيَا أَكْبَرَ هَمِّنَا وَلا مَبْلَغَ عِلْمِنَا،,and do not make our worldly affairs happen to be our greatest concern or our utmost knowledge;
,وَلا تُسَلِّطْ عَلَيْنَا مَنْ لا يَرْحَمُنَا،,"and do not set him who does not have mercy upon us, as master over us;"
,بِرَحْمَتِكَ يَا أَرْحَمَ الرَّاحِمِينَ.,in the name of Your mercy; Oh the most Merciful of all those who show mercy.
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,Oh Allah bless Muhammad and the family of Muhammad.
