line id verse number,arabic text,english translation text
,,"Raise your head from Sajdah
and go back into Sajdah"
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,Oh Allah bless Muhammad and the family of Muhammad.
,أَعُوذُ بِنُورِ وَجْهِكَ الَّذِي أَضَاءَتْ لَهُ السَّمَاوَاتُ وَالأَرَضُونَ,I seek the protection of the light of Your Face that has lit the heavens and the earth
,وَانْكَشَفَتْ لَهُ الظُّلُمَاتُ,and has removed all darkness
,وَصَلَحَ عَلَيْهِ أَمْرُ الأَوَّلِينَ وَالآخِرِينَ,and has made active all the affairs of the past and the coming generations
,مِنْ فُجْأَةِ نَقِمَتِكَ,against Your sudden chastisement
,وَمِنْ تَحْوِيلِ عَافِيَتِكَ,and against withdrawing the good health that You have granted me
,وَمِنْ زَوَالِ نِعْمَتِكَ.,and against the vanishing of Your bounties.
,اللّهُمَّ ارْزُقْنِي قَلْباً تَقِيّاً نَقِيّاً,"Oh Allah: (please) grant me a heart that is pious and pure,"
,وَمِنَ الشِّرْكِ بَرِيئاً,"and is released from polytheism,"
,لا كَافِراً وَلا شَقِيّاً.,and is neither atheist nor unhappy.
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,Oh Allah bless Muhammad and the family of Muhammad.
