line id verse number,arabic text,english translation text
,,"Salawat taught By
Imam Zainul Abideen (A.S.)
Mafateeh Al Jinaan (pg. 156)"
,اللهم صلي على محمد وآل محمد,"O Alláh send Your blessings on
Muhammad and the family of Muhammad."
,بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِِ,"In the name of Alláh,
the Beneficent, the Merciful."
,شجرة النبوة,the tree of prophet hood
,وموضع الرسالة,"and the abode of Your Messages,"
,ومختلف الملائكة,"the place of visits of the angels,"
,ومعدن العلم,the mine of Your Knowledge
,وأهل بيت الوحي.,and the people of the Holy House of revelation.
,اللهم صلي على محمد وآل محمد الفلك الجارية,O` Allah I bestow Your blessing on Mohammad and his progeny who are a boat sailing
,في اللجج الغامرة,in the deep waters of fathomless sea.
,يأمن من ركبها,Safe is he who boarded it
,ويغرق من تركها,and drowned is he who discarded it.
,المتقدم لهم مارق,Those who went ahead of them were misled
,والمتأخر عنهم زاهق,and those legged behind them were ruined
,واللازم له لاحق .,and those who adhered to them were united with them.
,اللهم صلي على محمد وآل محمد الكهف الحصين,"O` Allah! Bless Mohammad and his progeny who are the strong refuge,"
,وغياث المضطر المستكين,"rescue for the distressed and the helpless,"
,وملجأ الهاربين,shelter for the fugitives
,وعصمة المعتصمين .,and the protection of the seekers of protection.
,اللهم صلي على محمد وآل محمد صلاة كثيرة,O` Allah! Bless Mohammad and his Progeny with plenty of Your blessings
,تكون لهم رضا ولحق محمد وآل محمد أداء وقضاء,which should please them and for Mohammad and his family a fulfillment of obligation and its conclusion.
,بحول منك وقوة يا رب العالمين.,"By Your strength and might,
O` the Lord of the Worlds!"
,اللهم صلي على محمد وآل محمد الطيبين الأبرار الأخيار,"O` Allah! Bless Mohammad and his progeny, the pure, the virtuous, the good."
,الذين أوجبت حقوقهم,whose rights You have made obligatory
,وفرضت طاعتهم وولايتهم .,And made incumbent their obedience and acknowledge their mastership.
,اللهم صلي على محمد وآل محمد واعمر قلبي بطاعتك,"O` Allah! Bless Mohammad and his progeny and fill my heart with Your obedience,"
,ولا تخزني بمعصيتك وارزقني مواساة من قترت عليه من رزقك,Do not humiliate me with Your disobedience and grant me compassion for the one whom You have given less of Your sustenance
,بما وسعت علي من فضلك,"through what You have granted me of Your grace,"
,ونشرت علي من عدلك,"And spread for me of Your justice,"
,وأحييتني تحت ظلك,And have kept me alive under Your Protection.
,وهذا شهر نبيك سيد رسلك,"This is the month of Your Prophet
The Chief of Your Messengers,"
,شعبان,"Sha’ban,"
,الذي حففته منك بالرحمة والرضوان,"Which You have lightened (the burden)
by Your mercy and pleasure,"
,الذي كان رسول الله صلى الله عليه وآله يدأب لك في صيامه وقيامه,"in which the Messenger of Allah blessings of Allah be on him and his family, persevered in fasting and standing up (in worship)"
,في لياليه وأيامه,"During its night and days,"
,بخوعا لك في إكرامه وإعظامه,"Favorable with You in giving it (Sha’ban) its (due) respect and honor,"
,إلى محل حمامه,till his last breath.
,اللهم فأعنا على الاستنان بسنته فيه,"O Allah, so help us to follow his ways in it,"
,ونيل الشفاعة لديه,and achieve his intercession.
,اللهم واجعله لي شفيعا مشفعا,"O Allah, make him for me,
an intercessor, a medium
(one whose intercession is accepted)"
,وطريقا إليك مهيعا,"A smooth path towards You,"
,واجعلني له متبعا,"Make me from his followers,"
,حتى ألقاك يوم القيامة عني راضيا,"until I meet you on the day of Judgement and You are pleased with me,"
,وعن ذنوبي غاضيا,"overlooking my sins,"
,قد أوجبت لي منك الرحمة والرضوان,"awarding me from You,
mercy and pleasure"
,وأنزلتني دار القرار,"And sending me to the eternal home,"
,ومحل الأخيار.,and place of the best
,اللهم صلي على محمد وآل محمد,"O Alláh send Your blessings on
Muhammad and the family of Muhammad."
