Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ إِنِّي إِلَيْكَ فَقِيرٌ,"O Allah, indeed I am needy of You"
,وَمِنْ عَذَابِكَ خَائِفٌ مُسْتَجِيرٌ,"And I am fearful of Your punishment, seeking Your protection"
,اَللّٰهُمَّ لَاتُبَدِّلْ اِسْمِيْ,"O Allah, do not change my name"
,وَلَا تُغَيِّرْ جِسْمِيْ,And do not transform my body
,وَلَا تَجْهَدْ بَلائِيْ,And do not intensify my afflictions
,وَلَا تُشْمِتْ بِىْ أَعْدَائِيْ,And do not let my enemies rejoice at my misfortune
,أَعُوذُ بِعَفْوِكَ مِنْ عِقَابِكَ,I seek refuge in Your forgiveness from Your punishment
,وَأَعُوذُ بِرَحْمَتِكَ مِنْ عَذَابِكَ,And I seek refuge in Your mercy from Your torment
,وَأَعُوذُ بِرِضَاكَ مِنْ سَخَطِكَ,And I seek refuge in Your pleasure from Your displeasure
,وَأَعُوذُ بِكَ مِنْكَ,And I seek refuge in You from You
,جَلَّ ثَنَاؤُكَ,Exalted is Your praise
,أَنْتَ كَمَا أَثْنَيْتَ عَلٰى نَفْسِكَ,You are as You have praised Yourself
,وَفَوْقَ مَا يَقُولُ الْقَائِلُونَ,And above what any speaker can express
