Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ إِنَّ هٰذَا الشَّهْرَ الْمُبَارَكَ,"O Allah, this blessed month"
,اَلَّذِيْ أُنْزِلَ فِيهِ الْقُرْآنُ,In which the Quran was revealed
,وَجُعِلَ هُدًى لِلنَّاسِ,And was made as guidance for mankind
,وَبَيِّنَاتٍ مِنَ الْهُدىٰ وَالْفُرْقَانِ,And clear proofs of guidance and distinction
,قَدْ حَضَرَ,Has arrived
,فَسَلِّمْنَا فِيهِ,So make us safe in it
,وَسَلِّمْهُ لَنَا,And preserve it for us
,وَتَسَلَّمْهُ مِنَّا فِيْ يُسْرٍ مِنْكَ وَعَافِيَةٍ,And accept it from us with ease from You and well-being
,يَا مَنْ أَخَذَ الْقَلِيلَ وَشَكَرَ الْكَثِيرَ,O You who accepts little and gives thanks abundantly
,اِقْبَلْ مِنِّي الْيَسِيرَ,Accept from me what is little
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ,"O Allah, I ask You"
,أَنْ تَجْعَلَ لِيْ إِلٰى كُلِّ خَيْرٍ سَبِيلًا,To make for me a way to every goodness
,وَمِنْ كُلِّ مَا لَاتُحِبُّ مَانِعًا,And to prevent me from everything You dislike
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of those who show mercy
,يَا مَنْ عَفَا عَنِّيْ وَعَمَّا خَلَوْتُ بِهِ مِنَ السَّيِّئاتِ,O You who pardoned me and what I committed in private of sins
,يَا مَنْ لَمْ يُؤاخِذْنِيْ بِارْتِكَابِ الْمَعَاصِيْ,O You who did not hold me accountable for committing disobedience
,عَفْوَكَ عَفْوَكَ عَفْوَكَ يَا كَرِيمُ,"Your pardon, Your pardon, Your pardon, O Generous One"
,إِلٰهِيْ وَعَظْتَنِيْ فَلَمْ أَتَّعِظْ,"My God, You admonished me but I did not take heed"
