line id verse number,arabic text,english translation text
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,أَلْحَمْدُ لِلّهِ,"Praise belongs to ALLAH,"
,الاَوَّلِ قَبْلَ الانْشآءِ وَالاحْيآءِ,"the First before the bringing forth and the giving of life,"
,وَالاخِرِ بَعْدَ فَنآءِ الاَشْيَآءِ,"and the Last after the annihilation of all things,"
,الْعَلِيمِ الَّذِي,the All-knowing who
,لا يَنْسَى مَنْ ذَكَرَهُ,"forgets not him who remembers Him,"
,وَلا يَنْقُصُ مَنْ شَكَرَه,"decreases not him who thanks Him,"
,وَلا يُخَيِّبُ مَنْ دَعاهُ,"disappoints not him who supplicates Him,"
,وَلا يَقْطَعُ رَجآءَ مَنْ رَجاهُ,and cuts not off the hope of him who hopes in Him!
,أَللَّهُمَّ إنِّي أُشْهِدُكَ وَكَفى بِكَ شَهِيداً،,"O ALLAH, I call Thee to witness and Thou art sufficient witness…"
,وَأُشْهِدُ جَمِيعَ مَلائِكَتِكَ,"...I call to witness all Thy angels,"
,وَسُكَّانَ سَمواتِكَ، وَحَمَلَةَ عَرْشِكَ،,"the inhabitants of Thy heavens, the bearers of Thy Throne,"
,وَمَنْ بَعَثْتَ مِنْ أَنْبِيآئِكَ وَرُسُلِكَ,"Thy prophets and Thy messengers whom Thou hast sent out,"
,وَأَنْشَأْتَ مِنْ أَصْنافِ خَلْقِكَ،,"and the various kinds of creatures Thou hast brought forth,"
,أَنِّي أَشْهَدُ أَنَّكَ أَنْتَ اللَّهُ لا إلهَ إلاَّ أَنْتَ,"that I bear witness that Thou art ALLAH; there is no god but Thou,"
,وَحْدَكَ لاَ شَرِيكَ لَكَ،,"Thou alone, who hast no associate nor any equal,"
,وَلا عَدِيلَ وَلا خُلْفَ لِقَوْلِكَ وَلا تَبْدِيْلَ,"and Thy word has no failing, nor any change;"
,وَأَنَّ مُحَمَّداً صَلَّى اللَّهُ عَلَيْهِ وآلِهِ عَبْدُكَ وَرَسُولُكَ،,and that MUHAMMAD (ALLAH bless him and his Household) is Thy servant and Thy messenger;
,أَدَّى ما حَمَّلْتَهُ إلَى الْعِبادِ،,"he delivered to the servants that with which Thou charged him,"
,وَجاهَدَ فِي اللَّهِ (عَزَّوَجَلَ خَ لَ) حَقَّ الْجِهادِ،,"he struggled for ALLAH as is His due,"
,وَأَنَّهُ بَشَّرَ بِما هُوَ حَقٌّ مِنَ الثَّوابِ،,"he gave the good news of the truth of reward,"
,وَأَنْذَرَ بِما هُوَ صِدْقٌ مِنَ الْعِقابِ.,and he warned of the veracity of punishment.
,أَللَّهُمَّ ثَبِّتْنِي عَلى دِينِكَ ما أَحْيَيْتَنِي،,"O Allah, make me firm in Thy religion as long as Thou keepest me alive,"
,وَلا تُزِغْ قَلْبِي بَعْدَ إذْ هَدَيْتَنِي،,"make not my heart to swerve after Thou hast guided me,"
,وَهَبْ لِي مِنْ لَدُنْكَ رَحْمَة إنَّكَ أَنْتَ الْوَهَّابُ،,"and give me mercy from Thee, surely Thou art the Giver."
,صَلِّ عَلَى مُحَمَّد وَآلِ مُحَمَّد ً،,"Bless MUHAMMAD and the Household of MUHAMMAD,"
,وَاجْعَلْنِي مِنْ أَتْباعِهِ وَشِيعَتِهِ وَاحْشُرْنِي فِي زُمْرَتِهِ,"make me one of his followers and his partisans, muster me in his band,"
,وَفِّقْنِي لاَداءِ فَرْضِ الْجُمُعاتِ,"and give me the success of accomplishing the obligatory observance of Friday,"
,وَما أَوْجَبْتَ عَلَيَّ فِيها مِنَ الطَّاعاتِ،,"performing the acts of obedience which Thou has made incumbent upon me within it,"
,وَقَسَمْتَ لِاَهْلِها مِنَ الْعَطآءِ فِي يَوْمِ الْجَزآءِ،,[receiving] the bestowal which Thou hast apportioned for its people on the Day of Recompense!
,إنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ.,Surely Thou art Might wise!
