line id verse number,arabic text,english translation text
,,Tasbih 2
,بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,وَالْحَمْدُ للهِ قَبْلَ كُلِّ اَحَد,"Praise be to Allah
Before everyone (praises Him)."
,وَالْحَمْدُ للهِ بَعْدَ كُلِّ اَحَد,"Praise be to Allah
After everyone (praises Him)."
,وَالْحَمْدُ للهِ مَعَ كُلِّ اَحَد,"Praise be to Allah
When everyone (praises Him)"
,وَالْحَمْدُ للهِ يَبْقى رَبُّنا ويَفْنى كُلُّ وأحَد,"Praise be to Allah
Everlasting Forever is our Lord and everyone passes away."
,وَالْحَمْدُ للهِ حمد يَفْضُلُ حمد الْحامدينَ حمد كَثيراً قَبْلَ كُلِّ اَحَد,"Praise be to Allah
The glorification of the glorifiers exalts His glory. Immeasurably exalted is His glory, before everyone (exalts Him)."
,وَالْحَمْدُ للهِ حمد يَفْضُلُ حمد الْحامدينَ حمد كَثيراً بَعْدَ كُلِّ اَحَد,"Praise be to Allah
The glorification of the glorifiers exalts His glory, immeasurably exalted is His glory, after everyone (exalts Him)."
,وَالْحَمْدُ للهِ حمد يَفْضُلُ حمد الْحامدينَ حمد كَثيراً مَعَ كُلِّ اَحَد,"Praise be to Allah
The glorification of the glorifiers exalts His glory, immeasurably exalted is His glory, when everyone (exalts Him)."
,وَالْحَمْدُ للهِ حمد يَفْضُلُ حمد الْحامدينَ حمد كَثيراً لِرَبِّنَا الْباقى وَيَفْنى كُلِّ اَحَد,"Praise be to Allah
The glorification of the glorifiers exalts His glory; immeasurably exalted is the glory of our Everlasting Lord, Nourisher, and everyone passes away."
,وَالْحَمْدُ للهِ حمد لا يُحْصى وَلا يُدْرى وَلا يُنْسى وَلا يَبْلى وَلا يَفْنى وَلَيْسَ لَهُ مُنْتَهى,"Praise be to Allah
Glory which is, Immeasurable, Unperceivable, Unforgettable, Imperishable, Indestructible, and there is no end to it"
,وَالْحَمْدُ للهِ تَحميدا يَدوُمُ بِدَوامِهِ وَيَبْقى بِبَقآئِهِ فى سِنِى الْعالَمينَ وَشُهوُرِ الدُّهوُرِ وَاَيّامِ الدُّنْيا وَساعاتِ اللَّيْلِ وَالنَّهارِ,"Praise be to AllahEverlasting duration of His glory makes His glorification eternal, continuous existence of His glory keeps His glorification alive for ever, throughout the cosmic ages, months all through the centuries, days passing by in tHis world, and every moment of the nights and days."
,وَالْحَمْدُ للهِ اَبَدَ الاَْبَدِ وَمَعَ الاَْبَدِ مِمّا لا يُحْصيهِ الْعَدَدُ وَلا يُفْنيهِ الاَْمَدُ وَلا يَقْطَعُهُ الاَْبَدُ,"Praise be to Allah
Never-ending glorification along with ever eternal glory, which neither can be counted in addition, nor can be terminated into an end, nor can ever be discontinued"
,وَتَبارَكَ اللهُ اَحْسَنُ الْخالِقينَ,"be praised and hallowed in Allah, the Best Creator"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
