line id verse number,arabic text,english translation text
,,Dua “Allaahumma Inni  As-aluka Yaa Man Huwa Aqrabu - -” (Mafatul Jinan pg. 259)
,بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,اَللّـهُمَّ اِنّى اَسْاَلُكَ يا مَنْ هُوَ اَقْرَبُ اِلَىَّ مِنْ حَبْلِ الْوَريدِ,O Allah I beseech Thee. O He who is nearer than my jugular vein.
,يا مَنْ يَحوُلُ بَيْنَ الْمَرْءِ وَقَلْبِهِ,O He who intervenes between the body and the soul.
,يا مَنْ هُوَ بِالْمَنْظَرِ الاَْعْلى وَبِالاُْفُقِ الْمُبينِ,O He who is in the heavenly heights; and true horizons.
,يا مَنْ هُوَ الرَّحْمنُ عَلَى الْعَرْشِ اسْتَوى,He who is Beneficent on the established A’rsh.
,يا مَنْ لَيْسَ كَمِثْلِهِ شَىْءٌ وَهُوَ السَّميعُ الْبَصيرُ,"O He like unto whom there is nothing and He is Hearing, Seeing."
,اَسْاَلُكَ اَنْ تُصَلِّىَ عَلى مُحَمَّد وَآلِ مُحَمَّد,I ask Thee to send blessing on Muhammad and on the children of Muhammad.
,,Hajaat
