line id verse number,arabic text,english translation text
,,Dua “Allahumma Man Ta’abba Wa Tahayya’a- - -” (Mafatul Jinan Pg 32)
,بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,اَللّـهُمَّ مَنْ تَعَبَّأَ وَتَهَيّأَ,"O my Allah! Many a man takes pain, makes compromises"
,وَاَعَدَّ وَاسْتَعَدَّ لِوِفادَة اِلى مَخْلُوق,"comes to terms, to draw attention of other men in hope of profit and gain"
,رَجاءَ رِفْدِهِ,kindness and indulgence
,وَطَلَبَ نائِلِهِ وَجائِزَتِهِ,"seeking Thy favors, making a request for Thy indulgence and kindness"
,فَاِلَيْكَ يا رَبِّ تَعْبِيَتى,"O Lord, I turn to for fitness and maturity"
,وَاسْتِعْدادي رَجاءَ عَفْوِكَ,because Thou does not dismiss praying suppliant
,وَطَلَبَ نائِلِكَ وَجائِزَتِكَ,making a request for Thy indulgence and kindness
,فَلا تُخَيِّبْ دُعائي,Because Thou does not dismiss praying supplicant
,يا مَنْ لا يَخيبُ عَلَيْهِ سائِلٌ,O He who does not send away any destitute disappointed
,وَلا يَنْقُصُهُ نائِلٌ,nor is ever at a disadvantage because of extravagance (giving with out restraint)
,فَاِنّي لَمْ آتِكَ ثِقَةً بِعَمَل صالِح عَمِلْتُهُ,Surely I have come to Thee with no good deeds to rely upon
,وَلا لِوِفادَةِ مَخْلُوق,but I never go to others to draw their attention
,رَجَوْتُهُ اَتَيْتُكَ,I have come to Thee
,مُقِرّاً عَلى نَفْسي بِالاِْساءةِ وَالظُّلْمِ,"bitter and sour on account of vain desires, sad and desolate"
,مُعْتَرِفاً بِاَنْ لا حُجَّةَ لي,ashamed of my guilt
,وَلا عُذْرَ اَتَيْتُكَ اَرْجُو عَظيمَ عَفْوِكَ,Without any excuse or argument I have come to Thee to make a request for Thy lenient method
,الَّذى عَفَوْتَ (عَلَوْتَ) بِهِ (عَلى) عَنِ الْخاطِئينَ,Thou uses to deal with wrongdoers
,فَلَمْ يَمْنَعْكَ طُولُ عُكُوفِهِمْ,because prolonged fascination
,عَلى عَظيمِ الْجُرْمِ,for an artificial life
,اَنْ عُدْتَ عَلَيْهِمْ بِالرَّحْمَةِ,does not make Thee withdraw Thy mercy
