line id verse number,arabic text,english translation text
,,Dua Arafah of Imam Hussain (AS)
,بِسْمِ اللهِ الرَّحْمنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,اَلْحَمْدُ لِلَّهِ ٱلَّذِي لَيْسَ لِقَضَائِهِ دَافِعٌ,"Praise be to Allah Whose determination cannot be repelled by anything,"
,وَلاَ لِعَطَائِهِ مَانِعٌ,"Whose gifts cannot be stopped by anything,"
,وَلاَ كَصُنْعِهِ صُنْعُ صَانِعٍ,and Whose making cannot be resembled by the making of anyone.
,وَهُوَ ٱلْجَوَادُ ٱلْوَاسِعُ,"He is the All-magnanimous, the All-liberal."
,فَطَرَ أَجْنَاسَ ٱلْبَدَائِعِ,He originated the genus of the wonderfully created things
,وَأَتْقَنَ بِحِكْمَتِهِ ٱلصَّنَائِعَ,and He perfected the made things by His wisdom.
,لا تَخْفَىٰ عَلَيْهِ ٱلطَّلاَئِعُ,All growing things cannot be hidden from Him
,وَلاَ تَضِيعُ عِنْدَهُ ٱلْوَدَائِعُ,and all things deposited with Him shall never be wasted.
,جَازِي كُلِّ صَانِعٍ,"He is the Repayer on every deed,"
,وَرَايِشُ كُلِّ قَانِعٍ,"the Enricher of every satisfied one,"
,وَرَاحِمُ كُلِّ ضَارِعٍ,"the Merciful toward every suppliant,"
,وَمُنْزِلُ ٱلْمَنَافِعِ,and the Revealer of the benefits
,وَٱلْكِتَابِ ٱلْجَامِعِ بِٱلنُّورِ ٱلسَّاطِعِ,and the All-comprehensive Book with the glaring light.
,وَهُوَ لِلدَّعَوَاتِ سَامِعٌ,"He is also the Hearer of prayers,"
,وَلِلْكُرُبَاتِ دَافِعٌ,"the Warder-off of anguishes,"
,وَلِلدَّرَجَاتِ رَافِعٌ,"the Raiser of ranks,"
,وَلِلْجَبَابِرَةِ قَامِعٌ,and the Suppressor of the tyrants.
,فَلاَ إِلٰهَ غَيْرُهُ,There is no god other than Him
,وَلاَ شَيْءَ يَعْدِلُهُ,and there is nothing equivalent to Him
,وَلَيْسَ كَمِثْلِهِ شَيْءٌ,"and nothing like a likeness of Him,"
,وَهُوَ ٱلسَّمِيعُ ٱلْبَصِيرُ,"and He is the All-hearing, the All-seeing,"
,ٱللَّطِيفُ ٱلْخَبِيرُ,"the All-gentle, the All-aware,"
,وَهُوَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,and He has power over all things.
,اَللَّهُمَّ إِنِّي أَرْغَبُ إِلَيْكَ,"O Allah, I willingly desire for You"
,وَأَشْهَدُ بِٱلرُّبُوبِيَّةِ لَكَ,"and I testify to the Lordship of You,"
,مُقِرّاً بِأَنَّكَ رَبِّي,confessing that You are verily my Lord
,وَأَنَّ إِلَيْكَ مَرَدِّي,and to You shall be my return.
,اِبْتَدَأْتَنِي بِنِعْمَتِكَ,You had begun bestowing on me
,قَبْلَ أَنْ أَكُونَ شَيْئاً مَذْكُوراً,"before I was anything worth mentioning,"
,وَخَلَقْتَنِي مِنَ ٱلتُّرَابِ,and You created me from dust.
,ثُمَّ أَسْكَنْتَنِي ٱلأَصْلاَبَ,"You then put me up in the loins,"
,آمِناً لِرَيْبِ ٱلْمَنُونِ,"(making me) saved from vicissitudes of time,"
,وَٱخْتِلافِ ٱلدُّهُورِ وَٱلسِّنِينَ,and change of ages and years.
,فَلَمْ أَزَلْ ظَاعِناً مِنْ صُلْبٍ إِلَىٰ رَحِمٍ,I was moving from a loin to a womb
,فِي تَقَادُمٍ مِنَ ٱلأَيَّامِ ٱلْمَاضِيَةِ,throughout the passage of the past days
,وَٱلْقُرُونِ ٱلْخَالِيَةِ,and the ancient ages;
,لَمْ تُخْرِجْنِي لِرَأْفَتِكَ بِي,"as You have not taken me out (to this world)—on account of Your sympathy to me,"
,وَلُطْفِكَ لِي,"Your kindness to me,"
,وَإِحْسَانِكَ إِلَيَّ,and Your compassion to me—
,فِي دَوْلَةِ أَئِمَّةِ ٱلْكُفْرِ,in the government of the heads of unbelief
,ٱلَّذِينَ نَقَضُوٱ عَهْدَكَ,who breached their covenant with You
,وَكَذَّبُوٱ رُسُلَكَ,and denied Your messengers.
