line id verse number,arabic text,english translation text
,,Ziyarat-e-Jamia Sagheer
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,اَلسَّلاَمُ عَلَى أَوْلِيَاءِ اللَّهِ وَ أَصْفِيَائِهِ,"Peace be on the sincere adherents of Allah, who are also His exceptional favourites,"
,السَّلاَمُ عَلَى أُمَنَاءِ اللَّهِ وَ أَحِبَّائِهِ,"Peace be on the trustees of Allah, who are also His dearest friends,"
,السَّلاَمُ عَلَى أَنْصَارِ اللَّهِ وَ خُلَفَائِهِ,"Peace be on the supporters of Allah, who are also His representatives,"
,السَّلاَمُ عَلَى مَحَالِّ مَعْرِفَةِ اللَّهِ,"Peace be on the medium of the awareness of Allah,"
,السَّلاَمُ عَلَى مَسَاكِنِ ذِكْرِ اللَّهِ,"Peace be on the centre of the remembrance of Allah,"
,السَّلاَمُ عَلَى مُظْهِرِي أَمْرِ اللَّهِ وَ نَهْيِهِ,"Peace be on (you) who make clear His lawful and unlawful,"
,السَّلاَمُ عَلَى الدُّعَاةِ إِلَى اللَّهِ,"Peace be on (you) who invite mankind unto Allah,"
,السَّلاَمُ عَلَى الْمُسْتَقِرِّينَ فِي مَرْضَاةِ اللَّهِ,"Peace be on (you) who occupy and supervise the centre through which Allah's pleasure is routed,"
,السَّلاَمُ عَلَى الْمُخْلِصِينَ فِي طَاعَةِ اللَّهِ,"Peace be on (you) who truly obey and serve Allah,"
,السَّلاَمُ عَلَى الْأَدِلاَّءِ عَلَى اللَّهِ,"Peace be on (you) who show the right path leading unto Allah,"
,السَّلاَمُ عَلَى الَّذِينَ مَنْ وَالاَهُمْ فَقَدْ وَالَى اللَّهَ,"Peace be on (you) whom whoever befriends, in fact, makes friends with Allah,"
,وَ مَنْ عَادَاهُمْ فَقَدْ عَادَى اللَّهَ,"Whom whosoever opposes, in fact, runs counter to Allah,"
,وَ مَنْ عَرَفَهُمْ فَقَدْ عَرَفَ اللَّهَ,"Whom whosoever understands, in fact, recognizes Allah,"
,وَ مَنْ جَهِلَهُمْ فَقَدْ جَهِلَ اللَّهَ,"Whom whosoever passes over, in fact, ignores Allah,"
,وَ مَنِ اعْتَصَمَ بِهِمْ فَقَدِ اعْتَصَمَ بِاللَّهِ,"Whom whosoever defends, in fact, supports Allah,"
,وَ مَنْ تَخَلَّى مِنْهُمْ فَقَدْ تَخَلَّى مِنَ اللَّهِ عَزَّ وَ جَلَ,"Whom whoso deserts, in fact, abandons the Almighty Allah."
,وَ أُشْهِدُ اللَّهَ أَنِّي سِلْمٌ لِمَنْ سَالَمْتُمْ,"I request Allah to vouch for me that I make peace with those who are at peace with you,"
,وَ حَرْبٌ لِمَنْ حَارَبْتُمْ,"Make war upon those who declare war on you,"
,مُؤْمِنٌ بِسِرِّكُمْ وَ عَلاَنِيَتِكُمْ,"I believe in that which is concealed and in that which is evident concerning you,"
,مُفَوِّضٌ فِي ذَلِكَ كُلِّهِ إِلَيْكُمْ,I give total control of my affairs in your hands.
,لَعَنَ اللَّهُ عَدُوَّ آلِ مُحَمَّدٍ مِنَ الْجِنِّ وَ الْإِنْسِ,"May Allah curse the enemies of the household of Muhammad, be they jinn or men,"
,وَ أَبْرَأُ إِلَى اللَّهِ مِنْهُمْ,"I disconnect all links with them and turn to Allah,"
,وَ صَلَّى اللَّهُ عَلَى مُحَمَّدٍ وَ آلِه,Allah's blessings be on Muhammad and on his children.
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
