Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ بِحَقِّ مُحَمَّدٍ نَبِيِّكَ,"O Allah, I ask You by the right of Muhammad, Your Prophet"
,وَعَلِيٍّ وَلِيِّكَ,"And Ali, Your Guardian"
,وَالشَّأْنِ وَالْقَدْرِ الَّذِيْ خَصَصْتَهُمَا بِهِ دُوْنَ خَلْقِكَ,And by the status and honor that You have exclusively given them above Your creation
,أَنْ تُصَلِّيَ عَلٰى مُحَمَّدٍ وَعَلِيٍّ,To send blessings upon Muhammad and Ali
,وَأَنْ تَبْدَأَ بِهِمَا فِيْ كُلِّ خَيْرٍ عَاجِلٍ,And to begin with them in every immediate good
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَلْأَئِمَّةِ الْقَادَةِ,The guiding Imams
,وَالدُّعَاةِ السَّادَةِ,The calling masters
,وَالنُّجُومِ الزَّاهِرَةِ,The brilliant stars
,وَالْأَعْلاَمِ الْبَاهِرَةِ,The radiant symbols
,وَسَاسَةِ الْعِبَادِ,The caretakers of the servants
,وَأَرْكَانِ الْبِلادِ,The pillars of the lands
,وَالنَّاقَةِ الْمُرْسَلَةِ,The sent she-camel
,وَالسَّفِينَةِ النَّاجِيَةِ,The saving ark
,اَلْجَارِيَةِ فِيْ اللُّجَجِ الْغَامِرَةِ,Sailing through the overwhelming depths
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,خُزَّانِ عِلْمِكَ,The treasurers of Your knowledge
,وَأَرْكَانِ تَوْحِيدِكَ,The pillars of Your Oneness
,وَدَعَائِمِ دِينِكَ,The supports of Your religion
,وَمَعَادِنِ كَرَامَتِكَ,The mines of Your generosity
,وَصَفْوَتِكَ مِنْ بَرِيَّتِكَ,Your chosen ones from Your creation
,وَخِيَرَتِكَ مِنْ خَلْقِكَ,Your selected ones from Your creation
,اَلْأَتْقِيَاءِ الْأَنْقِيَاءِ,"The pious, the pure"
,اَلنُّجَبَاءِ الْأَبْرَارِ,"The noble, the righteous"
,وَالْبَابِ الْمُبْتَلىٰ بِهِ النَّاسُ,And the gate through which people are tested
,مَنْ أَتَاهُ نَجَا,Whoever comes to it is saved
,وَمَنْ أَبَاهُ هَوٰى,And whoever rejects it falls
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,أَهْلِ الذِّكْرِ الَّذِيْنَ أَمَرْتَ بِمَسْأَلَتِهِمْ,The people of remembrance whom You commanded to be asked
,وَذَوِيْ الْقُرْبَى الَّذِيْنَ أَمَرْتَ بِمَوَدَّتِهِمْ,And the relatives whom You commanded to be loved
,وَفَرَضْتَ حَقَّهُمْ,And You made their rights obligatory
,وَجَعَلْتَ الْجَنَّةَ مَعَادَ مَنِ اقْتَصَّ آثَارَهُمْ,And You made Paradise the destination for those who follow their footsteps
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,كَمَا أَمَرُوْا بِطَاعَتِكَ,As they commanded obedience to You
,وَنَهُوْا عَنْ مَعْصِيَتِكَ,And forbade disobedience to You
,وَدَلُّوْا عِبَادَكَ عَلٰى وَحْدَانِيَّتِكَ,And guided Your servants to Your Oneness
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ بِحَقِّ مُحَمَّدٍ,"O Allah, I ask You by the right of Muhammad"
,نَبِيِّكَ وَنَجِيبِكَ,Your Prophet and Your chosen one
,وَصَفْوَتِكَ وَأَمِينِكَ,Your selected one and Your trustee
,وَرَسُولِكَ إِلٰى خَلْقِكَ,And Your Messenger to Your creation
,وَبِحَقِّ أَمِيرِالْمُؤْمِنِيْنَ,And by the right of the Commander of the Faithful
,وَيَعْسُوبِ الدِّينِ,The leader of religion
,وَقَائِدِ الْغُرِّ الْمُحَجَّلِينَ,The guide of the resplendent ones
,اَلْوَصِيِّ الْوَفِيِّ,The faithful successor
,وَالصِّدِّيقِ الْأَكْبَرِ,The greatest truthful one
,وَالْفَارُوقِ بَيْنَ الْحَقِّ وَالْبَاطِلِ,The distinguisher between truth and falsehood
,وَالشَّاهِدِ لَكَ,The witness for You
