Line id,Arabic text,Translation
,,
,سُبْحَانَ اللَّهِ قَبْلَ كُلِّ أَحَدٍ,Glory be to Allah before anyone
,وَسُبْحَانَ اللَّهِ بَعْدَ كُلِّ أَحَدٍ,And glory be to Allah after everyone
,وَسُبْحَانَ اللَّهِ مَعَ كُلِّ أَحَدٍ,And glory be to Allah with everyone
,وَسُبْحَانَ اللَّهِ يَبْقٰى رَبُّنَا وَيَفْنىٰ كُلُّ أَحَدٍ,"And glory be to Allah, our Lord remains while everyone perishes"
,وَسُبْحَانَ اللَّهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And glory be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا قَبْلَ كُلِّ أَحَدٍ,By great excellence before anyone
,وَسُبْحَانَ اللَّهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And glory be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا بَعْدَ كُلِّ أَحَدٍ,By great excellence after everyone
,وَسُبْحَانَ اللَّهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And glory be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا مَعَ كُلِّ أَحَدٍ,By great excellence with everyone
,وَسُبْحَانَ اللَّهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And glory be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا لِرَبِّنَا الْبَاقِيْ وَيَفْنىٰ كُلُّ أَحَدٍ,By great excellence for our eternal Lord while everyone perishes
,وَسُبْحَانَ اللَّهِ تَسْبِيحًا لَايُحْصىٰ وَلَا يُدْرىٰ,And glory be to Allah with glorification that cannot be counted nor comprehended
,وَلَا يُنْسٰى وَلَا يَبْلىٰ,Nor forgotten nor worn out
,وَلَا يَفْنَى وَلَيْسَ لَهُ مُنْتَهَى,Nor perishes nor has an end
,وَسُبْحَانَ اللَّهِ تَسبِيحًا يَدُومُ بِدَوَامِهِ,And glory be to Allah with glorification that lasts with His everlastingness
,وَيَبْقٰى بِبَقَائِهِ فِيْ سِنِيْ الْعَالَمِيْنَ,And remains with His remaining throughout the years of all worlds
,وَشُهُورِ الدُّهُورِ وَأَيَّامِ الدُّنْيَا,And the months of ages and the days of the world
,وَسَاعَاتِ اللَّيْلِ وَالنَّهَارِ,And the hours of night and day
,وَسُبْحَانَ اللَّهِ أَبَدَ الْأَبَدِ وَمَعَ الْأَبَدِ,And glory be to Allah for all eternity and with eternity
,مِمَّا لَايُحْصِيهِ الْعَدَدُ,Of what cannot be enumerated
,وَلَا يُفْنِيهِ الْأَمَدُ,Nor exhausted by time
,وَلَا يَقْطَعُهُ الْأَبَدُ,Nor cut off by eternity
,وَ تَبَارَكَ اللَّهُ أَحْسَنُ الْخَالِقِينَ,"And blessed is Allah, the best of creators"
,,
,وَالْحَمْدُ لِلّٰهِ قَبْلَ كُلِّ أَحَدٍ,And praise be to Allah before anyone
,وَالْحَمْدُ لِلّٰهِ بَعْدَ كُلِّ أَحَدٍ,And praise be to Allah after everyone
,وَالْحَمْدُ لِلّٰهِ مَعَ كُلِّ أَحَدٍ,And praise be to Allah with everyone
,وَالْحَمْدُ لِلّٰهِ يَبْقٰى رَبُّنَا وَيَفْنىٰ كُلُّ أَحَدٍ,"And praise be to Allah, our Lord remains while everyone perishes"
,وَالْحَمْدُ لِلّٰهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And praise be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا قَبْلَ كُلِّ أَحَدٍ,By great excellence before anyone
,وَالْحَمْدُ لِلّٰهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And praise be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا بَعْدَ كُلِّ أَحَدٍ,By great excellence after everyone
,وَالْحَمْدُ لِلّٰهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And praise be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا مَعَ كُلِّ أَحَدٍ,By great excellence with everyone
,وَالْحَمْدُ لِلّٰهِ تَسْبِيحًا يَفْضُلُ تَسْبِيحَ الْمُسَبِّحِيْنَ,And praise be to Allah with glorification that exceeds the glorification of all who glorify
,فَضْلًا كَثِيرًا لِرَبِّنَا الْبَاقِيْ وَيَفْنىٰ كُلُّ أَحَدٍ,By great excellence for our eternal Lord while everyone perishes
,وَالْحَمْدُ لِلّٰهِ تَسْبِيحًا لَايُحْصىٰ وَلَا يُدْرىٰ,And praise be to Allah with glorification that cannot be counted nor comprehended
,وَلَا يُنْسٰى وَلَا يَبْلىٰ,Nor forgotten nor worn out
,وَلَا يَفْنَى وَلَيْسَ لَهُ مُنْتَهَى,Nor perishes nor has an end
,وَالْحَمْدُ لِلّٰهِ تَسبِيحًا يَدُومُ بِدَوَامِهِ,And praise be to Allah with glorification that lasts with His everlastingness
,وَيَبْقٰى بِبَقَائِهِ فِيْ سِنِيْ الْعَالَمِيْنَ,And remains with His remaining throughout the years of all worlds
,وَشُهُورِ الدُّهُورِ وَأَيَّامِ الدُّنْيَا,And the months of ages and the days of the world
,وَسَاعَاتِ اللَّيْلِ وَالنَّهَارِ,And the hours of night and day
,وَالْحَمْدُ لِلّٰهِ أَبَدَ الْأَبَدِ وَمَعَ الْأَبَدِ,And praise be to Allah for all eternity and with eternity
,مِمَّا لَايُحْصِيهِ الْعَدَدُ,Of what cannot be enumerated
,وَلَا يُفْنِيهِ الْأَمَدُ,Nor exhausted by time
