Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Gracious, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ يَا شَاهِدَ كُلِّ نَجْوٰى,"O Allah, O Witness of every secret conversation"
,وَمَوْضِعَ كُلِّ شَكْوٰى,And the place of every complaint
,وَعَالِمَ كُلِّ خَفِيَّةٍ,And Knower of every hidden thing
,وَمُنْتَهىٰ كُلِّ حَاجَةٍ,And the final destination of every need
,يَا مُبْتَدِئًا بِالنِّعَمِ عَلَى الْعِبَادِ,O Initiator of blessings upon Your servants
,يَا كَرِيمَ الْعَفْوِ,O Generous in forgiveness
,يَا حَسَنَ التَّجَاوُزِ,O Best in overlooking
,يَا جَوَادُ,O Most Generous
,يَا مَنْ لَايُوَارِيْ مِنْهُ لَيْلٌ دَاجٍ,O One from whom the dark night cannot conceal
,وَلَا بَحْرٌ عَجَّاجٌ,Nor the tumultuous sea
,وَلَا سَمَاءٌ ذَاتُ أَبْرَاجٍ,Nor the sky with its constellations
,وَلَا ظُلَمٌ ذَاتُ ارْتِتَاجٍ,Nor the darkness with its layers
,يَا مَنِ الظُّلْمَةُ عِنْدَهُ ضِيَاءٌ,O One for whom darkness is light
,أَسْأَلُكَ بِنُوْرِ وَجْهِكَ الْكَرِيمِ,I ask You by the light of Your noble face
,اَلَّذِيْ تَجَلَّيْتَ بِهِ لِلْجَبَلِ فَجَعَلْتَهُ دَكًّا,"With which You manifested to the mountain, turning it to dust"
,وَخَرَّ مُوسٰى صَعِقًا,And Moses fell down unconscious
,وَبِاسْمِكَ الَّذِيْ رَفَعْتَ بِهِ السَّمَاوَاتِ بِلَا عَمَدٍ,And by Your name with which You raised the heavens without pillars
,وَسَطَحْتَ بِهِ الْأَرْضَ عَلَى وَجْهِ مَاءٍ جَمَدٍ,And spread the earth upon the surface of frozen water
,وَبِاسْمِكَ الْمَخْزُونِ الْمَكْنُونِ,And by Your name that is hidden and concealed
,اَلْمَكْتُوبِ الطَّاهِرِ,The written and the pure
,اَلَّذِيْ إِذَا دُعِيتَ بِهِ أَجَبْتَ,"Which when You are called by it, You respond"
,وَإِذَا سُئِلْتَ بِهِ أَعْطَيْتَ,"And when asked by it, You give"
,وَبِاسْمِكَ السُّبُّوحِ الْقُدُّوْسِ الْبُرْهَانِ,"And by Your name the Glorified, the Holy, the Proof"
,اَلَّذِيْ هُوَ نُورٌ عَلَى كُلِّ نُورٍ,Which is light upon all lights
,وَنُورٌ مِنْ نُورٍ,And light from light
,يُضِيءُ مِنْهُ كُلُّ نُورٍ,From which all light shines
,إِذَا بَلَغَ الْأَرْضَ انْشَقَّتْ,"When it reaches the earth, it splits open"
,وَإِذَا بَلَغَ السَّمَاوَاتِ فُتِحَتْ,"And when it reaches the heavens, they open"
,وَإِذَا بَلَغَ الْعَرْشَ اهْتَزَّ,"And when it reaches the Throne, it trembles"
,وَبِاسْمِكَ الَّذِيْ تَرْتَعِدُ مِنْهُ فَرَائِصُ مَلَائِكَتِكَ,And by Your name which causes the limbs of Your angels to tremble
,وَأَسْأَلُكَ بِحَقِّ جَبْرَئِيلَ وَمِيكَائِيلَ وَإِسْرَافِيلَ,"And I ask You by the right of Gabriel, Michael, and Israfil"
,وَبِحَقِّ مُحَمَّدٍ الْمُصْطَفىٰ,"And by the right of Muhammad, the Chosen"
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,May Allah's blessings be upon him and his family
,وَعَلَى جَمِيْعِ الْأَنْبِيَاءِ وَجَمِيْعِ الْمَلَائِكَةِ,And upon all the prophets and all the angels
,وَبِالَاسْمِ الَّذِيْ مَشىٰ بِهِ الْخِضْرُ عَلَى قُلَلِ الْمَاءِ,And by the name with which Khidr walked upon the crests of water
,كَمَا مَشىٰ بِهِ عَلَى جَدَدِ الْأَرْضِ,As he walked upon the solid ground
,وَبِاسْمِكَ الَّذِيْ فَلَقْتَ بِهِ الْبَحْرَ لِمُوسٰى,And by Your name with which You parted the sea for Moses
,وَأَغْرَقْتَ فِرْعَوْنَ وَقَوْمَهُ,And drowned Pharaoh and his people
,وَأَنْجَيْتَ بِهِ مُوسٰى بْنَ عِمْرَانَ,"And saved by it Moses, son of Imran"
,مِنْ جَانِبِ الطُّورِ الْأَيْمَنِ,From the right side of Mount Tur
,فَاسْتَجَبْتَ لَهُ وَأَلْقَيْتَ عَلَيْهِ مَحَبَّةً مِنْكَ,So You answered him and cast upon him love from You
,وَبِاسْمِكَ الَّذِيْ بِهِ أَحْيَا عِيسٰى بْنُ مَرْيَمَ الْمَوْتىٰ,"And by Your name with which Jesus, son of Mary, revived the dead"
,وَتَكَلَّمَ فِيْ الْمَهْدِ صَبِيًّا,And spoke in the cradle as an infant
,وَأَبْرَأَ الْأَكْمَهَ وَالْأَبْرَصَ بِإِذْنِكَ,And healed the blind and the leper by Your permission
,وَبِاسْمِكَ الَّذِيْ دَعَاكَ بِهِ حَمَلَةُ عَرْشِكَ,And by Your name with which the bearers of Your throne called upon You
,وَجَبْرَئِيلُ وَمِيكَائِيلُ وَإِسْرَافِيلُ,"And Gabriel, Michael, and Israfil"
,وَحَبِيبُكَ مُحَمَّدٌ صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,"And Your beloved Muhammad, may Allah bless him and his family"
,وَمَلَائِكَتُكَ الْمُقَرَّبُونَ,And Your angels who are close to You
,وَأَنْبِيَاؤُكَ الْمُرْسَلُونَ,And Your messengers among the prophets
,وَعِبَادُكَ الصَّالِحُونَ مِنْ أَهْلِ السَّمَاوَاتِ وَالْأَرَضِينَ,And Your righteous servants from the people of the heavens and earths
,وَبِاسْمِكَ الَّذِيْ دَعَاكَ بِهِ ذُوْ النُّونِ,And by Your name with which Dhun-Nun (Jonah) called upon You
,إِذْ ذَهَبَ مُغَاضِبًا فَظَنَّ أَنْ لَنْ تَقْدِرَ عَلَيْهِ,When he went away in anger and thought We had no power over him
,فَنَادىٰ فِيْ الظُّلُمَاتِ أَنْ لاَإِلٰهَ إِلَّا أَنْتَ سُبْحَانَكَ,"Then he cried through the darkness: ""There is no god but You, Glory be to You"
,إِنِّيْ كُنْتُ مِنَ الظَّالِمِيْنَ,"Indeed, I have been among the wrongdoers"""
,فَاسْتَجَبْتَ لَهُ وَنَجَّيْتَهُ مِنَ الْغَمِّ,So You responded to him and saved him from distress
,وَكَذٰلِكَ تُنْجِيْ الْمُؤْمِنِيْنَ,And thus do You save the believers
,وَبِاسْمِكَ الْعَظِيمِ الَّذِيْ دَعَاكَ بِهِ دَاوُدُ,And by Your great name with which David called upon You
,وَخَرَّ لَكَ سَاجِدًا فَغَفَرْتَ لَهُ ذَنْبَهُ,"And fell prostrating before You, so You forgave his sin"
,وَبِاسْمِكَ الَّذِيْ دَعَتْكَ بِهِ آسِيَةُ امْرَأَةُ فِرْعَوْنَ,"And by Your name with which Asiya, the wife of Pharaoh, called upon You"
,إِذْ قَالَتْ رَبِّ ابْنِ لِيْ عِنْدَكَ بَيْتًا فِيْ الْجَنَّةِ,"When she said: ""My Lord, build for me near You a house in Paradise"
,وَنَجِّنِيْ مِنْ فِرْعَوْنَ وَعَمَلِهِ,And save me from Pharaoh and his deeds
,وَنَجِّنِيْ مِنَ الْقَوْمِ الظّٰالِمِيْنَ,"And save me from the wrongdoing people"""
,فَاسْتَجَبْتَ لَهَا دُعَاءَهَا,So You answered her prayer
,وَبِاسْمِكَ الَّذِيْ دَعَاكَ بِهِ أَيُّوبُ إِذْ حَلَّ بِهِ الْبَلاءُ,And by Your name with which Job called upon You when affliction befell him
,فَعَافَيْتَهُ وَ آتَيْتَهُ أَهْلَهُ وَمِثْلَهُمْ مَعَهُمْ,So You healed him and restored to him his family and the like thereof with them
,رَحْمَةً مِنْ عِنْدِكَ وَذِكْرىٰ لِلْعَابِدِيْنَ,As a mercy from You and a reminder for the worshippers
,وَبِاسْمِكَ الَّذِيْ دَعَاكَ بِهِ يَعْقُوبُ,And by Your name with which Jacob called upon You
,فَرَدَدْتَ عَلَيْهِ بَصَرَهُ وَقُرَّةَ عَيْنِهِ يُوسُفَ وَجَمَعْتَ شَمْلَهُ,"So You restored to him his sight and the joy of his eyes, Joseph, and reunited his family"
,وَبِاسْمِكَ الَّذِيْ دَعَاكَ بِهِ سُلَيْمَانُ,And by Your name with which Solomon called upon You
,فَوَهَبْتَ لَهُ مُلْكًا لَا يَنْبَغِيْ لِأَحَدٍ مِنْ بَعْدِهِ,So You granted him a kingdom not suited to anyone after him
,إِنَّكَ أَنْتَ الْوَهَّابُ,"Indeed, You are the Bestower"
,وَبِاسْمِكَ الَّذِيْ سَخَّرْتَ بِهِ الْبُرَاقَ لِمُحَمَّدٍ,And by Your name with which You subjected the Buraq for Muhammad
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ وَسَلَّمَ,May Allah bless him and his family and grant them peace
,إِذْ قَالَ تَعَالَى سُبْحٰانَ الَّذِيْ أَسْرىٰ بِعَبْدِهِ لَيْلًا,"When the Most High said: ""Glory to Him Who took His servant by night"
,مِنَ الْمَسْجِدِ الْحَرَامِ إِلَى الْمَسْجِدِ الْأَقْصىٰ,"From the Sacred Mosque to the Farthest Mosque"""
,وَقَوْلُهُ سُبْحٰانَ الَّذِيْ سَخَّرَ لَنَا هٰذَا وَمَا كُنَّا لَهُ مُقْرِنِيْنَ,"And His saying: ""Glory to Him Who has subjected this to us, and we could not have done it ourselves"
,وَإِنَّا إِلٰى رَبِّنَا لَمُنْقَلِبُونَ,"And indeed to our Lord we will return"""
,وَبِاسْمِكَ الَّذِيْ تَنَزَّلَ بِهِ جَبْرَئِيلُ عَلَى مُحَمَّدٍ,And by Your name with which Gabriel descended upon Muhammad
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,May Allah bless him and his family
,وَبِاسْمِكَ الَّذِيْ دَعَاكَ بِهِ آدَمُ,And by Your name with which Adam called upon You
,فَغَفَرْتَ لَهُ ذَنْبَهُ وَأَسْكَنْتَهُ جَنَّتَكَ,So You forgave his sin and settled him in Your Paradise
,وَأَسْأَلُكَ بِحَقِّ الْقُرْآنِ الْعَظِيمِ,And I ask You by the right of the Great Quran
,وَبِحَقِّ مُحَمَّدٍ خَاتَمِ النَّبِيِّينَ,"And by the right of Muhammad, the Seal of the Prophets"
,وَبِحَقِّ إِبْرَاهِيمَ,And by the right of Abraham
,وَبِحَقِّ فَصْلِكَ يَوْمَ الْقَضَاءِ,And by the right of Your judgment on the Day of Reckoning
,وَبِحَقِّ الْمَوَازِينِ إِذَا نُصِبَتْ,And by the right of the scales when they are set up
,وَالصُّحُفِ إِذَا نُشِرَتْ,And the scrolls when they are spread out
,وَبِحَقِّ الْقَلَمِ وَمَا جَرٰى,And by the right of the Pen and what it has written
,وَاللَّوْحِ وَمَا أَحْصٰى,And the Tablet and what it has enumerated
,وَبِحَقِّ الْإِسْمِ الَّذِيْ كَتَبْتَهُ عَلَى سُرَادِقِ الْعَرْشِ,And by the right of the Name which You wrote on the veil of the Throne
,قَبْلَ خَلْقِكَ الْخَلْقَ وَالدُّنْيَا,Before You created the creation and the world
,وَالشَّمْسَ وَالْقَمَرَ بِأَلْفَيْ عَامٍ,And the sun and the moon by two thousand years
,وَأَشْهَدُ أَنْ لَا إِلٰهَ إِلَّا اللَّهُ,And I bear witness that there is no god but Allah
,وَحْدَهُ لَا شَرِيكَ لَهُ,Alone with no partner
,وَأَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُولُهُ,And that Muhammad is His servant and messenger
,وَأَسْأَلُكَ بِاسْمِكَ الْمَخْزُونِ فِيْ خَزَائِنِكَ,And I ask You by Your name that is hidden in Your treasuries
,اَلَّذِيْ اسْتَأْثَرْتَ بِهِ فِيْ عِلْمِ الْغَيْبِ عِنْدَكَ,Which You have kept exclusively in Your knowledge of the unseen
,لَمْ يَظْهَرْ عَلَيْهِ أَحَدٌ مِنْ خَلْقِكَ,No one from Your creation has seen it
,لَا مَلَكٌ مُقَرَّبٌ,Not any close angel
,وَلَا نَبِيٌّ مُرْسَلٌ,Nor any sent prophet
,وَلَا عَبْدٌ مُصْطَفًى,Nor any chosen servant
,وَأَسْأَلُكَ بِاسْمِكَ الَّذِيْ شَقَقْتَ بِهِ الْبِحَارَ,And I ask You by Your name with which You split the seas
,وَقَامَتْ بِهِ الْجِبَالُ,And by which the mountains stand
,وَاخْتَلَفَ بِهِ اللَّيْلُ وَالنَّهَارُ,And by which the night and day alternate
,وَبِحَقِّ السَّبْعِ الْمَثَانِيْ وَالْقُرْآنِ الْعَظِيمِ,And by the right of the Seven Oft-repeated verses and the Great Quran
,وَبِحَقِّ الْكِرَامِ الْكَاتِبِينَ,And by the right of the noble recording angels
,وَبِحَقِّ طٰهٰ وَ يٰس وَ كهٰيٰعص,"And by the right of Ta Ha, Ya Sin, Kaf Ha Ya Ayn Sad"
,وَ حٰمعسق,And Ha Mim Ayn Sin Qaf
,وَبِحَقِّ تَوْرَاةِ مُوسٰى,And by the right of the Torah of Moses
,وَإِنْجِيلِ عِيسٰى,And the Gospel of Jesus
,وَزَبُورِ دَاوُدَ,And the Psalms of David
,وَفُرْقَانِ مُحَمَّدٍ,And the Criterion (Quran) of Muhammad
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,May Allah bless him and his family
,وَعَلَى جَمِيْعِ الرُّسُلِ وَبَاهِيًّا شَرَاهِيًّا,And upon all the messengers and by Bahiyyan Sharahiyyan
,اَللّٰهُمَّ إِنِّيْ أَسْأَلُكَ بِحَقِّ تِلْكَ الْمُنَاجَاةِ,"O Allah, I ask You by the right of those private conversations"
,اَلَّتِيْ كَانَتْ بَيْنَكَ وَبَيْنَ مُوسٰى بْنِ عِمْرَانَ,"That were between You and Moses, son of Imran"
,فَوْقَ جَبَلِ طُورِ سَيْنَاءَ,Above Mount Tur Sinai
,وَأَسْأَلُكَ بِاسْمِكَ الَّذِيْ عَلَّمْتَهُ مَلَكَ الْمَوْتِ لِقَبْضِ الْأَرْوَاحِ,And I ask You by Your name which You taught the Angel of Death for taking souls
,وَأَسْأَلُكَ بِاسْمِكَ الَّذِيْ كُتِبَ عَلَى وَرَقِ الزَّيْتُونِ,And I ask You by Your name which was written on the olive leaf
,فَخَضَعَتِ النِّيرَانُ لِتِلْكَ الْوَرَقَةِ,So the fires submitted to that leaf
,فَقُلْتَ يَا نَارُ كُونِيْ بَرْدًا وَسَلامًا,"When You said: ""O fire, be coolness and peace"""
,وَأَسْأَلُكَ بِاسْمِكَ الَّذِيْ كَتَبْتَهُ عَلَى سُرَادِقِ الْمَجْدِ وَالْكَرَامَةِ,And I ask You by Your name which You wrote on the veil of glory and honor
,يَا مَنْ لَا يُحْفِيهِ سَائِلٌ,O One whom no questioner can exhaust
,وَلَا يَنْقُصُهُ نَائِلٌ,And no receiver can diminish
,يَا مَنْ بِهِ يُسْتَغَاثُ وَإِلَيْهِ يُلْجَأُ,O One from whom help is sought and to whom refuge is taken
,أَسْأَلُكَ بِمَعَاقِدِ الْعِزِّ مِنْ عَرْشِكَ,I ask You by the places of honor on Your throne
,وَمُنْتَهَى الرَّحْمَةِ مِنْ كِتَابِكَ,And the utmost of mercy from Your Book
,وَبِاسْمِكَ الْأَعْظَمِ,And by Your Greatest Name
,وَجَدِّكَ الْأَعْلٰى,And Your Highest Majesty
