Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the Name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ مَنْ تَعَبَّا وَتَهَيَّا,"O Allah, whoever prepares and readies himself"
,وَاعَدَّ وَاسْتَعَدَّ,And makes arrangements and preparations
,لِوِفَادَةٍ إِلَى مَخْلُوقٍ,To visit a created being
,رَجَاءَ رِفْدِهِ,Hoping for his gifts
,وَطَلَبَ نَائِلِهِ وَجَائِزَتِهِ,And seeking his offerings and rewards
,فَإِلَيْكَ يَا رَبِّ تَعْبِيَتِيْ وَاسْتِعْدَادِي,"Then to You, O Lord, is my preparation and readiness"
,رَجَاءَ عَفْوِكَ,Hoping for Your forgiveness
,وَطَلَبَ نَائِلِكَ وَجَائِزَتِكَ,And seeking Your gifts and rewards
,فَلَا تُخَيِّبْ دُعَائِيْ,So do not disappoint my supplication
,يَا مَنْ لَا يَخِيبُ عَلَيْهِ سَائِلٌ,O You from whom no petitioner is disappointed
,وَلَا يَنْقُصُهُ نَائِلٌ,And whom no bestowment diminishes
,فَإِنِّيْ لَمْ آتِكَ ثِقَةً بِعَمَلٍ صَالِحٍ عَمِلْتُهُ,For I have not come to You with confidence in any good deed I have done
,وَلَا لِوِفَادَةِ مَخْلُوقٍ رَجَوْتُهُ,Nor for the visitation of any created being I have hoped for
,اَتَيْتُكَ مُقِرًّا عَلَى نَفْسِيْ بِالْإِسَاءَةِ وَالظُّلْمِ,I come to You acknowledging my wrongdoing and injustice
,مُعْتَرِفًا بِانْ لَا حُجَّةَ لِيْ وَلَا عُذْرَ,Confessing that I have no argument or excuse
,اَتَيْتُكَ ارْجُوْ عَظِيمَ عَفْوِكَ,I come to You hoping for Your great forgiveness
,اَلَّذِيْ عَفَوْتَ بِهِ عَنِ الْخَاطِئِيْنَ,By which You have forgiven the sinners
,فَلَمْ يَمْنَعْكَ طُولُ عُكُوفِهِمْ عَلَى عَظِيمِ الْجُرْمِ,For their persistent commitment to great sins did not prevent You
,اِنْ عُدْتَ عَلَيْهِمْ بِالرَّحْمَةِ,From bestowing mercy upon them
,فَيَا مَنْ رَحْمَتُهُ وَاسِعَةٌ,"So, O One whose mercy is vast"
,وَعَفْوُهُ عَظيمٌ,And whose forgiveness is great
,يَا عَظيـمُ يَا عَظيـمُ يَا عَظيـمُ,"O Great One, O Great One, O Great One"
,لَا يَرُدُّ غَضَبَكَ إِلَّا حِلْمُكَ,Nothing repels Your anger except Your forbearance
,وَلَا يُنْجِيْ مِنْ سَخَطِكَ إِلَّا التَّضَرُّعُ إِلَيْكَ,And nothing saves from Your wrath except beseeching You
,فَهَبْ لِيْ يَا إِلٰهِيْ فَرَجًا,"So grant me, O my God, relief"
,بِالْقُدْرَةِ الَّتِيْ تُحْيِيْ بِهَا مَيْتَ الْبِلاَدِ,By the power with which You revive dead lands
,وَلَا تُهْلِكْنِيْ غَمًّا حَتَّى تَسْتَجِيبَ لِي,And do not let me perish in grief until You answer me
,وَتُعَرِّفَنِيْ الْاِجَابَةَ فِيْ دُعَائِي,And make known to me the response to my supplication
,وَ اَذِقْنِيْ طَعْمَ الْعَافِيَةِ إِلَى مُنْتَهَى اَجَلِي,And let me taste the flavor of well-being until the end of my life
,وَلَا تُشْمِتْ بِيْ عَدُوِّي,And do not let my enemy rejoice at my misfortune
,وَلَا تُسَلِّطْهُ عَلَيَّ,And do not give him power over me
,وَلَا تُمَكِّنْهُ مِنْ عُنُقِي,And do not enable him to seize me by the neck
,اَللَّهُمَّ إِنْ وَضَعْتَنِيْ فَمَنْ ذَا الَّذِيْ يَرْفَعُنِي,"O Allah, if You bring me low, who is there to raise me up?"
,وَإِنْ رَفَعْتَنِيْ فَمَنْ ذَا الَّذِيْ يَضَعُنِي,"And if You raise me up, who is there to bring me low?"
,وَإِنْ اَهْلَكْتَنِيْ فَمَنْ ذَا الَّذِيْ يَعْرِضُ لَكَ فِيْ عَبْدِكَ,"And if You destroy me, who is there to intercede with You for Your servant"
,اَوْ يَسْأَلُكَ عَنْ امْرِهِ,Or ask You about his affair?
,وَقَدْ عَلِمْتُ اَنَّهُ لَيْسَ فِيْ حُكْمِكَ ظُلْمٌ,I know that there is no injustice in Your judgment
,وَلَا فِيْ نَقَمَتِكَ عَجَلَةٌ,And no haste in Your vengeance
,وَإِنَّمَا يَعْجَلُ مَنْ يَخَافُ الْفَوْتَ,Only he who fears missing an opportunity hastens
,وَإِنَّمَا يَحْتَاجُ إِلَى الظُّلْمِ الضَّعِيفُ,And only the weak need to resort to injustice
