Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,شَهِدَ اللَّهُ أَنَّهُ لَاإِلٰهَ إِلَّا هُوَ,Allah bears witness that there is no god except Him
,وَالْمَلَائِكَةُ وَأُوْلُوْ الْعِلْمِ,And the angels and those who possess knowledge
,قَائِمًا بِالْقِسْطِ,Maintaining justice
,لَاإِلٰهَ إِلَّا هُوَ الْعَزِيزُ الْحَكِيمُ,"There is no god except Him, the Mighty, the Wise"
,إِنَّ الدِّينَ عِنْدَ اللَّهِ الْإِسْلاَمُ,"Indeed, the religion in the sight of Allah is Islam"
,وَأَنَا الْعَبْدُ الضَّعِيفُ الْمُذْنِبُ,"And I am the weak, sinful servant"
,اَلْعَاصِيْ الْمُحْتَاجُ الْحَقِيرُ,"The disobedient, the needy, the humble"
,أَشْهَدُ لِمُنْعِمِيْ وَخَالِقِيْ,I bear witness to my Benefactor and my Creator
,وَرَازِقِيْ وَمُكْرِمِيْ,And my Provider and my Honorer
,كَمَا شَهِدَ لِذَاتِهِ,As He bore witness to Himself
,وَشَهِدَتْ لَهُ الْمَلَائِكَةُ,And the angels bore witness to Him
,وَأُولُوْا الْعِلْمِ مِنْ عِبَادِهِ,And those endowed with knowledge among His servants
,بِأَنَّهُ لَاإِلٰهَ إِلَّا هُوَ,That there is no god except Him
,ذُوْ النِّعَمِ وَالْإِحْسَانِ,The Possessor of blessings and benevolence
,وَالْكَرَمِ وَالْإِمْتِنَانِ,And generosity and favor
,قَادِرٌ أَزَلِيٌّ,"All-Powerful, Eternal"
,عَالِمٌ أَبَدِيٌّ,"All-Knowing, Everlasting"
,حَيٌّ أَحَدِيٌّ,"Living, One"
,مَوْجُودٌ سَرْمَدِيٌّ,"Existent, Perpetual"
,سَمِيعٌ بَصِيرٌ,"All-Hearing, All-Seeing"
,مُرِيدٌ كَارِهٌ,"Willing, Averse"
,مُدْرِكٌ صَمَدِيٌّ,"Perceiving, Independent"
