Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ رَبَّ النُّورِ الْعَظِيمِ,"O Allah, Lord of the Great Light"
,وَرَبَّ الْكُرْسِيِّ الرَّفِيعِ,And Lord of the Exalted Throne
,وَرَبَّ الْبَحْرِ الْمَسْجُورِ,And Lord of the Swelling Sea
,وَمُنْزِلَ التَّوْرَاةِ وَالْإِنْجِيلِ وَالزَّبُورِ,"And the One who sent down the Torah, the Gospel, and the Psalms"
,وَرَبَّ الظِّلِّ وَالْحَرُورِ,And Lord of the Shade and the Heat
,وَمُنْزِلَ الْقُرْآنِ الْعَظِيمِ,And the One who sent down the Great Quran
,وَرَبَّ الْمَلَائِكَةِ الْمُقَرَّبِينَ,And Lord of the close angels
,وَالْأَنْبِيَاءِ وَ الْمُرْسَلِينَ,And the prophets and messengers
,اَللّٰهُمَّ إِنِّيْ أَسْأَلُكَ بِوَجْهِكَ الْكَرِيمِ,"O Allah, I ask You by Your Noble Face"
,وَبِنُوْرِ وَجْهِكَ الْمُنِيرِ,And by the Light of Your Radiant Face
,وَمُلْكِكَ الْقَدِيمِ,And Your Eternal Kingdom
,يَا حَيُّ يَا قَيُّومُ,"O Ever-Living, O Self-Subsisting"
,أَسْأَلُكَ بِاسْمِكَ الَّذِيْ أَشْرَقَتْ بِهِ السَّمَاوَاتُ وَالْأَرَضُونَ,I ask You by Your Name through which the heavens and earths shine
,وَبِاسْمِكَ الَّذِيْ يَصْلَحُ بِهِ الْأَوَّلُونَ وَالْآخِرُونَ,And by Your Name through which the first and the last are set right
,يَا حَيًّا قَبْلَ كُلِّ حَيٍّ,O Living before every living thing
,وَيَا حَيًّا بَعْدَ كُلِّ حَيٍّ,And O Living after every living thing
,وَيَا حَيًّا حِيْنَ لَاحَيَّ,And O Living when there is no living
