Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send Your blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ بَهَائِكَ بِأَبْهَاهُ,"O Allah, I ask You by the most splendid of Your splendor"
,وَكُلُّ بَهَائِكَ بَهِيٌّ,And all Your splendor is splendid
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِبَهَائِكَ كُلِّهِ,"O Allah, I ask You by all of Your splendor"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ جَمَالِكَ بِأَجْمَلِهِ,"O Allah, I ask You by the most beautiful of Your beauty"
,وَكُلُّ جَمَالِكَ جَمِيْلٌ,And all Your beauty is beautiful
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِجَمَالِكَ كُلِّهِ,"O Allah, I ask You by all of Your beauty"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ جَلَالِكَ بِأَجَلِّهِ,"O Allah, I ask You by the most majestic of Your majesty"
,وَكُلُّ جَلَالِكَ جَلِيْلٌ,And all Your majesty is majestic
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِجَلَالِكَ كُلِّهِ,"O Allah, I ask You by all of Your majesty"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ عَظَمَتِكَ بِأَعْظَمِهَا,"O Allah, I ask You by the greatest of Your greatness"
,وَكُلُّ عَظَمَتِكَ عَظِيْمَةٌ,And all Your greatness is great
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِعَظَمَتِكَ كُلِّهَا,"O Allah, I ask You by all of Your greatness"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ نُوْرِكَ بِأَنْوَرِهِ,"O Allah, I ask You by the most illuminating of Your light"
,وَكُلُّ نُوْرِكَ نَيِّرٌ,And all Your light is illuminating
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِنُوْرِكَ كُلِّهِ,"O Allah, I ask You by all of Your light"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ رَحْمَتِكَ بِأَوْسَعِهَا,"O Allah, I ask You by the most vast of Your mercy"
,وَكُلُّ رَحْمَتِكَ وَاسِعَةٌ,And all Your mercy is vast
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِرَحْمَتِكَ كُلِّهَا,"O Allah, I ask You by all of Your mercy"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ كَلِمَاتِكَ بِأَتَمِّهَا,"O Allah, I ask You by the most perfect of Your words"
,وَكُلُّ كَلِمَاتِكَ تَامَّةٌ,And all Your words are perfect
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِكَلِمَاتِكَ كُلِّهَا,"O Allah, I ask You by all of Your words"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ كَمَالِكَ بِأَكْمَلِهِ,"O Allah, I ask You by the most complete of Your perfection"
,وَكُلُّ كَمَالِكَ كَامِلٌ,And all Your perfection is complete
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِكَمَالِكَ كُلِّهِ,"O Allah, I ask You by all of Your perfection"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ أَسْمَائِكَ بِأَكْبَرِهَا,"O Allah, I ask You by the greatest of Your names"
,وَكُلُّ أَسْمَائِكَ كَبِيْرَةٌ,And all Your names are great
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِأَسْمَائِكَ كُلِّهَا,"O Allah, I ask You by all of Your names"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ عِزَّتِكَ بِأَعَزِّهَا,"O Allah, I ask You by the mightiest of Your might"
,وَكُلُّ عِزَّتِكَ عَزِيْزَةٌ,And all Your might is mighty
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِعِزِّتِكَ كُلِّهَا,"O Allah, I ask You by all of Your might"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ مَشِيْئَتِكَ بِأَمْضَاهَا,"O Allah, I ask You by the most effective of Your will"
,وَكُلُّ مَشِيْئَتِكَ مَاضِيَةٌ,And all Your will is effective
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِمَشِيْئَتِكَ كُلِّهَا,"O Allah, I ask You by all of Your will"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ قُدْرَتِكَ بِالْقُدْرَةِ الَّتِيْ اسْتَطَلْتَ بِهَا عَلَىٰ كُلِّ شَيْءٍ,"O Allah, I ask You by the power with which You have dominion over all things"
,وَكُلُّ قُدْرَتِكَ مُسْتَطِيْلَةٌ,And all Your power is all-encompassing
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ بِقُدْرَتِكَ كُلِّهَا,"O Allah, I ask You by all of Your power"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ مِنْ عِلْمِكَ بِأَنْفَذِهِ,"O Allah, I ask You by the most penetrating of Your knowledge"
,وَكُلُّ عِلْمِكَ نَافِذٌ,And all Your knowledge is penetrating
