Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ يَا مَنْ دَلَعَ لِسَانَ الصَّبَاحِ بِنُطْقِ تَبَلُّجِهِ,"O Allah, Who unfurls the tongue of morning with its brilliant speech"
,وَسَرَّحَ قِطَعَ اللَّيْلِ الْمُظْلِمِ بِغَيَاهِبِ تَلَجْلُجِهِ,And sends forth the fragments of dark night with its gloomy veils
,وَأَتْقَنَ صُنْعَ الْفَلَكِ الدَّوَّارِ فِيْ مَقَادِيرِ تَبَرُّجِهِ,And perfects the making of the revolving celestial sphere in the measures of its adornment
,وَشَعْشَعَ ضِيَاءَ الشَّمْسِ بِنُوْرِ تَأَجُّجِهِ,And brightens the light of the sun with the radiance of its blazing
,يَا مَنْ دَلَّ عَلٰى ذَاتِهِ بِذَاتِهِ,O You Who proves Your existence through Your own essence
,وَتَنَزَّهَ عَنْ مُجَانَسَةِ مَخْلُوقَاتِهِ,And is above any resemblance to Your creation
,وَجَلَّ عَنْ مُلائَمَةِ كَيْفِيَّاتِهِ,And is exalted above any description of Your qualities
,يَا مَنْ قَرُبَ مِنْ خَطَرَاتِ الظُّنُونِ,O You Who is closer than the thoughts of speculation
,وَبَعُدَ عَنْ لَحَظَاتِ الْعُيُونِ,Yet far beyond the glances of eyes
,وَعَلِمَ بِمَا كَانَ قَبْلَ أَنْ يَكُونَ,And knows what was before it came to be
,يَا مَنْ أَرْقَدَنِيْ فِيْ مِهَادِ أَمْنِهِ وَأَمَانِهِ,O You Who placed me to sleep in the cradle of Your security and protection
,وَأَيْقَظَنِيْ إِلٰى مَا مَنَحَنِيْ بِهِ مِنْ مِنَنِهِ وَإِحْسَانِهِ,And awakened me to what You have bestowed upon me from Your favors and kindness
,وَكَفَّ أَكُفَّ السُّوءِ عَنِّيْ بِيَدِهِ وَسُلْطَانِهِ,And kept away from me the hands of evil through Your power and authority
,صَلِّ اللَّهُمَّ عَلَى الدَّلِيلِ إِلَيْكَ فِيْ اللَّيْلِ الْأَلْيَلِ,"O Allah, send blessings upon the guide towards You in the darkest night"
,وَالْمَاسِكِ مِنْ أَسْبَابِكَ بِحَبْلِ الشَّرَفِ الْأَطْوَلِ,And the one who holds fast to Your means with the rope of the highest honor
,وَالنَّاصِعِ الْحَسَبِ فِيْ ذِرْوَةِ الْكَاهِلِ الْأَعْبَلِ,And the one of pure lineage in the highest summit of nobility
,وَالثَّابِتِ الْقَدَمِ عَلٰى زَحَالِيفِهَا فِيْ الزَّمَنِ الْأَوَّلِ,And the one of firm foothold on its slippery places in the earliest times
,وَعَلٰى آلِهِ الْأَخْيَارِ الْمُصْطَفَيْنَ الْأَبْرَارِ,"And upon his righteous, chosen, and pious family"
,وَافْتَحِ اللَّهُمَّ لَنَا مَصَارِيْعَ الصَّبَاحِ,"O Allah, open for us the gates of morning"
,بِمَفَاتِيحِ الرَّحْمَةِ وَالْفَلَاحِ,With the keys of mercy and success
,وَأَلْبِسْنِيْ اللَّهُمَّ مِنْ أَفْضَلِ خِلَعِ الْهِدَايَةِ وَالصَّلَاحِ,"O Allah, clothe me with the best robes of guidance and righteousness"
,وَأَغْرِسِ اللَّهُمَّ بِعَظَمَتِكَ فِيْ شِرْبِ جَنَانِيْ يَنَابِيعَ الْخُشُوعِ,"O Allah, plant in the core of my heart, by Your greatness, the springs of humility"
,وَأَجْرِ اللَّهُمَّ لِهَيْبَتِكَ مِنْ آمَاقِيْ زَفَرَاتِ الدُّمُوعِ,"O Allah, cause tears to flow from my eyes out of awe for You"
,وَأَدِّبِ اللَّهُمَّ نَزَقَ الْخُرْقِ مِنِّي بِأَزِمَّةِ الْقُنُوعِ,"O Allah, discipline my reckless foolishness with the reins of contentment"
,إِلٰهِيْ إِنْ لَمْ تَبْتَدِئْنِيْ الرَّحْمَةُ مِنْكَ بِحُسْنِ التَّوْفِيقِ,"My God, if You do not begin with mercy from You by granting good guidance"
,فَمَنِ السَّالِكُ بِىْ إِلَيْكَ فِيْ وَاضِحِ الطَّرِيقِ,Then who will lead me to You on the clear path?
,وَإِنْ أَسْلَمَتْنِيْ أَنَاتُكَ لِقَائِدِ الْأَمَلِ وَالْمُنَىٰ,And if Your patience leaves me to the leader of hope and desire
,فَمَنِ الْمُقِيلُ عَثَرَاتِيْ مِنْ كَبَوَاتِ الْهَوٰى,Then who will help me up from the stumbles of passion?
