Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,رَبِّ أَدْخِلْنِيْ فِيْ لُجَّةِ بَحْرِ أَحَدِيَّتِكَ,"My Lord, immerse me in the depth of the ocean of Your Oneness"
,وَطَمْطَامِ يَمِّ وَحْدَانِيَّتِكَ,And in the vast sea of Your Unity
,وَقَوِّنِيْ بِقُوَّةِ سَطْوَةِ سُلْطَانِ فَرْدَانِيَّتِكَ,And strengthen me with the power of the might of Your Unique Sovereignty
,حَتَّىٰ أَخْرُجَ إِلٰى فَضَاءِ سَعَةِ رَحْمَتِكَ,So that I may emerge into the expanse of Your vast mercy
,وَفِيْ وَجْهِيْ لَمَعَاتُ بَرْقِ الْقُرْبِ مِنْ آثَارِ حِمَايَتِكَ,With my face illuminated by the flashes of the lightning of nearness from the effects of Your protection
,مَهِيبًا بِهَيْبَتِكَ,Awe-inspiring through Your majesty
,عَزِيزًا بِعِنَايَتِكَ,Honored through Your care
,مُتَجَلِّلًا مُكَرَّمًا,Adorned and dignified
,بِتَعْلِيمِكَ وَتَزْكِيَتِكَ,By Your teaching and Your purification
,وَأَلْبِسْنِيْ خِلَعَ الْعِزَّةِ وَالْقَبُولِ,And clothe me with the robes of honor and acceptance
,وَسَهِّلْ لِيْ مَنَاهِجَ الْوُصْلَةِ وَالْوُصُولِ,And ease for me the paths of connection and arrival
,وَتَوِّجْنِيْ بِتَاجِ الْكَرَامَةِ وَالْوَقَارِ,And crown me with the crown of dignity and reverence
,وَأَلِّفْ بَيْنِيْ وَبَيْنَ أَحِبَّائِكَ,And establish harmony between me and Your beloved ones
,فِيْ دَارِ الدُّنْيَا وَدَارِ الْقَرَارِ,In this worldly abode and the eternal abode
,وَارْزُقْنِيْ مِنْ نُوْرِ اسْمِكَ هَيْبَةً وَسَطْوَةً,And grant me from the light of Your name an awe and authority
,تَنْقَادُ لِيَ الْقُلُوبُ وَالْأَرْوَاحُ,By which hearts and souls are led to me
,وَتَخْضَعُ لَدَيَّ النُّفُوسُ وَالْأَشْبَاحُ,And by which selves and bodies submit to me
,يَا مَنْ ذَلَّتْ لَهُ رِقَابُ الْجَبَابِرَةِ,O You before whom the necks of tyrants are humbled
,وَخَضَعَتْ لَدَيْهِ أَعْنَاقُ الْأَكَاسِرَةِ,And before whom the necks of mighty kings bow down
,لَامَلْجَأَ وَلَا مَنْجٰا مِنْكَ إِلَّا إِلَيْكَ,There is no refuge nor escape from You except to You
,وَلَا إِعَانَةَ إِلَّا بِكَ,And no assistance except through You
,وَلَا اتِّكَاءَ إِلَّا عَلَيْكَ,And no reliance except upon You
,اِدْفَعْ عَنِّيْ كَيْدَ الْحَاسِدِيْنَ,Repel from me the plots of the envious
,وَظُلُمَاتِ شَرِّ الْمُعَانِدِيْنَ,And the darkness of the evil of the obstinate
,وَارْحَمْنِيْ تَحْتَ سُرَادِقَاتِ عَرْشِكَ,And have mercy on me beneath the canopies of Your throne
,يَا أَكْرَمَ الْأَكْرَمِيْنَ,O Most Generous of the generous ones
,أَيِّدْ ظَاهِرِيْ فِيْ تَحْصِيلِ مَرَاضِيكَ,Support my outward self in attaining Your pleasure
,وَنَوِّرْ قَلْبِىْ وَسِرِّى بِالَاطِّلاعِ عَلَى مَنَاهِجِ مَسَاعِيكَ,And illuminate my heart and my innermost being with insight into the methods of Your works
,إِلٰهِيْ كَيْفَ أَصْدُرُ عَنْ بَابِكَ بِخَيْبَةٍ مِنْكَ,"My God, how could I depart from Your door in disappointment from You"
,وَقَدْ وَرَدْتُهُ عَلَى ثِقَةٍ بِكَ,While I have come to it with trust in You
,وَكَيْفَ تُؤْيِسُنِيْ مِنْ عَطَائِكَ,And how could You make me despair of Your giving
,وَقَدْ أَمَرْتَنِيْ بِدُعَائِكَ,When You have commanded me to call upon You
,وَهَا أَنَا مُقْبِلٌ عَلَيْكَ,"And here I am, turning towards You"
,مُلْتَجِئٌ إِلَيْكَ,Taking refuge in You
,بَاعِدْ بَيْنِيْ وَبَيْنَ أَعْدَائِي,Distance between me and my enemies
,كَمَا بَاعَدْتَ بَيْنَ أَعْدَائِي,As You have distanced between my enemies
,اِخْتَطِفْ أَبْصَارَهُمْ عَنِّي,Snatch their sight away from me
,بِنُوْرِ قُدْسِكَ,By the light of Your holiness
,وَجَلَالِ مَجْدِكَ,And the majesty of Your glory
,إِنَّكَ أَنْتَ اللَّهُ,"Indeed, You are Allah"
,اَلْمُعْطِيْ جَلَائِلَ النِّعَمِ الْمُكَرَّمَةِ,"The Giver of magnificent, honored blessings"
,لِمَنْ نَاجَاكَ بِلَطَائِفِ رَحْمَتِكَ,To those who call upon You with the subtleties of Your mercy
,يَا حَيُّ يَا قَيُّومُ,"O Ever-Living, O Self-Subsisting"
,يَا ذَا الْجَلالِ وَالْإِكْرَامِ,O Possessor of Majesty and Honor
,وَصَلَّى اللَّهُ عَلَى سَيِّدِنَا وَنَبِيِّنَا مُحَمَّدٍ,And may Allah bless our master and prophet Muhammad
,وَ آلِهِ أَجْمَعِينَ الطَّيِّبِينَ الطَّاهِرِينَ,"And all his family, the good and the pure"
