Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَلْحَمْدُ لِلّٰهِ الَّذِيْ,All praise is for Allah who
,لَاإِلٰهَ إِلَّا هُوَ,There is no god but He
,اَلْمَلِكُ الْحَقُّ الْمُبِيْنُ,"The King, the Truth, the Manifest"
,اَلْمُدَبِّرُ بِلَا وَزِيْرٍ,The Administrator without any minister
,وَلَا خَلْقٍ مِنْ عِبَادِهِ يَسْتَشِيرُ,And no creation from His servants He consults
,اَلْأَوَّلُ غَيْرُ مَوْصُوفٍ,The First without description
,وَالْبَاقِيْ بَعْدَ فَنَاءِ الْخَلْقِ,And the Everlasting after the annihilation of creation
,اَلْعَظِيمُ الرُّبُوبِيَّةِ,The Great in Lordship
,نُوْرُ السَّمَاوَاتِ وَالْأَرَضِينَ,The Light of the heavens and earths
,وَفَاطِرُهُمَا وَمُبْتَدِعُهُمَا,Their Creator and their Originator
,بِغَيْرِ عَمَدٍ خَلَقَهُمَا وَفَتَقَهُمَا فَتْقًا,Without pillars He created them and split them asunder
,فَقَامَتِ السَّمَاوَاتُ طَائِعَاتٍ بِأَمْرِهِ,So the heavens stand obedient by His command
,وَاسْتَقَرَّتِ الْأَرَضُونَ بِأَوْتَادِهَا فَوْقَ الْمَاءِ,And the earths settled with their pegs above the water
,ثُمَّ عَلَا رَبُّنَا فِيْ السَّمَاوَاتِ الْعُلىٰ,Then our Lord rose high in the highest heavens
,اَلرَّحْمٰنُ عَلَى الْعَرْشِ اسْتَوٰى,The Most Merciful established Himself on the Throne
,لَهُ مَا فِيْ السَّمَاوَاتِ وَمَا فِيْ الْأَرْضِ,To Him belongs whatever is in the heavens and whatever is in the earth
,وَمَا بَيْنَهُمَا وَمَا تَحْتَ الثَّرىٰ,And whatever is between them and whatever is under the soil
,فَأَنَا أَشْهَدُ بِأَنَّكَ أَنْتَ اللَّهُ,I bear witness that You are Allah
