Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send Your blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ أَنْتَ مُتَعَالَى الْمَكَانِ,"O Allah, You are exalted in position"
,عَظِيمُ الْجَبَرُوتِ,Great in might
,شَدِيدُ الْمِحَالِ,Severe in strength
,غَنِيٌّ عَنِ الْخَلائِقِ,Independent of all creation
,عَرِيضُ الْكِبْرِيَاءِ,Vast in greatness
,قَادِرٌ عَلَى مَا تَشَاءُ,Capable of whatever You will
,قَرِيبُ الرَّحْمَةِ,Near in mercy
,صَادِقُ الْوَعْدِ,True to Your promise
,سَابِغُ النِّعْمَةِ,Perfect in Your blessings
,حَسَنُ الْبَلاءِ,Excellent in Your trials
,قَرِيبٌ إِذَا دُعِيتَ,Near when You are called
,مُحِيطٌ بِمَا خَلَقْتَ,Encompassing all that You have created
,قَابِلُ التَّوْبَةِ لِمَنْ تَابَ إِلَيْكَ,Accepting the repentance of those who turn to You
,قَادِرٌ عَلَى مَا أَرَدْتَ,Capable of what You intend
,وَمُدْرِكٌ مَا طَلَبْتَ,And attaining what You seek
,وَشَكُورٌ إِذَا شُكِرْتَ,And appreciative when You are thanked
,وَذَكُورٌ إِذَا ذُكِرْتَ,And remembering when You are remembered
,أَدْعُوكَ مُحْتَاجًا,I call upon You in need
,وَأَرْغَبُ إِلَيْكَ فَقِيرًا,And I turn to You in poverty
,وَأَفْزَعُ إِلَيْكَ خَائِفًا,And I seek refuge in You in fear
,وَأَبْكِيْ إِلَيْكَ مَكْرُوبًا,And I cry to You in distress
,وَأَسْتَعِينُ بِكَ ضَعِيفًا,And I seek help from You in weakness
,وَأَتَوَكَّلُ عَلَيْكَ كَافِيًا,And I rely upon You as sufficient
,اَحْكُمْ بَيْنَنَا وَبَيْنَ قَوْمِنَا بِالْحَقِّ,Judge between us and our people with truth
,فَإِنَّهُمْ غَرُّوْنَا وَخَدَعُوْنَا,For they deceived us and betrayed us
,وَخَذَلُوْنَا وَغَدَرُوْا بِنَا وَقَتَلُوْنَا,And abandoned us and acted treacherously towards us and killed us
,وَنَحْنُ عِتْرَةُ نَبِيِّكَ,And we are the family of Your Prophet
,وَوَلَدُ حَبِيبِكَ,And the children of Your beloved
,مُحَمَّدِ بْنِ عَبْدِاللَّهِ,Muhammad son of Abdullah
,اَلَّذِيْ اصْطَفَيْتَهُ بِالرِّسَالَةِ,Whom You chose for Your message
,وَائْتَمَنْتَهُ عَلَى وَحْيِكَ,And entrusted with Your revelation
,فَاجْعَلْ لَنَا مِنْ أَمْرِنَا فَرَجًا وَمَخْرَجًا,So grant us relief and a way out from our situation
,بِرَحْمَتِكَ يَا أَرْحَمَ الرَّاحِمِيْنَ,"By Your mercy, O Most Merciful of those who show mercy"
