line id verse number,arabic text,english translation text
,,"Go to sajdah and
recite as follows"
,يَا اللَّهُ يَا اللَّهُ يَا اللَّهُ,O Allah! O Allah! O Allah!
,يَا رَبُّ يَا رَبُّ يَا رَبُّ,O Lord-Nourisher! O Lord-Nourisher! O Lord-Nourisher!
,يَا مُنْزِلَ ٱلْبَرَكَاتِ,O He Who sends down blessing!
,بِكَ تُنْزَلُ كُلُّ حَاجَةٍ,To You only are all desires turned.
,اَسْاَلُكَ بِكُلِّ ٱسْم فِي مَخْزُونِ ٱلْغَيْبِ عِنْدَكَ,"I beseech You in the name of every name treasured in Your invisible collection,"
,وَٱلاَسْمَاءِ ٱلْمَشْهُورةِ عِنْدَكَ,"and in the name of Your celebrated names,"
,ٱلْمَكْتُوبَةِ عَلَىٰ سُرَادِقِ عَرْشِكَ,"inscribed on the hangings of Your Throne,"
,اَنْ تُصَلِّيَ عَلَىٰ مُحَمَّدٍ وَآلِ مُحَمَّد,"to send blessings to Muhammad and the Household of Muhammad,"
,وَاَنْ تَقْبَلَ مِنِّي شَهْرَ رَمَضَانَ,"to accept my offerings made in the month of Ramadan,"
,وَتَكْتُبَنِي مِنَ ٱلْوَافِدينَ إِلىٰ بَيْتِكَ ٱلْحَرَامِ,"to record my name in the list of those who will journey to Your Sacred House,"
,وَتَصْفَحَ لِي عَنِ ٱلذُّنُوبِ ٱلْعِظَامِ,"to overlook my grand sins,"
,وَتَسْتَخْرِجَ لِي يَا رَبِّ كُنُوزَكَ يَا رَحْمٰنُ,"to demonstrate, O Lord, before me Your treasures, O All-beneficent!"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
