line id verse number,arabic text,english translation text
,,Dua Al-Iftetah
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the name of Allah, the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
,اللّهُمَّ إنِّي أَفْتَتِحُ الثَّنَاءَ بِحَمْدِكَ,"O Allah, I begin glorifying You with Your Praise."
,وَأَنْتَ مُسَدِّدٌ لِلصَّوَابِ بِمَنِّكَ،,And You are the one who direct towards salvation through Your Grace.
,وَأَيْقَنْتُ أَنَّكَ أَنْتَ أَرْحَمُ الرَّاحِمِينَ فِي مَوْضِعِ الْعَفْوِ وَالرَّحْمَةِ،,"I am certain that You are the most Merciful in matters of forgiveness and mercy,"
,وَأَشَدُّ الْمُعَاقِبِينَ فِي مَوْضِعِ النَّكَالِ وَالنِّقِمَةِ،,"but most severe in matters of warning and retribution,"
,وَأَعْظَمُ الْمُتَجَبِّرِينَ فِي مَوْضِعِ الْكِبْرِيَاءِ وَالْعَظَمَةِ.,and the most mighty in matters of power and magnificence.
,اللّهُمَّ أَذِنْتَ لِي فِي دُعَائِكَ وَمَسْأَلَتِكَ،,"O Allah, You have allowed me to supplicate to You and ask from You."
,فَاسْمَعْ يَا سَمِيعُ مِدْحَتِي، وَأَجِبْ يَا رَحِيمُ دَعْوَتِي،,"Then (please) hear my praise, O One who hears all, and answer my call, O Merciful,"
,وَأَقِلْ يَا غَفُورُ عَثْرَتِي،,"and decrease my mistakes, O most Forgiving."
,فَكَمْ يَا إلهِي مِنْ كُرْبَةٍ قَدْ فَرَّجْتَهَا، وَهُمُومٍ قَدْ كَشَفْتَهَا،,"How often, O my God, You have relieved me of troubles, how much grief You have dispelled,"
,وَعَثْرَةٍ قَدْ أَقَلْتَهَا، وَرَحْمَةٍ قَدْ نَشَرْتَهَا،,"how many mistakes You have prevented, how many blessings You have spread,"
,وَحَلْقَةِ بَلاءٍ قَدْ فَكَكْتَهَا,and how many series of afflictions You have eased.
,الْحَمْدُ لِلّهِ الَّذِي لَمْ يَتَّخِذْ صَاحِبَةً وَلا وَلَداً,"All Praise is for Allah who has not taken a wife nor a son,"
,وَلَمْ يَكُنْ لَهُ شَرِيكٌ فِي الْمُلْكِ,"who has no partner in His Kingdom,"
,وَلَمْ يَكُنْ لَهُ وَلِيٌّ مِنَ الذُّلِّ وَكَبِّرْهُ تَكْبِيراً.,"who has no friend to protect Him, so magnify Him with a great Magnificence."
,ٱللَّٰهُ أَكْبَرُ,[Allah is Great]
,الْحَمْدُ لِلّهِ بِجَمِيعِ مَحَامِدِهِ كُلِّهَا،,"All Praise is for Allah for all His praiseworthy acts,"
,عَلَى جَمِيعِ نِعَمِهِ كُلِّهَا.,for all His favours and blessings.
,الْحَمْدُ لِلّهِ الَّذِي لا مُضَادَّ لَهُ فِي مُلْكِهِ،,"All Praise is for Allah who has no opposition in His Kingdom,"
,وَلا مُنَازِعَ لَهُ فِي أَمْرِهِ.,nor any challenge to His command.
,الْحَمْدُ لِلّهِ الَّذِي لا شَرِيكَ لَهُ فِي خَلْقِهِ،,"All Praise is for Allah who has no partner in creation,"
,وَلا شَبِيهَ لَهُ فِي عَظَمَتِهِ.,nor anyone like Him in His Greatness.
,الْحَمْدُ لِلّهِ الْفَاشِي فِي الْخَلْقِ أَمْرُهُ,"All Praise is for Allah, His commands operate over His creation,"
,وَحَمْدُه الظَّاهِرِ بِالْكَرَمِ مَجْدُهُ،,"and His glory is evident through His Generosity,"
,الْبَاسِطِ بِالْجُودِ يَدَهُ،,whose bestowal stretches out liberally.
,الَّذِي لا تَنْقُصُ خَزَائِنُهُ،,"His treasures never decrease,"
,وَلا تَزِيدُهُ كَثْرَةُ الْعَطَاءِ إلاَّ جُوداً وَكَرَماً,(rather) the frequency of His Giving increases through His Generosity and Kindness.
,إنَّهُ هُوَ الْعَزِيزُ الْوَهَّابُ.,"Surely He is the Mighty, the Bestower."
,اللّهُمَّ إنِّي أَسْأَلُكَ قَلِيلاً مِنْ كَثِيرٍ،,"O Allah, I ask You for a little from much,"
,مَعَ حَاجَةٍ بِي إلَيْهِ عَظِيمَةٍ,"although I am in great need of it,"
,وَ غِنَاكَ عَنْهُ قَدِيمٌ,"while You are eternally needless of it,"
