line id verse number,arabic text,english translation text
,,Allahumma Inni As Aluka An Taj’al
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the name of Allah, the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
,اللّهُمَّ إنِّي أَسْأَلُكَ أَنْ تَجْعَلَ فِيمَا تَقْضِي وَتُقَدِّرُ,"O Allah, I beseech You to place, in what You destine and decree,"
,مِنَ الأَمْرِ الْمَحْتُومِ فِي الأَمْرِ الْحَكِيمِ,"from the orders which are definite, and orders which are wise,"
,مِنَ الْقَضَاءِ الَّذِي لا يُرَدُّ وَلا يُبَدَّلُ,"from the decree which is neither reversed nor changed,"
,أَنْ تَكْتُبَنِي مِنْ حُجَّاجِ بَيْتِكَ الْحَرَامِ,"write my name as one of the pilgrims of Your sacred house,"
,الْمَبْرُورِ حَجُّهُمُ، الْمَشْكُورِ سَعْيُهُمُ،,"whose Hajj is approved, whose efforts are accepted,"
,الْمَغْفُورِ ذُنُوبُهُمُ، الْمُكَفَّرِ عَنْ سَيِّئَاتِهِمْ،,"whose sins are forgiven, and whose evil deeds are pardoned."
,وَأَنْ تَجْعَلَ فِيمَا تَقْضِي وَتُقَدِّرُ,"and place for me, in what You destine and decree,"
,أَنْ تُطِيلَ عُمْرِي فِي خَيْرٍ وَعَافِيَةٍ،,"lengthen my life, in goodness and health,"
,وَتُوَسِّعَ في رِزْقِي،,and an increase in my sustenance.
,وَتَجْعَلَنِي مِمَّنْ تَنْتَصِرُ بِهِ لِدِينِكَ,"Make me from among those through whom You support Your religion,"
,وَلا تَسْتَبْدِلْ بِي غَيْرِي.,And do not substitute me with anyone
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the name of Allah, the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
,أَعُوذُ بِجَلالِ وَجْهِكَ الْكَرِيمِ,I seek refuge with the majesty of Your gracious self.
,أَنْ يَنْقَضِيَ عَنِّي شَهْرُ رَمَضَانَ,"from the passing of the month of Ramadhan,"
,أَوْ يَطْلُعَ الْفَجْرُ مِنْ لَيْلَتِي هذِهِ,"or the appearance of the dawn of this night,"
,وَلَكَ قِبَلِي تَبِعَةٌ أَوْ ذَنْبٌ تُعَذِّبُنِي عَلَيْهِ.,"while I still have a (pending) obligation which I have not carried out, or a sin that You may punish me for."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
