line id verse number,arabic text,english translation text
,,Allahumma Adhkil
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the name of Allah, the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
,اللّهُمَّ أَدْخِلْ عَلَى أَهْلِ الْقُبُورِ السُّرُورَ،,"O Allah, delight the people of the graves."
,اللّهُمَّ أَغْنِ كُلَّ فَقِيرٍ،,"O Allah, enrich every poor person."
,اللّهُمَّ أَشْبِعْ كُلَّ جَائِعٍ،,"O Allah, satiate every hungry person."
,اللّهُمَّ اكْسُ كُلَّ عُرْيَانٍ،,"O Allah, clothe
every unclothed one."
,اللّهُمَّ اقْضِ دَيْنَ كُلِّ مَدِينٍ،,"O Allah, help every debtor pay his debts."
,اللّهُمَّ فَرِّجْ عَنْ كُلِّ مَكْرُوبٍ،,"O Allah, relieve every distressed one."
,اللّهُمَّ رُدَّ كُلَّ غَرِيبٍ،,"O Allah, return every traveller (to his home)."
,اللّهُمَّ فُكَّ كُلَّ أَسِيرٍ،,"O Allah, release every prisoner."
,اللّهُمَّ أَصْلِحْ كُلَّ فَاسِدٍ مِنْ أُمُورِ الْمُسْلِمِينَ،,"O Allah, correct every wrong in the affairs of the Muslims."
,اللّهُمَّ اشْفِ كُلَّ مَرِيضٍ،,"O Allah, cure every sick one."
,اللّهُمَّ سُدَّ فَقْرَنَا بِغِنَاكَ،,"O Allah, ease our
poverty by Your wealth."
,اللّهُمَّ غَيِّرْ سُوءَ حَالِنَا بِحُسْنِ حَالِكَ،,"O Allah, change our evil state to one of excellence."
,اللّهُمَّ اقْضِ عَنَّا الدَّيْنَ وَأَغْنِنَا مِنَ الْفَقْرِ،,"O Allah, relieve us of our debts, and enrich us from poverty."
,إنَّكَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ.,Surely You have power over all things.
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
