line id verse number,arabic text,english translation text
,,Du`a for 22nd Night of Ramadhan
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
,يَا سَالِخَ ٱلنَّهَارِ مِنَ ٱللَّيْلِ فَإِذَا نَحْنُ مُظْلِمُونَ,"O (One) who draws forth the day from the night, and lo! we are in darkness."
,وَمُجْرِيَ ٱلشَّمْسِ لِمُسْتَقَرِّهَا بِتَقْدِيرِكَ، يَا عَزِيزُ يَا عَلِيمُ,"O (One) who causes the sun to travel its appointed place, through Your decree, O the Mighty, the All­Knowing."
,وَمُقَدِّرَ ٱلْقَمَرِ مَنَازِلَ حَتَّىٰ عَادَ كَٱلْعُرْجُونِ ٱلْقَدِيمِ,"and who decreed stages for the moon, till it returns bent like a palm tree."
,يَا نُورَ كُلِّ نُورٍ،وَمُنْتَهَىٰ كُلِّ رَغْبَةٍ,"O the Light of all lights, and the ultimate goal of all desires,"
,وَوَلِيَّ كُلِّ نِعْمَةٍ،يَا اللَّهُ يَا رَحْمٰنُ,"and the Guardian of all blessings, O Allah, O Beneficent."
,يَا اللَّهُ يَا قُدُّوسُ،يَا اَحَدُ يَا وَاحِدُ يَا فَرْدُ,"O Allah, O Holy, O One,O (the) Unique, O (the) Single,"
,يا اَللّهُ يا اَللّهُ يا اَللّهُ لَكَ الاْسْماَّءُ الْحُسْنى,"O Allah, O Allah, O Allah, You have the most beautiful names,"
,وَالاْمْثالُ الْعُلْيا وَالْكِبْرِياَّءُ وَالاْ لاَّءُ,"the highest examples, the grandeur, the bounties."
,اَسْئَلُكَ اَنْ تُصَلِّىَ عَلى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"I beseech You to bless Muhammad and the family of Muhammad,"
,وَاَنْ تَجْعَلَ اسْمى فِى هذِهِ اللَّيْلَةِ فِى السُّعَداَّءِ,"and place my name, in this night, among the fortunate,"
,وَرُوحى مَعَ الشُّهَداَّءِ وَاِحْسانى فى عِلِّيّينَ، وَاِسائَتى مَغْفُورَةً,"and my soul among the martyrs, let my good deeds be (written) in the `illiyyín (book of the virtuous), and my evil deeds be forgiven."
,وَاَنْ تَهَبَ لى يَقينَاً تُباشِرُ بِهِ قَلْبى,"(And I beseech You to) grant me a certainty which gives joy to my heart,"
,وَاِيماناً يُذْهِبُ الشَّكَّ عَنّى وَتُرْضِيَنى بِما قَسَمْتَ لى,"and a faith which drives doubt away from me,and make me pleased with what You have granted me."
,وَآتِنا فِى الدُّنْيا حَسَنَةً وَفِى الاْخِرَةِ حَسَنَةً,"(And I beseech You to) Give us good in this world, and good in the Hereafter,"
,وَقِنا عَذابَ النّارِ الْحَريقِ,and save us from the punishment of the burning fire. (2:201)
,وَارْزُقْنى فيها ذِكْرَكَ وَشُكْرَكَ وَالرَّغْبَةَ اِلَيْكَ,"(And I beseech You to) grant me in it (Night of Qadr) Your remembrance, and Your gratitude, and desire for (pleasing) You,"
,وَالْاِنابَةَ وَالتَّوْفيقَ لِما وَفَّقْتَ لَهُ مُحَمَّداً وَ الِ مُحَمَّدٍ,"turning (to You for repentance), and success, for all that You have granted Muhammad and his family,"
,عَلَيْهِ وَعَلَيْهِمُ السَّلامُ,peace be on him and on them.
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
