line id verse number,arabic text,english translation text
,,Du`a for 27th Night of Ramadhan
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
,يَا مَادَّ ٱلظِّلِّ، وَلَوْ شِئْتَ لَجَعَلْتَهُ سَاكِناً,O (One) who extended the shadow and had You wished You would have made it stationary.
,وَجَعَلْتَ ٱلشَّمْسَ عَلَيْهِ دَلِيلاً، ثُمَّ قَبَضْتَهُ إِلَيْكَ قَبْضاً يَسِيراً,"And You made the sun its guide, then You withdrew it to Yourself, an easy withdrawal."
,يَاذَا ٱلْجُودِ وَٱلطَّوْلِ، وَٱلْكِبْرِيَاءِ وَٱلآلاَءِ,"O the possessor of generosity and power, grandeur and bounties."
,لاَ إِلٰهَ إِلاَّ اَنْتَ،عَالِمُ ٱلْغَيْبِ وَٱلشَّهَادَةِ، ٱلرَّحْمٰنُ ٱلرَّحِيمُ,"There is no god but You, Knower of the unseen and the manifest, the Beneficent, the Merciful."
,لاَ إِلٰهَ إِلاَّ اَنْتَ، يَا قُدُّوسُ يَا سَلاَمُ، يَا مُؤْمِنُ يَا مُهَيْمِنُ,"There is no god but You, O Holy, O Peace, O the Trusted, O the Protector,"
,يَا عَزِيزُ يَا جَبَّارُ، يَا مُتَكَبِّرُ يَا اللَّهُ، يَا خَالِقُ يَا بَارِئُ يَا مُصَوِّرُ,"O Mighty, O Most Powerful, O Sublime. O Allah, O Creator,
O Originator, O the Fashioner,"
,يا اَللّهُ يا اَللّهُ يا اَللّهُ لَكَ الاْسْماَّءُ الْحُسْنى,"O Allah, O Allah, O Allah, You have the most beautiful names,"
,وَالاْمْثالُ الْعُلْيا وَالْكِبْرِياَّءُ وَالاْ لاَّءُ,"the highest examples, the grandeur, the bounties."
,اَسْئَلُكَ اَنْ تُصَلِّىَ عَلى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"I beseech You to bless Muhammad and the family of Muhammad,"
,وَاَنْ تَجْعَلَ اسْمى فِى هذِهِ اللَّيْلَةِ فِى السُّعَداَّءِ,"and place my name, in this night, among the fortunate,"
,وَرُوحى مَعَ الشُّهَداَّءِ وَاِحْسانى فى عِلِّيّينَ، وَاِسائَتى مَغْفُورَةً,"and my soul among the martyrs, let my good deeds be (written) in the `illiyyín (book of the virtuous), and my evil deeds be forgiven."
,وَاَنْ تَهَبَ لى يَقينَاً تُباشِرُ بِهِ قَلْبى,"(And I beseech You to) grant me a certainty which gives joy to my heart,"
,وَاِيماناً يُذْهِبُ الشَّكَّ عَنّى وَتُرْضِيَنى بِما قَسَمْتَ لى,"and a faith which drives doubt away from me, and make me pleased with what You have granted me."
,وَآتِنا فِى الدُّنْيا حَسَنَةً وَفِى الاْخِرَةِ حَسَنَةً,"(And I beseech You to) Give us good in this world, and good in the Hereafter,"
,وَقِنا عَذابَ النّارِ الْحَريقِ,and save us from the punishment of the burning fire. (2:201)
,وَارْزُقْنى فيها ذِكْرَكَ وَشُكْرَكَ وَالرَّغْبَةَ اِلَيْكَ,"(And I beseech You to) grant me in it (Night of Qadr) Your remembrance, and Your gratitude, and desire for (pleasing) You,"
,وَالْاِنابَةَ وَالتَّوْفيقَ لِما وَفَّقْتَ لَهُ مُحَمَّداً وَ الِ مُحَمَّدٍ,"turning (to You for repentance), and success, for all that You have granted Muhammad and his family,"
,عَلَيْهِ وَعَلَيْهِمُ السَّلامُ,peace be on him and on them.
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,"O Allah, bless Muhammad and the family of Muhammad."
