line id verse number,arabic text,english translation text
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
[Al-Baqarah – The Cow 2 : 0]"
,الم,"Alif, Lam, Mim.
[Al-Baqarah – The Cow 2 : 1]"
,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,"This is the Book, there is no doubt in it, a guidance to the Godwary,
[Al-Baqarah – The Cow 2 : 2]"
,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,"who believe in the Unseen, maintain the prayer, and spend out of what We have provided for them;
[Al-Baqarah – The Cow 2 : 3]"
,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,"and who believe in what has been sent down to you and what was sent down before you, and are certain of the Hereafter.
[Al-Baqarah – The Cow 2 : 4]"
,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,"Those follow their Lord’s guidance and it is they who are the felicitous.
[Al-Baqarah – The Cow 2 : 5]"
,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,"As for the faithless, it is the same to them whether you warn them or do not warn them, they will not have faith.
[Al-Baqarah – The Cow 2 : 6]"
,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,"Allah has set a seal on their hearts and their hearing, and there is a blindfold on their sight, and there is a great punishment for them.
[Al-Baqarah – The Cow 2 : 7]"
,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,"Among the people are those who say, ‘We have faith in Allah and the Last Day,’ but they have no faith.
[Al-Baqarah – The Cow 2 : 8]"
,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,"They seek to deceive Allah and those who have faith, yet they deceive no one but themselves, but they are not aware.
[Al-Baqarah – The Cow 2 : 9]"
,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,"There is a sickness in their hearts; then Allah increased their sickness, and there is a painful punishment for them because of the lies they used to tell.
[Al-Baqarah – The Cow 2 : 10]"
,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,"When they are told, ‘Do not cause corruption on the earth,’ they say, ‘We are only reformers!’
[Al-Baqarah – The Cow 2 : 11]"
,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,"Behold! They are themselves the agents of corruption, but they are not aware.
[Al-Baqarah – The Cow 2 : 12]"
,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,"And when they are told, ‘Believe like the people who have believed,’ they say, ‘Shall we believe like the fools who have believed?’ Behold! They are themselves the fools, but they do not know.
[Al-Baqarah – The Cow 2 : 13]"
,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,"When they meet the faithful, they say, ‘We believe,’ but when they are alone with their devils, they say, ‘We are with you; we were only deriding [them].’
[Al-Baqarah – The Cow 2 : 14]"
,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,"It is Allah who derides them, and leaves them bewildered in their rebellion.
[Al-Baqarah – The Cow 2 : 15]"
