Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,إِلٰهِيْ لَاتُؤَدِّبْنِيْ بِعُقُوبَتِكَ,"My God, do not discipline me with Your punishment"
,وَلَا تَمْكُرْ بِىْ فِيْ حِيْلَتِكَ,And do not plot against me with Your strategy
,مِنْ أَيْنَ لِيَ الْخَيْرُ يَا رَبِّ,"From where can I obtain good, O Lord"
,وَلَا يُوجَدُ إِلَّا مِنْ عِنْدِكَ,When it can only be found with You
,وَمِنْ أَيْنَ لِيَ النَّجَاةُ,And from where can I find salvation
,وَلَا تُسْتَطَاعُ إِلَّا بِكَ,When it cannot be attained except through You
,لَا الَّذِيْ أَحْسَنَ اسْتَغْنىٰ عَنْ عَوْنِكَ وَرَحْمَتِكَ,Neither can one who does good dispense with Your help and mercy
,وَلَا الَّذِيْ أَسَاءَ وَاجْتَرَأَ عَلَيْكَ,Nor can one who did wrong and displeased You
,وَلَمْ يُرْضِكَ خَرَجَ عَنْ قُدْرَتِكَ,Escape from Your power
,,
,يَا رَبِّ,O Lord
,,
,بِكَ عَرَفْتُكَ,Through You I have known You
,وَأَنْتَ دَلَلْتَنِيْ عَلَيْكَ,It is You who guided me to Yourself
,وَدَعَوْتَنِيْ إِلَيْكَ,And invited me to You
,وَلَوْلَا أَنْتَ لَمْ أَدْرِ مَا أَنْتَ,"Had it not been for You, I would not have known who You are"
,اَلْحَمْدُ لِلّٰهِ الَّذِيْ أَدْعُوهُ فَيُجِيبُنِي,All praise is for Allah whom I call and He answers me
,وَإِنْ كُنْتُ بَطِيئًا حِيْنَ يَدْعُونِي,Even though I am slow to respond when He calls me
,وَالْحَمْدُ لِلّٰهِ الَّذِيْ أَسْأَلُهُ فَيُعْطِينِي,And praise be to Allah whom I ask and He gives to me
,وَإِنْ كُنْتُ بَخِيلًا حِيْنَ يَسْتَقْرِضُنِي,Even though I am stingy when He seeks a loan from me
