Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the Name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send Your blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ إِنِّيْ أَفْتَتِحُ الثَّنَاءَ بِحَمْدِكَ,"O Allah, I begin praising You with Your praise"
,وَأَنْتَ مُسَدِّدٌ لِلصَّوَابِ بِمَنِّكَ,And You guide to that which is right by Your grace
,وَأَيْقَنْتُ أَنَّكَ أَنْتَ أَرْحَمُ الرَّاحِمِيْنَ,And I am certain that You are the Most Merciful of those who show mercy
,فِيْ مَوْضِعِ الْعَفْوِ وَالرَّحْمَةِ,In the position of pardon and mercy
,وَأَشَدُّ الْمُعَاقِبِينَ,And the Harshest of punishers
,فِيْ مَوْضِعِ النَّكَالِ وَالنَّقِمَةِ,In the position of punishment and vengeance
,وَأَعْظَمُ الْمُتَجَبِّرِينَ,And the Greatest of those who display power
,فِيْ مَوْضِعِ الْكِبْرِيَاءِ وَالْعَظَمَةِ,In the position of pride and magnificence
,اَللَّهُمَّ أَذِنْتَ لِيْ فِيْ دُعَائِكَ وَمَسْأَلَتِكَ,"O Allah, You have permitted me to supplicate to You and ask of You"
,فَاسْمَعْ يَا سَمِيعُ مِدْحَتِي,"So hear, O All-Hearing, my praise"
,وَأَجِبْ يَا رَحِيمُ دَعْوَتِي,"And answer, O Merciful, my call"
,وَأَقِلْ يَا غَفُورُ عَثْرَتِي,"And overlook, O Forgiving, my mistake"
,فَكَمْ يَا إِلٰهِيْ مِنْ كُرْبَةٍ قَدْ فَرَّجْتَهَا,"For how many, O my God, a worry You have relieved"
,وَهُمُومٍ قَدْ كَشَفْتَهَا,And sorrows You have dispelled
,وَعَثْرَةٍ قَدْ أَقَلْتَهَا,And errors You have overlooked
,وَرَحْمَةٍ قَدْ نَشَرْتَهَا,And mercy You have spread
,وَحَلْقَةِ بَلاءٍ قَدْ فَكَكْتَهَا,And chains of hardship You have broken
,اَلْحَمْدُ لِلَّهِ الَّذِيْ لَمْ يَتَّخِذْ صَاحِبَةً وَلَا وَلَدًا,All praise is for Allah who has not taken a wife or a son
,وَلَمْ يَكُنْ لَهُ شَرِيكٌ فِيْ الْمُلْكِ,And who has no partner in dominion
,وَلَمْ يَكُنْ لَهُ وَلِيٌّ مِنَ الذُّلِّ,And who has no protector out of weakness
,وَكَبِّرْهُ تَكْبِيرًا,And magnify Him with a great magnification
,اَلْحَمْدُ لِلَّهِ بِجَمِيْعِ مَحَامِدِهِ كُلِّهَا,All praise is for Allah with all His praises
,عَلَى جَمِيْعِ نِعَمِهِ كُلِّهَا,For all His blessings
,اَلْحَمْدُ لِلَّهِ الَّذِيْ لَا مُضَادَّ لَهُ فِيْ مُلْكِهِ,All praise is for Allah who has no opponent in His kingdom
,وَلَا مُنَازِعَ لَهُ فِيْ أَمْرِهِ,And no challenger in His command
,اَلْحَمْدُ لِلَّهِ الَّذِيْ لَا شَرِيكَ لَهُ فِيْ خَلْقِهِ,All praise is for Allah who has no partner in His creation
,وَلَا شَبِيهَ لَهُ فِيْ عَظَمَتِهِ,And no equal in His greatness
,اَلْحَمْدُ لِلَّهِ الْفَاشِيْ فِيْ الْخَلْقِ أَمْرُهُ وَحَمْدُهُ,All praise is for Allah whose command and praise pervade the creation
,اَلظَّاهِرِ بِالْكَرَمِ مَجْدُهُ,Whose glory is apparent through His generosity
,اَلبَاسِطِ بِالْجُودِ يَدَهُ,Who extends His hand with bounty
,اَلَّذِيْ لَا تَنْقُصُ خَزَائِنُهُ,Whose treasuries never diminish
,وَلَا تَزِيدُهُ كَثْرَةُ الْعَطَاءِ إِلَّا جُودًا وَكَرَمًا,And excessive giving only increases His generosity and nobility
,إِنَّهُ هُوَ الْعَزِيزُ الْوَهَّابُ,"Indeed, He is the Mighty, the Bestower"
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ قَلِيْلًا مِنْ كَثِيرٍ,"O Allah, I ask You for a little from much"
,مَعَ حَاجَةٍ بِيْ إِلَيْهِ عَظِيمَةٍ,While I am in great need of it
,وَغِنَاكَ عَنْهُ قَدِيمٌ,And You have always been independent of it
,وَهُوَ عِنْدِيْ كَثِيرٌ,While to me it is great
,وَهُوَ عَلَيْكَ سَهْلٌ يَسِيرٌ,And to You it is easy and simple
,اَللَّهُمَّ إِنَّ عَفْوَكَ عَنْ ذَنْبِي,"O Allah, indeed Your forgiveness of my sin"
,وَتَجَاوُزَكَ عَنْ خَطِيئَتِي,And Your overlooking my mistake
,وَصَفْحَكَ عَنْ ظُلْمِي,And Your pardoning my wrongdoing
,وَسِتْرَكَ عَلَى قَبِيحِ عَمَلِي,And Your concealing my ugly deeds
,وَحِلْمَكَ عَنْ كَثِيرِ جُرْمِي,And Your forbearance regarding my many crimes
,عِنْدَ مَا كَانَ مِنْ خَطَإِيْ وَعَمْدِي,When I committed them by error or deliberately
,أَطْمَعَنِيْ فِيْ أَنْ أَسْأَلَكَ مَا لَا أَسْتَوْجِبُهُ مِنْكَ,Has encouraged me to ask You for what I do not deserve from You
,اَلَّذِيْ رَزَقْتَنِيْ مِنْ رَحْمَتِكَ,That which You have provided me from Your mercy
