Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,سُبْحَانَكَ يَا لَا إِلٰهَ إِلَّا اَنْتَ,"Glory be to You, O there is no god but You"
,اَلغَوْثَ، اَلغَوْثَ,"[I beseech you for] relief, relief"
,خَلِّصْنَا مِنَ النَّارِ يَا رَبِّ,"Deliver us from the Fire, O Lord"
,,
,,
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ بِاسْمِكَ يَا اَللَّهُ,"O Allah, I ask You by Your name, O Allah"
,يَا رَحْمٰنُ يَا رَحِيمُ,"O Most Beneficent, O Most Merciful"
,يَا كَرِيمُ يَا مُقِيمُ,"O Most Generous, O Establisher"
,يَا عَظِيمُ يَا قَدِيمُ,"O Magnificent, O Eternal"
,يَا عَلِيمُ يَا حَلِيمُ يَا حَكِيمُ,"O All-Knowing, O Forbearing, O Wise"
,سُبْحَانَكَ يَا لَا إِلٰهَ إِلَّا اَنْتَ,"Glory be to You, O there is no god but You"
,اَلغَوْثَ، اَلغَوْثَ,"[I beseech you for] relief, relief"
,خَلِّصْنَا مِنَ النَّارِ يَا رَبِّ,"Deliver us from the Fire, O Lord"
,,
,,
,يَا سَيِّدَ السَّادَاتِ,O Master of masters
,يَا مُجِيبَ الدَّعَوَاتِ,O Answerer of prayers
,يَا رَافِعَ الدَّرَجَاتِ,O Raiser of ranks
,يَا وَلِيَّ الْحَسَنَاتِ,O Guardian of good deeds
,يَا غَافِرَ الْخَطِيئاتِ,O Forgiver of sins
,يَا مُعْطِيَ الْمَسْأَلاتِ,O Granter of requests
,يَا قَابِلَ التَّوْبَاتِ,O Acceptor of repentance
,يَا سَامِعَ الْأَصْوَاتِ,O Hearer of voices
,يَا عَالِمَ الْخَفِيِّاتِ,O Knower of hidden things
,يَا دَافِعَ الْبَلِيِّاتِ,O Repeller of calamities
,سُبْحَانَكَ يَا لَا إِلٰهَ إِلَّا اَنْتَ,"Glory be to You, O there is no god but You"
,اَلغَوْثَ، اَلغَوْثَ,"[I beseech you for] relief, relief"
,خَلِّصْنَا مِنَ النَّارِ يَا رَبِّ,"Deliver us from the Fire, O Lord"
,,
,,
,يَا خَيْرَ الْغَافِرِينَ,O Best of forgivers
,يَا خَيْرَ الْفَاتِحِينَ,O Best of openers
,يَا خَيْرَ النَّاصِرِينَ,O Best of helpers
,يَا خَيْرَ الْحَاكِمِينَ,O Best of judges
,يَا خَيْرَ الرَّازِقِينَ,O Best of providers
,يَا خَيْرَ الْوَارِثِينَ,O Best of inheritors
,يَا خَيْرَ الْحَامِدِيْنَ,O Best of praisers
,يَا خَيْرَ الذَّاكِرِينَ,O Best of rememberers
,يَا خَيْرَ الْمُنْزِلِينَ,O Best of senders
,يَا خَيْرَ الْمُحْسِنِينَ,O Best of benefactors
,سُبْحَانَكَ يَا لَا إِلٰهَ إِلَّا اَنْتَ,"Glory be to You, O there is no god but You"
,اَلغَوْثَ، اَلغَوْثَ,"[I beseech you for] relief, relief"
,خَلِّصْنَا مِنَ النَّارِ يَا رَبِّ,"Deliver us from the Fire, O Lord"
,,
,,
,يَا مَنْ لَهُ الْعِزَّةُ وَالْجَمَالُ,O One Who possesses glory and beauty
,يَا مَنْ لَهُ الْقُدْرَةُ وَالْكَمَالُ,O One Who possesses power and perfection
,يَا مَنْ لَهُ الْمُلْكُ وَالْجَلالُ,O One Who possesses sovereignty and majesty
,يَا مَنْ هُوَ الْكَبِيرُ الْمُتَعَالِ,"O One Who is the Great, the Exalted"
,يَا مُنْشِئَ السَّحَابِ الثِّقَالِ,O Originator of heavy clouds
,يَا مَنْ هُوَ شَدِيدُ الْمِحَالِ,O One Who is severe in might
,يَا مَنْ هُوَ سَرِيعُ الْحِسَابِ,O One Who is swift in reckoning
,يَا مَنْ هُوَ شَدِيدُ الْعِقَابِ,O One Who is severe in punishment
,يَا مَنْ عِنْدَهُ حُسْنُ الثَّوَابِ,O One Who has excellent rewards
,يَا مَنْ عِنْدَهُ أُمُّ الْكِتَابِ,O One Who has the Mother of the Book
,سُبْحَانَكَ يَا لَا إِلٰهَ إِلَّا اَنْتَ,"Glory be to You, O there is no god but You"
,اَلغَوْثَ، اَلغَوْثَ,"[I beseech you for] relief, relief"
,خَلِّصْنَا مِنَ النَّارِ يَا رَبِّ,"Deliver us from the Fire, O Lord"
,,
,,
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ بِاسْمِكَ,"O Allah, I ask You by Your name"
