Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, bless Muhammad and the family of Muhammad"
,اَللَّهُمَّ اِنَّكَ قُلْتَ فِيْ كِتَابِكَ الْمُنْزَلِ,"O Allah, You have said in Your revealed Book"
,شَهْرُ رَمَضَانَ الَّذِيْ أُنزِلَ فِيْهِ الْقُرْآنُ,The month of Ramadan in which the Quran was revealed
,وَهَذَا شَهْرُ رَمَضَانَ,And this is the month of Ramadan
,وَقَدْ تَصَرَّمَ,And it has passed away
,فَاَسْاَلُكَ بِوَجْهِكَ الْكَرِيمِ,So I ask You by Your noble countenance
,وَكَلِمَاتِكَ التَّامَّةِ,And by Your perfect words
,اِنْ كَانَ بَقِيَ عَلَيَّ ذَنْبٌ لَمْ تَغْفِرْهُ لِي,If there remains any sin for which You have not forgiven me
,اَوْ تُرِيدُ اَنْ تُعَذِّبَنِيْ عَلَيْهِ,Or You intend to punish me for it
,اَوْ تُقَايِسَنِيْ بِهِ,Or to hold me accountable for it
,اَنْ لَا يَطْلُعَ فَجْرُ هٰذِهِ اللَيْلَةِ,That the dawn of this night should not break
,اَوْ يَتَصَرَّمَ هٰذَا الشَّهْرُ,Nor should this month come to an end
,إِلَّا وَقَدْ غَفَرْتَهُ لِي,Except that You have forgiven it for me
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of the merciful ones
,اَللَّهُمَّ لَكَ الْحَمْدُ بِمَحَامِدِكَ كُلِّهَا,"O Allah, praise be to You with all Your praises"
,أَوَّلِهَا وَ آخِرِهَا,The first of them and the last of them
,مَا قُلْتَ لِنَفْسِكَ مِنْهَا,Those You have attributed to Yourself
,وَمَا قَالَ الْخَلائِقُ الْحَامِدُونَ,And those that praising creatures have said
,اَلْمُجْتَهِدُوْنَ الْمَعْدُودُونَ,"The diligent ones, the counted ones"
,اَلْمُوَفَّرُونَ ذِكْرَكَ,Those who abundantly remember You
,وَالشُّكْرَكَ لَكَ,And express gratitude to You
,اَلَّذِيْنَ أَعَنْتَهُمْ عَلَى أَدَاءِ حَقِّكَ,Those whom You have helped to fulfill Your rights
,مِنْ أَصْنَافِ خَلْقِكَ,From among the varieties of Your creation
,مِنَ الْمَلَائِكَةِ الْمُقَرَّبِيْنَ,From the closest angels
,وَالنَّبِيِّيْنَ وَالْمُرْسَلِيْنَ,And the prophets and messengers
,وَأَصْنَافِ النَّاطِقِيْنَ,And all types of those who speak
,وَالْمُسَبِّحِيْنَ لَكَ مِنْ جَمِيْعِ الْعَالَمِيْنَ,And those who glorify You from all the worlds
,عَلَى أَنَّكَ بَلَّغْتَنَا شَهْرَ رَمَضَانَ,For You have caused us to reach the month of Ramadan
,وَعَلَيْنَا مِنْ نِعَمِكَ,While we have from Your blessings
,وَعِنْدَنَا مِنْ قِسَمِكَ وَإِحْسَانِكَ,And we have from Your portions and Your kindness
,وَتَظَاهُرِ امْتِنَانِكَ,And the manifestation of Your favors
,فَبِذَالِكَ لَكَ مُنْتَهَى الْحَمْدِ,"For that, to You belongs the utmost praise"
,اَلْخَالِدِ الدَّآئِمِ,"The eternal, the everlasting"
,اَلرَّاكِدِ الْمُخَلِّدِ السَّرْمَدِ,"The constant, the immortal, the perpetual"
,اَلَّذِيْ لَا يَنْفَدُ طُوْلَ الْاَبَدِ,That which will never end throughout eternity
,جَلَّ ثَنَاؤُكَ,Great is Your praise
,أَعَنْتَنَا عَلَيْهِ حَتّىٰ قَضَيْتَ عَنَّا صِيَامَهُ وَقِيَامَهُ,You have helped us in it until You fulfilled for us its fasting and its standing
,مِنْ صَلاَةٍ وَمَا كَانَ مِنَّا فِيْهِ مِنْ بِرٍّ,From prayer and whatever righteous acts we performed in it
,اَوْ شُكْرٍ اَوْ ذِكْرٍ,Or gratitude or remembrance
,اَللَّهُمَّ فَتَقَبَّلْهُ مِنَّا بِأَحْسَنِ قَبُولِكَ,"O Allah, accept it from us with Your best acceptance"
,وَتَجَاوُزِكَ وَعَفْوِكَ,And Your overlooking and Your pardon
,وَصَفْحِكَ وَغُفْرَانِكَ,And Your forgiveness and Your amnesty
,وَحَقِيْقَةِ رِضْوَانِكَ,And the reality of Your pleasure
,حَتّىٰ تُظَفِّرَنَا فِيْهِ بِكُلِّ خَيْرٍ مَطْلُوْبٍ,Until You grant us success in it with every sought-after good
,وَجَزِيْلِ عَطَاءٍ مَوْهُوْبٍ,"And abundant, gifted bounty"
,وَتُوْقِيْنَا فِيْهِ مِنْ كُلِّ مَرْهُوْبٍ,And protect us in it from everything fearful
,اَوْ بَلاَءٍ مَجْلُوْبٍ,Or affliction brought forth
,اَوْ ذَنْبٍ مَكْسُوْبٍ,Or sin committed
,اَللَّهُمَّ إِنِّ أَسْئَلُكَ بِعَظيْمِ مَا سَأَلَكَ بِهِ أَحَدٌ مِنْ خَلْقِكَ,"O Allah, I ask You by the greatness with which any of Your creation has asked You"
,مِنْ كَرِيْمِ أَسْمَائِكَ,By Your noble names
,وَجَمِيْلِ ثَنَائِكَ,And Your beautiful praise
,وَخَاصَّةِ دُعَائِكَ,And Your special supplications
,اَنْ تُصَلِّيَ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,That You bless Muhammad and the family of Muhammad
,وَاَنْ تَجْعَلَ شَهْرَنَا هٰذَا أَعْظَمَ شَهْرِ رَمَضَانَ مَرَّ عَلَيْنَا,And that You make this month of ours the greatest month of Ramadan that has passed over us
,مُنْذُ أَنْزَلْتَنَا إِلَى الدُّنْيَا بَرَكَةً,"Since You brought us into this world, in blessings"
,فِيْ عِصْمَةِ دِيْنِي,In the protection of my religion
,وَخَلاَصِ نَفْسِي,And the salvation of my soul
,وَقَضَاءِ حَوَآئِجِي,And the fulfillment of my needs
,وَتُشَفِّعَنِيْ فِيْ مَسَآئِلِي,And accept my intercession in my requests
,وَتَمَامِ النِّعْمَةِ عَلَيَّ,And complete Your favor upon me
,وَصَرْفِ السُّوْءِ عَنِّيْ,And turn away evil from me
,وَلِبَاسِ الْعَافِيَةِ لِيْ فِيْهِ,And clothe me with well-being in it
,وَاَنْ تَجْعَلَنِيْ بِرَحْمَتِكَ مِمَّنْ اَدْخَرْتَ لَهُ لَيْلَةَ الْقَدْرِ,"And make me, by Your mercy, among those for whom You have reserved the Night of Power"
,وَجَعَلْتَهَا لَهُ خَيْرًا مِنْ أَلْفِ شَهْرٍ,And made it for them better than a thousand months
,فِيْ أَعْظَمِ الْأَجْرِ,In the greatest reward
,وَكَرَائِمِ الذُّخْرِ,And precious treasures
,وَحُسْنِ الشُّكْرِ,And beautiful gratitude
,وَطُوْلِ العُمْرِ,And long life
,وَدَوَامِ الْيُسْرِ,And lasting ease
,اَللَّهُمَّ وَأَسْأَلُكَ بِرَحْمَتِكَ وَطَوْلِكَ,"O Allah, I ask You by Your mercy and Your favor"
,وَعَفْوِكَ وَنَعْمَائِكَ,And Your pardon and Your blessings
,وَجَلاَلِكَ وَقَدِيْمِ إِحْسَانِكَ وَامْتِنَانِكَ,And Your majesty and Your ancient kindness and favors
,اَنْ لَا تَجْعَلَهُ آخِرَ الْعَهْدِ مِنَّا لِشَهْرِ رَمَضَانَ,That You do not make this our last experience of the month of Ramadan
,حَتَّى تُبَلِّغَنَاهُ مِنْ قَابِلٍ عَلَى أَحْسَنِ حَالٍ,Until You cause us to reach it next year in the best condition
,وَتُعَرِّفَنِيْ هِلاَلَهُ مَعَ النَّاظِرِيْنَ إِلَيْهِ وَالْمُعْتَرِفِيْنَ لَهُ,And show me its crescent moon with those who look at it and recognize it
,فِيْ أَعْفىٰ عَافِيَتِكَ,In the most complete of Your well-being
,وَاَنْعَمِ نِعْمَتِكَ,And the most pleasant of Your blessings
,وَاَوْسَعِ رَحْمَتِكَ,And the most extensive of Your mercy
,وَأَجْزَلِ قِسَمِكَ,And the most abundant of Your portions
,يَا رَبِّيَ الَّذِيْ لَيْسَ لِيْ رَبٌّ غَيْرُهُ,"O my Lord, besides whom there is no Lord for me"
