Line id,Arabic text,Translation
,اَللَّهُمَّ أَهْلَ الْكِبْرِيَاءِ وَالْعَظَمَةِ,"O Allah, the Possessor of Glory and Greatness"
,وَأَهْلَ الْجُوْدِ وَالْجَبَرُوْتِ,And the Possessor of Generosity and Might
,وَأَهْلَ الْعَفْوِ وَالرَّحْمَةِ,And the Possessor of Forgiveness and Mercy
,وَأَهْلَ التَّقْوَى وَالْمَغْفِرَةِ,And the Possessor of Piety and Pardon
,أَسْأَلُكَ بِحَقِّ هٰذَا الْيَوْمِ الَّذِيْ جَعَلْتَهُ لِلْمُسْلِمِيْنَ عِيْدًا,I ask You by the right of this day which You have made a celebration for Muslims
,وَلِمُحَمَّدٍ صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ ذُخْرًا وَشَرَفًا وَمَزِيدًا,"And for Muhammad, peace be upon him and his family, a treasure, honor and distinction"
,أَنْ تُصَلِّيَ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,To send blessings upon Muhammad and the family of Muhammad
,وَأَنْ تُدْخِلَنِيْ فِيْ كُلِّ خَيْرٍ أَدْخَلْتَ فِيْهِ مُحَمَّدًا وَ آلَ مُحَمَّدٍ,And to include me in every goodness in which You included Muhammad and the family of Muhammad
,وَأَنْ تُخْرِجَنِيْ مِنْ كُلِّ سُوْءٍ أَخْرَجْتَ مِنْهُ مُحَمَّدًا وَ آلَ مُحَمَّدٍ,And to remove me from every evil from which You removed Muhammad and the family of Muhammad
,صَلَوَاتُكَ عَلَيْهِ وَعَلَيْهِمْ,Your blessings be upon him and upon them
,اَللَّهُمَّ إِنِّيْ أَسْأَلُكَ خَيْرَ مَا سَأَلَكَ مِنْهُ عِبَادُكَ الصَّالِحُوْنَ,"O Allah, I ask You for the best of what Your righteous servants have asked of You"
,وَأَعُوْذُ بِكَ مِمَّا اسْتَعَاذَ مِنْهُ عِبَادُكَ المُخْلَصُوْنَ,And I seek refuge in You from what Your sincere servants have sought refuge from
