Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ إِنِّيْ أَسْئَلُكَ الْاَمَانَ يَوْمَ لَا يَنْفَعُ مَالٌ  وَلابَنُوْنَ,"O Allah, I ask You for security on the Day when neither wealth nor children will benefit"
,إِلَّا مَنْ أَتَى اللَّهَ بِقَلْبٍ سَلِيْمٍ,Except for one who comes to Allah with a sound heart
,وَأَسْئَلُكَ الْاَمَانَ يَوْمَ يَعَضُّ الظَّالِمُ عَلَى يَدَيْهِ,And I ask You for security on the Day when the wrongdoer will bite his hands
,يَقُوْلُ يَا لَيْتَنِيْ اتَّخَذْتُ مَعَ الرَّسُوْلِ سَبِيْلًا,"Saying, ""Oh, I wish I had taken with the Messenger a way"""
,وَأَسْئَلُكَ الْاَمَانَ يَوْمَ يُعْرَفُ الْمُجْرِمُوْنَ بِسِيْمَاهُمْ,And I ask You for security on the Day when the criminals will be known by their marks
,فَيُؤْخَذُ بِالنَّوَاصِيْ وَالْاَقْدَامِ,And they will be seized by their forelocks and feet
,وَأَسْئَلُكَ الْاَمَانَ يَوْمَ لَا يَجْزِيْ وَالِدٌ عَنْ وَلَدِهِ,And I ask You for security on the Day when no father will avail his son
,وَلَا مَوْلُوْدٌ هُوَ جَازٍ عَنْ وَالِدِهِ شَيْئًا,Nor will a son avail his father at all
,إِنَّ وَعْدَ اللَّهِ حَقٌّ,"Indeed, the promise of Allah is truth"
,وَأَسْئَلُكَ الْاَمَانَ يَوْمَ لَا يَنْفَعُ الظَّالِمِيْنَ مَعْذِرَتُهُمْ,And I ask You for security on the Day when the excuses of the wrongdoers will not benefit them
,وَلَهُمُ اللَّعْنَةُ وَلَهُمْ سُوْءُ الدَّارِ,And they will have the curse and the worst home
,وَأَسْئَلُكَ الْاَمَانَ يَوْمَ لَا تَمْلِكُ نَفْسٌ لِنَفْسٍ شَيْئًا,And I ask You for security on the Day when no soul will possess anything for another soul
