Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ اِنِّيْ أَسْأَلُكَ أَنْ تَجْعَلَ فِيمَا تَقْضِيْ وَتُقَدِّرُ,"O Allah, I ask You to make, in what You decree and determine"
,مِنَ الْاَمْرِ الْمَحْتُومِ فِيْ الْاَمْرِ الْحَكِيمِ,From the inevitable matters in the wise command
,مِنَ الْقَضَاءِ الَّذِيْ لَا يُرَدُّ وَلَا يُبَدَّلُ,From the decree which cannot be rejected nor changed
,أَنْ تَكْتُبَنِيْ مِنْ حُجَّاجِ بَيْتِكَ الْحَرَامِ,That You write me among the pilgrims to Your Sacred House
,اَلْمَبْرُورِ حَجُّهُمُ,Those whose Hajj is accepted
,اَلْمَشْكُورِ سَعْيُهُمُ,Those whose efforts are appreciated
,اَلْمَغْفُورِ ذُنُوبُهُمُ,Those whose sins are forgiven
,اَلْمُكَفَّرِ عَنْ سَيِّئَاتِهِمْ,Those whose misdeeds are expiated
,وَأَنْ تَجْعَلَ فِيمَا تَقْضِيْ وَتُقَدِّرُ,And that You make in what You decree and determine
,أَنْ تُطِيلَ عُمْرِيْ فِيْ خَيْرٍ وَعَافِيَةٍ,That You extend my life in goodness and well-being
,وَتُوَسِّعَ فِيْ رِزْقِي,And expand my sustenance
,وَتَجْعَلَنِيْ مِمَّنْ تَنْتَصِرُ بِهِ لِدِينِكَ,And make me among those through whom You give victory to Your religion
,وَلَا تَسْتَبْدِلْ بِيْ غَيْرِي,And do not replace me with someone else
