line id verse number,arabic text,english translation text
,,Surah Ad-Dukhaan
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful."
,حم,"Ha, Meem.
[44 : 1]"
,وَالْكِتَابِ الْمُبِينِ,"By the Manifest Book!
[44 : 2]"
,إِنَّا أَنزَلْنَاهُ فِي لَيْلَةٍ مُّبَارَكَةٍ ۚ إِنَّا كُنَّا مُنذِرِينَ,"We sent it down on a blessed night, and We have been warning [mankind].
[44 : 3]"
,فِيهَا يُفْرَقُ كُلُّ أَمْرٍ حَكِيمٍ,"Every definitive matter is resolved on it,
[44 : 4]"
,أَمْرًا مِّنْ عِندِنَا ۚ إِنَّا كُنَّا مُرْسِلِينَ,"as an ordinance from Us. We have been sending [apostles]
[44 : 5]"
,رَحْمَةً مِّن رَّبِّكَ ۚ إِنَّهُ هُوَ السَّمِيعُ الْعَلِيمُ,"as a mercy from your Lord—indeed He is the All-hearing, the All-knowing—
[44 : 6]"
,رَبِّ السَّمَاوَاتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا ۖ إِن كُنتُم مُّوقِنِينَ,"the Lord of the heavens and the earth, and whatever is between them, should you have conviction.
[44 : 7]"
,لَا إِلَٰهَ إِلَّا هُوَ يُحْيِي وَيُمِيتُ ۖ رَبُّكُمْ وَرَبُّ آبَائِكُمُ الْأَوَّلِينَ,"There is no god except Him: He gives life and brings death, your Lord and the Lord of your forefathers.
[44 : 8]"
,بَلْ هُمْ فِي شَكٍّ يَلْعَبُونَ,"But they play around in doubt.
[44 : 9]"
,فَارْتَقِبْ يَوْمَ تَأْتِي السَّمَاءُ بِدُخَانٍ مُّبِينٍ,"So watch out for the day when the sky brings on a manifest smoke,
[44 : 10]"
,يَغْشَى النَّاسَ ۖ هَٰذَا عَذَابٌ أَلِيمٌ,"enveloping the people. [They will cry out:] ‘This is a painful punishment.
[44 : 11]"
