line id verse number,arabic text,english translation text
,,Ya Baatinan Fi Zhuhoori
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,يَا بَاطِناً فِي ظُهُورِهِ،,"O He Who is intrinsic though He is evident,"
,ويَا ظَاهِراً فِي بُطُونِهِ،,And He Who is evident though He is intrinsic;
,وَيَا بَاطِناً لَيْسَ يَخْفَى،,O He Who is intrinsic that is not missed
,وَيَا ظَاهِراً لَيْسَ يُرَى،,And He Who is evident but He cannot be seen;
,يَا مَوْصُوفاً لا يَبْلُغُ بِكَيْنُونَتِهِ مَوْصُوفٌ وَلا حَدّ مَحْدُودٌ،,"O He Who is described, but neither any other described thing nor can any boundary attain His Being;"
,وَيَا غَائِباً غَيْرَ مَفْقُودٍ،,"O He Who is absent but not lost,"
,وَيَا شَاهِداً غَيْرَ مَشْهُودٍ،,And He Who is present but not witnessed.
,يُطْلَبُ فَيُصَابُ،,"When He is sought, He shall be obtained,"
,وَلَمْ يَخْلُ مِنْهُ السّمَاوَاتُ وَالأَرْضُ وَمَا بَيْنَهُمَا طَرْفَةَ عَيْنٍ،,"And neither the heavens, nor the earth nor can anything that is between them be empty of Him."
,لا يُدْرَكُ بِكَيْفٍ،,He cannot be realized by asking ‘How is He?’
,وَلا يُؤَيّنُ بِأَيْنٍ وَلا بِحَيْثٍ،,"And His place cannot be identified by asking, ‘Where is He?’ or ‘What is His place?’"
,أَنْتَ نُورُ النّورِ وَرَبّ الأَرْبَابِ،,You are verily the light of all lights and the Lord of all lords.
,أَحَطْتَ بِجَمِيعِ الأُمورِ،,You have comprehended all things.
,سُبحَانَ مَنْ لَيْسَ كَمِثِلهِ شَيْءٌ,"Glory be to Him Whose like is non-existent,"
,وَهُوَ السّميعُ البَصيرُ,"And He is the All-hearing, the All-seeing."
,سبحَانَ مَنْ هُوَ هكَذَا وَلا هَكَذَا غَيْرُه!,Glory be to Him Who is in this state and nothing else can be ever in his state.
