line id verse number,arabic text,english translation text
,,Dua Makarimul Akhlaq
,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the name of Allah the Beneficent, the Merciful."
,أَللَّهمَّ صَلِّ عَلَى مُحَمَّد وَآلِهِ,"O God, bless Muhammad and his Household,"
,وَبَلِّغْ بِإيْمَانِي أكْمَلَ الإِيْمَانِ،,"cause my faith to reach the most perfect faith,"
,وَاجْعَلْ يَقِينِي أَفْضَلَ الْيَقِينِ،,"make my certainty the most excellent certainty,"
,و انتَهِ بِنِيَّتِي إلَى أَحْسَنِ النِّيَّـاتِ،,and take my intention to the best of intentions
,وَبِعَمَلِي إلى أَحْسَنِ الأعْمَالِ,and my works to the best of works!
,أللَّهُمَّ وَفِّرْ بِلُطْفِكَ نِيَّتِي،,"O God, complete my intention through Your gentleness,"
,وَصَحِّحْ بِمَـا عِنْدَكَ يَقِينِي،,"rectify my certainty through what is with You,"
,وَاسْتَصْلِحْ بِقُدْرَتِكَ مَا فَسَدَ مِنِّي,and set right what is corrupt in me through Your power!
,أللَّهُمَّ صَلِّ عَلَى مُحَمَّد وَآلِهِ,"O God, bless Muhammad and his Household,"
,وَاكْفِنِي مَا يَشْغَلُنِي الاهْتِمَامُ بِهِ،,"spare me the concerns which distract me,"
,وَاسْتَعْمِلْنِي بِمَا تَسْأَلُنِي غَداً عَنْهُ,"employ me in that about which You wilt ask me tomorrow,"
,وَاسْتَفْرِغْ أَيَّامِي فِيمَا خَلَقْتَنِي لَهُ،,and let me pass my days in that for which You hast created me!
,وَأَغْنِنِي وَأَوْسِعْ عَلَىَّ فِي رِزْقِكَ،,"Free me from need, expand Your provision toward me,"
,وَلاَ تَفْتِنِّي بِالبَطَرِ، وَأَعِزَّنِي، وَلا تَبْتَلِيَنِّي بِالْكِبْرِ،,and tempt me not with ingratitude! Exalt me and afflict me not with pride!
,وَعَبِّدْنِي لَكَ وَلاَ تُفْسِدْ عِبَادَتِي بِالْعُجْبِ،,Make me worship You and corrupt not my worship with self-admiration!
,وَأَجْرِ لِلنَّاسِ عَلَى يَدَيَّ الْخَيْرَ، وَلا تَمْحَقْهُ بِالْمَنِّ،,Let good flow out from my hands upon the people and efface it not by my making them feel obliged!
,وَهَبْ لِي مَعَالِيَ الأَخْلاَقِ، وَاعْصِمْنِي مِنَ الْفَخْرِ,Give me the highest moral traits and preserve me from vainglory!
,اللَّهُمَّ صَـلِّ عَلَى مُحَمَّد وَآلِهِ،,"O God, bless Muhammad and his Household,"
,وَلا تَـرْفَعْنِي فِيْ النَّاسِ دَرَجَـةً,raise me not a single degree before the people
,إلاّ حَطَطْتَنِي عِنْدَ نَفْسِي مِثْلَهَا،,without lowering me its like in myself
,وَلا تُحْدِثْ لِي عِزّاً ظَاهِرَاً,and bring about no outward exaltation for me
,إلاّ أَحْدَثْتَ لِي ذِلَّةً بَاطِنَةً عِنْدَ نَفْسِي بِقَدَرِهَا,without an inward abasement in myself to the same measure!
,أللَّهُمَّ صَلِّ عَلَى مُحَمَّد وَآلِ مُحَمَّد،,"O God, bless Muhammad and Muhammad's Household,"
,وَمَتِّعْنِي بِهُدىً صَالِح لا أَسْتَبْدِلُ بِهِ،,"give me to enjoy a sound guidance which I seek not to replace,"
,وَطَرِيقَةِ حَقٍّ لا أَزِيْغُ عَنْهَا،,"a path of truth from which I swerve not,"
,وَنِيَّةِ رُشْد لاَ أَشُكُّ فِيْهَا,and an intention of right conduct in which I have no doubts!
,وَعَمِّرْنِي مَا كَانَ عُمْرِيْ بِذْلَةً فِي طَاعَتِكَ،,"Let me live as long as my life is a free gift in obeying You,"
,فَإذَا كَانَ عُمْرِي مَرْتَعَاً لِلشَّيْطَانِ,"but if my life should become a pasture for Satan,"
,فَـاقْبِضْنِي إلَيْـكَ قَبْـلَ أَنْ يَسْبِقَ مَقْتُـكَ إلَيَّ،,seize me to Thyself before Your hatred overtakes me
,أَوْ يَسْتَحْكِمَ غَضَبُكَ عَلَيَّ,or Your wrath against me becomes firm!
,أللَّهُمَّ لا تَدَعْ خَصْلَةً تُعَابُ مِنِّي إلاّ أَصْلَحْتَهَا،,"O God, deposit in me no quality for which I will be faulted, unless You set it right,"
,وَلا عَآئِبَةً أُؤَنَّبُ بِهَا إلاّ حَسَّنْتَهَا،,"no flaw for which I will be blamed, unless You make it beautiful,"
,وَلاَ أُكْرُومَـةً فِيَّ نَاقِصَةً إلاّ أَتْمَمْتَهَا,"no deficient noble trait, unless You complete it!"
,أللَّهُمَّ صَلِّ عَلَى مُحَمَّد وَآلِ مُحَمَّد,"O God, bless Muhammad and Muhammad's Household"
,وَأَبْدِلْنِي مِنْ بِغْضَةِ أَهْلِ الشَّنَئانِ الْمَحَبَّةَ,"and replace for me the animosity of the people of hatred with love,"
,وَمِنْ حَسَدِ أَهْلِ الْبَغْيِ الْمَوَدَّةَ،,"the envy of the people of insolence with affection,"
,وَمِنْ ظِنَّةِ أَهْلِ الصَّلاَحِ الثِّقَةَ،,"the suspicion of the people of righteousness with trust,"
,وَمِنْ عَدَاوَةِ الأَدْنَيْنَ الْوَلايَةَ،,"the enmity of those close with friendship,"
,وَمِنْ عُقُوقِ ذَوِي الأَرْحَامِ الْمَبَرَّةَ،,"the disrespect of womb relatives with devotion,"
,ومِنْ خِـذْلانِ الأَقْرَبِينَ النُّصْـرَةَ،,"the abandonment of relatives with help,"
,وَمِنْ حُبِّ الْمُدَارِينَ تَصْحيحَ الْمِقَةِ،,"the attachment of flatterers with love set right,"
,وَمِنْ رَدِّ الْمُلاَبِسِينَ َكَرَمَ الْعِشْرَةِ،,"the rejection of fellows with generous friendliness,"
,وَمِنْ مَرَارَةِ خَوْفِ الظَّالِمِينَ حَلاَوَةَ الأَمَنَةِ,and the bitterness of the fear of wrongdoers with the sweetness of security!
,أللَّهُمَّ صَلِّ عَلَى مُحَمَّد وَآلِهِ,"O God, bless Muhammad and his Household,"
,وَاجْعَلْ لِيْ يَداً عَلَى مَنْ ظَلَمَنِي,"appoint for me a hand against him who wrongs me,"
,وَلِسَـاناً عَلَى مَنْ خَـاصَمَنِي,"a tongue against him who disputes with me,"
,وَظَفَراً بِمَنْ عَانَدَنِي,and a victory over him who stubbornly resists me!
,وَهَبْ لِي مَكْراً عَلَى مَنْ كَايَدَنِي,"Give me guile against him who schemes against me,"
,وَقُدْرَةً عَلَى مَنِ اضْطَهَدَنِي,"power over him who oppresses me,"
,وَتَكْذِيباً لِمَنْ قَصَبَنِي,"refutation of him who reviles me,"
,وَسَلاَمَةً مِمَّنْ تَوَعِّدَنِي,and safety from him who threatens me!
,وَوَفِّقْنِي لِطَاعَةِ مَنْ سَدَّدَنِي,Grant me success to obey him who points me straight
,وَمُتَابَعَةِ مَنْ أَرْشَدَنِي,and follow him who guides me right!
