line id verse number,arabic text,english translation text
,,Dua Abu Hamza Thumali
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah,
the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,إِلٰهِي لاَ تُؤَدِّبْنِي بِعُقُوبَتِكَ,"O Allah, do not discipline me by means of Your punishment"
,وَلاَ تَمْكُرْ بِي فِي حِيلَتِكَ,and do not subject me to Your planned strategy.
,مِنْ أَيْنَ لِيَ ٱلْخَيْرُ يَا رَبِّ,"How can I attain welfare, O Lord,"
,وَلاَ يُوجَدُ إِلاَّ مِنْ عِنْدِكَ,while it is not found elsewhere save with You?
,وَمِنْ أَيْنَ لِيَ ٱلنَّجَاةُ,How can I find redemption
,وَلاَ تُسْتَطَاعُ إِلاَّ بِكَ,while it cannot be attained save through You?
,لاَ ٱلَّذِي أَحْسَنَ ٱسْتَغْنَىٰ عَنْ عَوْنِكَ وَرَحْمَتِكَ,Neither he who has done righteous deeds can dispense with Your aid and mercy
,وَلاَ ٱلَّذِي أَسَاءَ وَٱجْتَرَأَ عَلَيْكَ,"nor can he who did evildoings, dare to challenge you,"
,وَلَمْ يُرْضِكَ خَرَجَ عَنْ قُدْرَتِكَ,and did not arrive at Your pleasure find an exit out of Your power.
,يَا رَبِّ …,O Lord…
,بِكَ عَرَفْتُكَ,Through You have I known You.
,وَأَنْتَ دَلَلْتَنِي عَلَيْكَ,You showed me the way to You
,وَدَعَوْتَنِي إِلَيْكَ,and invited me to come towards You.
,وَلَوْلا أَنْتَ لَمْ أَدْرِ مَا أَنْتَ,"Had it been not for You, I would have never known who You are."
,الْحَمْدُ لِلَّهِ ٱلَّذِي أَدْعُوهُ فَيُجِيبُنِي,All praise be to Allah alone Who gives answer to me whenever I pray Him
,وَإِنْ كُنْتُ بَطِيئاً حِينَ يَدْعُونِي,although I am slow whenever He invites me.
,وَالْحَمْدُ لِلَّهِ ٱلَّذِي أَسْأَلُهُ فَيُعْطِينِي,All praise be to Allah alone Who gives me whenever I ask Him
,وَإِنْ كُنْتُ بَخِيلاً حِينَ يَسْتَقْرِضُنِي,although I become close-fisted when He asks me.
,وَالْحَمْدُ لِلَّهِ ٱلَّذِي أُنَادِيهِ كُلَّمَا شِئْتُ لِحَاجَتِي,All praise be to Allah alone Whom I call whenever I need something
,وَأَخْلُو بِهِ حَيْثُ شِئْتُ لِسِرِّي بِغَيْرِ شَفِيعٍ,and Whom I secretly converse whenever I want without need for an intercessor;
,فَيَقْضِي لِي حَاجَتِي,He thus grants my need.
,الْحَمْدُ لِلَّهِ ٱلَّذِي لاَ أَدْعُو غَيْرَهُ,"All praise be to Allah alone other than Whom I never pray,"
,وَلَوْ دَعَوْتُ غَيْرَهُ لَمْ يَسْتَجِبْ لِي دُعَائِي,"and even if I pray anyone else, he shall never be able to respond to my prayer."
,وَالْحَمْدُ لِلَّهِ ٱلَّذِي لاَ أَرْجُو غَيْرَهُ,"All praise be to Allah alone for other than Whom I do not hope,"
,وَلَوْ رَجَوْتُ غَيْرَهُ َلأَخْلَفَ رَجَائِي,"and even if I hope for anyone else, he shall certainly disappoint me."
,وَالْحَمْدُ لِلَّهِ ٱلَّذِي وَكَلَنِي إِلَيْهِ فَأَكْرَمَنِي,"All praise be to Allah alone Who has accepted me to depend upon Him and, thus, bestowed favors upon me."
,وَلَمْ يَكِلْنِي إِلَىٰ ٱلنَّاسِ فَيُهِينُونِي,He has not left me to people who will thus definitely humiliate me.
,وَالْحَمْدُ لِلَّهِ ٱلَّذِي تَحَبَّبَ إِلَيَّ,All praise be to Allah alone Who has sought my friendship
,وَهُوَ غَنِيٌّ عَنِّي,while He can dispense with me.
,وَالْحَمْدُ لِلَّهِ ٱلَّذِي يَحْلُمُ عَنِّي,All praise be to Allah alone Who showed Himself gentle and considerate towards me
,حَتَّىٰ كَأَنِّي لاَ ذَنْبَ لِي,as if I have not sinned.
,فَرَبِّي أَحْمَدُ شَيْءٍ عِنْدِي,"Accordingly, my Lord is the only One Whom I should thank"
,وَأَحَقُّ بِحَمْدِي,and He is the worthiest of being thanked by me.
,اَللَّهُمَّ إِنِّي أَجِدُ سُبُلَ ٱلْمَطَالِبِ إِلَيْكَ مُشْرَعَةً,"O Allah, I find the courses to asking from You wide open,"
,وَمَنَاهِلَ ٱلرَّجَاءِ لَدَيْكَ مُتْرَعَةً,"the springs to hoping for You overflowing,"
,وَٱلاِسْتِعَانَةَ بِفَضْلِكَ لِمَنْ أَمَّلَكَ مُبَاحَةً,"seeking the help of Your favors reachable for them who have hopefully looked forward to You,"
,وَأَبْوَابَ ٱلدُّعَاءِ إِلَيْكَ لِلصَّارِخِينَ مَفْتُوحَةً,and the doors of praying You vulnerable for them who cry to You.
,وَأَعْلَمُ أَنَّكَ لِلرَّاجِين بِمَوْضِعِ إِجَابَةٍ,I know for sure that You give favorable reply to the petitioners
,وَلِلْمَلْهُوفِينَ بِمَرْصَدِ إِغَاثَةٍ,and relentlessly succor the aggrieved;
,وَأَنَّ فِي ٱللَّهْفِ إِلَىٰ جُودِكَ,and to long for Your beneficence
,وَٱلرِّضَا بِقَضَائِكَ,and to accept Your will and judgment
,عِوَضاً مِنْ مَنْعِ ٱلْبَاخِلِينَ,are well compensations for that which the close-fisted misers deny
,وَمَنْدُوحَةً عَمَّا فِي أَيْدِي ٱلْمُسْتَأْثِرِينَ,and alternative to that which is possessed by the stingy.
,وَأَنِّ ٱلرَّاحِـلَ إِلَيْكَ قَرِيبُ ٱلْمَسَافَةِ,He who travels towards You will easily reach his destination.
,وَأَنَّكَ لاَ تَحْتَجِبُ عَنْ خَلْقِكَ,You do not conceal Yourself against Your creatures
,إِلاَّ أَنْ تَحْجُبَهُمُ ٱلأَعْمَالُ دُونَكَ,unless their evildoings stand between them and You.
,وَقَدْ قَصَدْتُ إِلَيْكَ بِطَلِبَتِي,I am thus turning to You carrying my appeals
,وَتَوَجَّهْتُ إِلَيْكَ بِحَاجَتِي,and directing towards You carrying my needs.
,وَجَعَلْتُ بِكَ ٱسْتِغَاثَتِي,I have sought the help of You alone
,وَبِدُعَائِكَ تَوَسُّلِي,and begging You through my prayer
,مِنْ غَيْرِ ٱسْتِحْقَاقٍ لاﹾِسْتِمَاعِكَ مِنِّي,although I do not deserve to be observed by You
,وَلاَ ٱسْتِيجَابٍ لِعَفْوِكَ عَنِّي,or to be pardoned by You.
,بَلْ لِثِقَتِي بِكَرَمِكَ,"Rather, I have full confidence in Your generosity,"
,وَسُكُونِي إِلَىٰ صِدْقِ وَعْدِكَ,"I have relied upon the truthfulness of Your promise,"
,وَلَجَائِي إِلَىٰ ٱلإِيـمَانِ بِتَوْحِيدِكَ,I have sought shelter with my faith in Your Oneness
,وَيَقِينِي بِمَعْرِفَتِكَ مِنِّي,and my certitude in the fact -which you know-
,أَنْ لاَ رَبَّ لِي غَيْرُكَ,that I have no Lord other than You
,وَلاَ إِلٰهَ إِلاَّ أَنْتَ,and there is no god save You
,وَحْدَكَ لاَ شَرِيكَ لَكَ,"alone, without having any partner."
,اَللَّهُمَّ أَنْتَ ٱلْقَائِلُ وَقَوْلُكَ حَقٌّ,"O Allah, It is You Who have said, and Your sayings are always true"
,وَوَعْدُكَ صِدْقٌ:,and Your promise is always valid:
,”وَٱسْأَلُوٱ ٱللَّهَ مِنْ فَضْلِهِ,“Ask Allah of His bounty.
,إِنَّ ٱللَّهَ كَانَ بِكُلِّ شَيْءٍ عَلِيماً“,Verily Allah is ever Merciful to you.”
,وَلَيْسَ مِنْ صِفَاتِكَ يَا سَيِّدِي,"It is not Your habit, O my Chief,"
,أَنْ تَأْمُرَ بِٱلسُّؤَالِ وَتَمْنَعَ ٱلْعَطِيَّةَ,"that You instruct us to implore You and then You stop giving us,"
,وَأَنْتَ ٱلْمَنَّانُ بِٱلْعَطِيَّاتِ عَلَىٰ أَهْلِ مَمْلَكَتِكَ,while You are the All-benefactor Who confers upon the people of Your Kingdom with (innumerable) donations
,وَٱلْعَائِدُ عَلَيْهِمْ بِتَحَنُّنِ رَأْفَتِكَ,and You are the All-generous Who meets them with the kindness of Your compassion.
,إِلٰهِي رَبَّيْتَنِي فِي نِعَمِكَ وَإِحْسَانِكَ صَغِيراً,"O my God, You brought me up amid Your bounties and favors when I was little"
,وَنَوَّهْتَ بِٱسْمِي كَبِيراً,and You have mentioned me when I have grown up.
,فَيَا مَنْ رَبَّانِي فِي ٱلدُّنْيَا بِإِحْسَانِهِ,"So, O He Who brought me up in this world with His bounties,"
,وَتَفَضُّلِهِ وَنِعَمِهِ,"favors, and graces,"
,وَأَشَارَ لِي فِي ٱلآخِرَةِ إِلَىٰ عَفْوِهِ وَكَرَمِهِ,"and, in the Hereafter, will have referred to me with His amnesty and generosity!"
,مَعْرِفَتِي يَا مَوْلاَيَ دَلِيلِي عَلَيْكَ,"My acquaintance with You, O my Lord, is the path taking me to You"
,وَحُبِّي لَكَ شَفِيعِي إِلَيْكَ,and my love for You is the intermediary between You and me.
,وَأَنَا وَاثِقٌ مِنْ دَلِيلِي بِدَلاَلَتِكَ,I am sure of the path to which You have lead me
,وَسَاكِنٌ مِنْ شَفِيعِي إِلَىٰ شَفَاعَتِكَ,and I rely upon my intermediary’s success before You.
,أَدْعُوكَ يَا سَيِّدِي بِلِسَانٍ قَدْ أَخْرَسَهُ ذَنْبُهُ,"I pray You, O my Chief, with a tongue muted by its sins."
,رَبِّ أُنَاجِيكَ بِقَلْبٍ قَدْ أَوْبَقَهُ جُرْمُهُ,O Lord! I confidentially speak to You with a heart degraded by its offenses.
,أَدْعُوكَ يَا رَبِّ رَاهِباً رَاغِباً,"I pray You, O Lord, with terror, desire,"
,رَاجِياً خَائِفاً,"hope, and fear."
,إِذَا رَأَيْتُ مَوْلاَيَ ذُنُوبِي فَزِعْتُ,"Whenever I think of my sins, O my Master, I panic,"
,وَإِذَا رَأَيْتُ كَرَمَكَ طَمِعْتُ,"but when I think of Your generosity, I feel desirous (for Your pardon)."
,فَإِنْ عَفَوْتَ فَخَيْرُ رَاحِمٍ,"Therefore, if You forgive me, You are already the best of those who show mercy,"
,وَإِنْ عَذَّبْتَ فَغَيْرُ ظَالِمٍ,"and If You punish me, You are then not wronging me."
,حُجَّتِي يَا اللَّهُ فِي جُرْأَتِي عَلَىٰ مَسْأَلَتِكَ,"Yet, it is Your munificence and Your generosity, O Allah, that gave me the courage to pray You,"
,مَعَ إِتْيَانِي مَا تَكْرَهُ جُودُكَ وَكَرَمُكَ,despite that I have committed things that You dislike.
,وَعُدَّتِي فِي شِدَّتِي مَعَ قِلَّةِ حَيَائِي رَأْفَتُكَ وَرَحْمَتُكَ,It is Your kindness and mercy that I use as my means during misfortunes inflicting me despite my shamelessness.
,وَقَدْ رَجَوْتُ أَنْ لاَ تَخِيبَ بَيْنَ ذَيْنِ وَذَيْنِ مُنْيَتِي,I thus hope that my expectation will not be disappointed amid these two matters.
,فَحَقِّقْ رَجَائِي,"So, make my hopes become real"
,وَٱسْمَعْ دُعَائِي,and answer my prayers.
,يَا خَيْرَ مَنْ دَعَاهُ دَاعٍ,"O Greatest Besought One that has been ever besought,"
,وَأَفْضَلَ مَنْ رَجَاهُ رَاجٍ,and the Most Favorable Hoped One!
,عَظُمَ يَا سَيِّدِي أَمَلِي وَسَاءَ عَمَلِي,"My expectation, O my Chief, has been great but my deed has been bad."
,فَأَعْطِنِي مِنْ عَفْوِكَ بِمِقْدَارِ أَمَلِي,"So, grant me Your pardon as much as my expectation,"
,وَلاَ تُؤَاخِذْنِي بِأَسْوَءِ عَمَلِي,and do not punish me for the worst of my deed.
,فَإِنَّ كَرَمَكَ يَجِلُّ عَنْ مُجَازَاةِ ٱلْمُذْنِبِينَ,"Verily, Your generosity is too great to be compared to the penalty of the guilty,"
,وَحِلْمَكَ يَكْبُرُ عَنْ مُكَافَأَةِ ٱلْمُقَصِّرِينَ,and Your tolerance is too immense to be compared to the punishment of the negligent.
,وَأَنَا يَا سَيِّدِي عَائِذٌ بِفَضْلِكَ,"I, O my Chief, am seeking refuge with Your benevolence,"
