id,arabic text,english translation text
0,,Dua'a Jawshan Al Kabir
0,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah,
the All-merciful, the All-compassionate"
0,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
1,"سُبْحَانَكَ يَا لَا إِلَهَ إِلاَّ أَنْتَ, الْغَوْثَ الْغَوْثَ, خَلِّصْنَا مِنَ النَّارِ يَا رَبِّ","Praise be to You, there is no god but You, I beseech You for relief, relief, Protect us from the Fire, O Lord
1 TO OVERCOME DIFFICULTIES"
1,اللَّهُمَّ إِنِّي أَسْألُكَ بِاسْمِكَ يَا اللَّهُ,"O Allah, verily I beseech You in Your name: O Allah,"
1,يَا رَحْمَنُ يَا رَحِيمُ,"O Most Merciful, O Most Compassionate,"
1,يَا كَرِيمُ يَا مُقِيمُ,"O Most Generous, O Self-Subsisting,"
1,يَا عَظِيمُ يَا قَدِيمُ,"O Greatest, O Eternal,"
1,يَا عَلِيمُ يَا حَلِيمُ يَا حَكِيمُ,"O All-Knowing, O Forbearing, O Wise."
2,"سُبْحَانَكَ يَا لَا إِلَهَ إِلاَّ أَنْتَ, الْغَوْثَ الْغَوْثَ, خَلِّصْنَا مِنَ النَّارِ يَا رَبِّ","Praise be to You, there is no god but You, I beseech You for relief, relief, Protect us from the Fire, O Lord
2  TO SEEK HELP"
2,يَا سَيِّدَ السَّادَاتِ,"O Master of Masters,"
2,يَا مُجِيبَ الدَّعَوَاتِ,"O Acceptor of prayers,"
2,يَا رَافِعَ الدَّرَجَاتِ,"O Elevator of rank,"
2,يَا وَلِيَّ الْحَسَنَاتِ,"O Guardian of good deeds,"
2,يَا غَافِرَ الْخَطِيئَاتِ,"O Forgiver of evil deeds,"
2,يَا مُعْطِيَ الْمَسْأَلاتِ,"O Granter of requests,"
2,يَا قَابِلَ التَّوْبَاتِ,"O Acceptor of repentance,"
2,يَا سَامِعَ الأَصْوَاتِ,"O Hearer of voices,"
2,يَا عَالِمَ الْخَفِيَّاتِ,"O Knower of attributes,"
2,يَا دَافِعَ الْبَلِيَّاتِ,O Repeller of calamities.
