Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,لآ اِلٰهَ اِلَّا اللَّهُ الْحَلِيْمُ الْكَرِيْمُ,"There is no god but Allah, the Forbearing, the Generous"
,لآ اِلٰهَ اِلَّا اللَّهُ الْعَلِيُّ الْعَظِيْمُ,"There is no god but Allah, the Most High, the Magnificent"
,سُبْحَانَ اللَّهِ رَبِّ السَّمَاوَاتِ السَّبْعِ,"Glory be to Allah, Lord of the seven heavens"
,وَ رَبِّ الَارْضِيْنَ السَّبْعِ,And Lord of the seven earths
,وَ مَا فِيْهِنَّ وَ مَا بَيْنَهُنَّ,And whatever is in them and whatever is between them
,وَ مَا فَوْقَهُنَّ وَ مَا تَحْتَهُنَّ,And whatever is above them and whatever is beneath them
,رَبُّ الْعَرْشِ الْعَظِيْمِ,Lord of the Magnificent Throne
,وَ سَلاَمٌ عَلَى الْمُرْسَلِيْنَ,And peace be upon the Messengers
,وَ الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِيْنَ,"And all praise belongs to Allah, Lord of the worlds"
,وَ صَلَّى اللَّهُ عَلَى مُحَمَّدٍ وَ آلِهِ الطَّاهِرِيْنَ,And may Allah send blessings upon Muhammad and his pure family
,,
,أَسْتَغْفِرُ اللَّهَ رَبِّيْ وَأَتُوبُ إِلَيْهِ,"I seek forgiveness from Allah, my Lord, and I turn to Him in repentance"
,,
,,
,اَللَّهُمَّ اغْفِرْ لِ,"O Allah, forgive [Name]"
,,
,,
,اَللَّهُمَّ اغْفِرْ لِلْمُؤْمِنِيْنَ وَ الْمُؤْمِنَاتِ,"O Allah, forgive the believing men and women"
,,
,اَسْتَغْفِرُ اللَّهَ الَّذِيْ لَا اِلٰهَ اِلَّا هُوَ الْحَيُّ الْقَيُّومُ,"I seek forgiveness from Allah, beside whom there is no god, the Ever-Living, the Self-Subsisting"
, لِجَمِيْعِ ظُلْمِيْ وَ جُرْمِي,For all my oppression and crimes
,وَ اِسْرَاْفِيْ عَلَى نَفْسِي,And my excesses against myself
,وَ اَتُوْبُ اِلَيْهِ,And I turn to Him in repentance
,,
,هٰذَا مَقَامُ الْعَائِذِ بِكَ مِنَ النَّارِ,This is the position of one who seeks Your protection from the Fire
,,
,,
,اَلْعَفْوَ,Pardon (me)
,,
,,
,رَبِّ اغْفِرْ لِيْ وَ ارْحَمْنِيْ وَ تُبْ عَلَيَّ,"My Lord, forgive me and have mercy on me and accept my repentance"
,اِنَّكَ اَنْتَ التَّوَّابُ الرَّحِيْمُ,"Verily, You are the Oft-Returning, the Most Merciful"
