Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,لَا اِلٰهَ اِلَّا اللَّهُ الْجَلِيْلُ الْجَبَّارُ,"There is no god but Allah, the Majestic, the Compeller"
,لَا اِلٰهَ اِلَّا اللَّهُ الْعَزِيْزُ الْغَفَّارُ,"There is no god but Allah, the Mighty, the All-Forgiving"
,لَا اِلٰهَ اِلَّا اللَّهُ الْوَاحِدُ الْقَهَّارُ,"There is no god but Allah, the One, the Subduer"
,لَا اِلٰهَ اِلَّا اللَّهُ وَحْدَهُ لَا شَرِيْكَ لَهُ,"There is no god but Allah, He is One and has no partner"
,اِلٰهًا وَاحِدًا وَ نَحْنُ لَهُ مُسْلِمُوْنَ,"One God, and we are submissive to Him"
,لَا اِلٰهَ اِلَّا اللَّهُ وَحْدَهُ لَا شَرِيْكَ لَهُ,"There is no god but Allah, He is One and has no partner"
,اِلٰهًا وَاحِدًا وَ نَحْنُ لَهُ مُخْلِصُوْنَ,"One God, and we are sincere to Him"
,لَا اِلٰهَ اِلَّا اللَّهُ وَحْدَهُ لَا شَرِيْكَ لَهُ,"There is no god but Allah, He is One and has no partner"
,اِلٰهًا وَاحِدًا وَ نَحْنُ لَهُ عَابِدُوْنَ,"One God, and we are His worshippers"
,لَا اِلٰهَ اِلَّا اللَّهُ,There is no god but Allah
,مُحَمَّدٌ رَسُوْلُ اللَّهِ,Muhammad is the Messenger of Allah
,عَلِيٌّ وَلِيُّ اللَّهِ,Ali is the Guardian appointed by Allah
,وَ صَلَّى اللَّهُ عَلَى خَيْرِ خَلْقِهِ,And may Allah send blessings upon the best of His creation
,وَ مَظْهَرِ لُطْفِهِ,And the manifestation of His kindness
,مُحَمَّدٍ وَ آلِهِ اَجْمَعِيْنَ الطَّيِّبِيْنَ الْطَّاهِرِيْنَ,"Muhammad and all his family, the pure and the purified"
,بِرَحْمَتِكَ يَا اَرْحَمَ الرّاحِمِيْنَ,"By Your mercy, O Most Merciful of the merciful ones"
,حَسْبُنَا اللَّهُ وَ نِعْمَ الْوَكِيْلُ,Allah is sufficient for us and He is the Best Guardian
,وَ نِعْمَ الْمَوْلَى وَ نِعْمَ النَّصِيْرُ,And the Best Protector and the Best Helper
