Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Gracious, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,أَسْتَغْفِرُ اللّٰهَ الَّذِيْ لَاإِلٰهَ إِلَّا هُوَ,"I seek forgiveness from Allah, there is no god but He"
,اَلْحَيُّ الْقَيُّومُ,"The Ever-Living, the Self-Subsisting"
,اَلرَّحْمٰنُ الرَّحِيمُ,"The Most Gracious, the Most Merciful"
,ذُوْ الْجَلالِ وَالْإِكْرَامِ,Possessor of Majesty and Honor
,وَ أَسْألُهُ أَنْ يَتُوبَ عَلَيَّ,And I ask Him to accept my repentance
,تَوْبَةَ عَبْدٍ ذَلِيلٍ خَاضِعٍ,"The repentance of a humble, submissive servant"
,فَقِيرٍ بَائِسٍ,Poor and distressed
,مِسْكِينٍ مُسْتَكِينٍ مُسْتَجِيرٍ,"Needy, lowly, seeking protection"
,لَايَمْلِكُ لِنَفْسِهِ نَفْعًا وَلَا ضَرًّا,Who possesses neither benefit nor harm for himself
,وَلَا مَوْتًا وَلَا حَيَاةً وَلَا نُشُورًا,"Nor death, nor life, nor resurrection"
,اَللّٰهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ نَفْسٍ لَاتَشْبَعُ,"O Allah, I seek refuge in You from a soul that is never satisfied"
,وَمِنْ قَلْبٍ لَايَخْشَعُ,And from a heart that does not fear You
,وَمِنْ عِلْمٍ لَايَنْفَعُ,And from knowledge that does not benefit
,وَمِنْ صَلاةٍ لَاتُرْفَعُ,And from a prayer that is not lifted up
,وَمِنْ دُعَاءٍ لَايُسْمَعُ,And from a supplication that is not heard
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ الْيُسْرَ بَعْدَ الْعُسْرِ,"O Allah, I ask You for ease after hardship"
,وَالْفَرَجَ بَعْدَ الْكَرْبِ,And relief after distress
,وَالرَّخَاءَ بَعْدَ الشِّدَةِ,And comfort after difficulty
,اَللّٰهُمَّ مَا بِنَا مِنْ نِعْمَةٍ فَمِنْكَ,"O Allah, whatever blessings we have are from You"
,لَاإِلٰهَ إِلَّا أَنْتَ,There is no god but You
,أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ,I seek Your forgiveness and I turn to You in repentance
