Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Gracious, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللّٰهُمَّ إِنِّي أَسْأَلُكَ مُوْجِبَاتِ رَحْمَتِكَ,"O Allah, I ask You for all that which brings Your mercy"
,وَعَزَائِمَ مَغْفِرَتِكَ,And the resolute means for Your forgiveness
,وَالنَّجَاةَ مِنَ النَّارِ,And salvation from the Fire
,وَمِنْ كُلِّ بَلِيَّةٍ,And from every affliction
,وَالْفَوْزَ بِالْجَنَّةِ,And success in attaining Paradise
,وَالرِّضْوَانَ فِيْ دَارِ السَّلامِ,And Your pleasure in the abode of peace
,وَجِوَارِ نَبِيِّكَ مُحَمَّدٍ عَلَيْهِ وَ آلِهِ السَّلامُ,"And nearness to Your Prophet Muhammad, peace be upon him and his family"
,اَللّٰهُمَّ مَا بِنَا مِنْ نِعْمَةٍ فَمِنْكَ,"O Allah, whatever blessings we have are from You"
,لَاإِلٰهَ إِلَّا أَنْتَ,There is no god except You
,أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ,I seek Your forgiveness and I turn to You in repentance
