Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَلْحَمْدُ لِلّٰهِ,All praise is for Allah
,وَالْحَمْدُ حَقُّهُ كَمَا يَسْتَحِقُّهُ,And praise is His right as He deserves it
,حَمْدًا كَثِيرًا,Abundant praise
,وَأَعُوذُ بِهِ مِنْ شَرِّ نَفْسِي,And I seek refuge in Him from the evil of my soul
,إِنَّ النَّفْسَ لَأَمَّارَةٌ بِالسُّوْءِ,"Indeed, the soul is inclined to evil"
,إِلَّا مَا رَحِمَ رَبِّي,Except that upon which my Lord has mercy
,وَأَعُوذُ بِهِ مِنْ شَرِّ الشَّيْطَانِ,And I seek refuge in Him from the evil of Satan
,اَلَّذِيْ يَزِيدُنِيْ ذَنْبًا إِلٰى ذَنْبِيْ,Who increases me in sin upon sin
,وَأَحْتَرِزُ بِهِ مِنْ كُلِّ جَبَّارٍ فَاجِرٍ,And I seek protection with Him from every oppressive wrongdoer
,وَسُلْطَانٍ جَائِرٍ,And from every unjust ruler
,وَعَدُوٍّ قَاهِرٍ,And from every overpowering enemy
,اَللّٰهُمَّ اجْعَلْنِيْ مِنْ جُنْدِكَ,"O Allah, make me among Your soldiers"
,فَإِنَّ جُنْدَكَ هُمُ الْغَالِبُونَ,For indeed Your soldiers are the victorious ones
,وَاجْعَلْنِيْ مِنْ حِزْبِكَ,And make me among Your party
,فَإِنَّ حِزْبَكَ هُمُ الْمُفْلِحُونَ,For indeed Your party are the successful ones
,وَاجْعَلْنِيْ مِنْ أَوْلِيَائِكَ,And make me among Your friends
,فَإِنَّ أَوْلِيَاءَكَ لَاخَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,"For indeed Your friends shall have no fear, nor shall they grieve"
,اَللّٰهُمَّ أَصْلِحْ لِيْ دِينِي,"O Allah, rectify for me my religion"
,فَإِنَّهُ عِصْمَةُ أَمْرِيْ,For it is the protection of my affairs
,وَأَصْلِحْ لِيْ آخِرَتِيْ,And rectify for me my Hereafter
,فَإِنَّهَا دَارُ مَقَرِّي,For it is my permanent abode
,وَإِلَيْهَا مِنْ مُجَاوَرَةِ اللِّئَامِ مَفَرِّي,"And to it, from the company of the wicked, is my escape"
,وَاجْعَلِ الْحَيَاةَ زِيَادَةً لِيْ فِيْ كُلِّ خَيْرٍ,And make life an increase for me in every good
,وَالْوَفَاةَ رَاحَةً لِيْ مِنْ كُلِّ شَرٍّ,And make death a rest for me from every evil
,اَللّٰهُمَّ صَلِّ عَلٰى مُحَمَّدٍ,"O Allah, send blessings upon Muhammad"
,خَاتَمِ النَّبِيِّينَ,The seal of the Prophets
,وَتَمَامِ عِدَّةِ الْمُرْسَلِينَ,And the completion of the number of Messengers
,وَعَلٰى آلِهِ الطَّيِّبِينَ الطَّاهِرِينَ,And upon his pure and purified family
,وَأَصْحَابِهِ الْمُنْتَجَبِينَ,And his chosen companions
,وَهَبْ لِيْ فِيْ الثُّلَثَاءِ ثَلَاثًا,And grant me on Tuesday three things
,لَاتَدَعْ لِيْ ذَنْبًا إِلَّا غَفَرْتَهُ,Leave not any sin for me except that You forgive it
,وَلَا غَمًّا إِلَّا أَذْهَبْتَهُ,Nor any distress except that You remove it
,وَلَا عَدُوًّا إِلَّا دَفَعْتَهُ,Nor any enemy except that You repel it
,بِبِسْمِ اللَّهِ خَيْرِ الْأَسْمَاءِ,"By ""In the name of Allah,"" the best of names"
,بِسْمِ اللَّهِ رَبِّ الْأَرْضِ وَالسَّمَاءِ,"In the name of Allah, Lord of the earth and the heaven"
,أَسْتَدْفِعُ كُلَّ مَكْرُوهٍ أَوَّلُهُ سَخَطُهُ,"I seek to repel every disliked thing, the beginning of which is His anger"
,وَأَسْتَجْلِبُ كُلَّ مَحْبُوبٍ أَوَّلُهُ رِضَاهُ,"And I seek to attract every beloved thing, the beginning of which is His pleasure"
,فَاخْتِمْ لِيْ مِنْكَ بِالْغُفْرَانِ,So seal for me from You with forgiveness
,يَا وَلِيَّ الْإِحْسَانِ,O Guardian of Benevolence
