Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَلْحَمْدُ لِلّٰهِ الَّذِيْ جَعَلَ اللَّيْلَ لِبَاسًا,All praise is for Allah who made the night a covering
,وَالنَّوْمَ سُبَاتًا,And sleep a rest
,وَجَعَلَ النَّهَارَ نُشُورًا,And made the day for rising
,لَكَ الْحَمْدُ أَنْ بَعَثْتَنِيْ مِنْ مَرْقَدِيْ,To You belongs all praise that You awakened me from my sleep
,وَلَوْ شِئْتَ جَعَلْتَهُ سَرْمَدًا,"And if You had willed, You could have made it eternal"
,حَمْدًا دَائِمًا لَايَنْقَطِعُ أَبَدًا,Endless praise that never ceases
,وَلَا يُحْصِيْ لَهُ الْخَلائِقُ عَدَدًا,And that the creation cannot enumerate
,اَللّٰهُمَّ لَكَ الْحَمْدُ أَنْ خَلَقْتَ فَسَوَّيْتَ,"O Allah, to You belongs all praise that You created and perfected"
,وَقَدَّرْتَ وَقَضَيْتَ,And determined and decreed
,وَ أَمَتَّ وَ أَحْيَيْتَ,And caused death and gave life
,وَأَمْرَضْتَ وَشَفَيْتَ,And caused illness and cured
,وَعَافَيْتَ وَ أَبْلَيْتَ,And granted health and tested
,وَعَلَى الْعَرْشِ اسْتَوَيْتَ,"And upon the Throne, You established Yourself"
,وَعَلَى الْمُلْكِ احْتَوَيْتَ,"And over the dominion, You have control"
,أَدْعُوكَ دُعَاءَ مَنْ ضَعُفَتْ وَسِيْلَتُهُ,I call upon You with the supplication of one whose means are weak
,وَانْقَطَعَتْ حِيْلَتُهُ,And whose strategies have been cut off
,وَاقْتَرَبَ أَجَلُهُ,And whose appointed time has drawn near
,وَتَدَانَىٰ فِيْ الدُّنْيَا أَمَلُهُ,And whose worldly hopes have diminished
,وَاشْتَدَّتْ إِلٰى رَحْمَتِكَ فَاقَتُهُ,And whose need for Your mercy has intensified
,وَعَظُمَتْ لِتَفْرِيطِهِ حَسْرَتُهُ,And whose regret for his negligence has become great
,وَكَثُرَتْ زَلَّتُهُ وَعَثْرَتُهُ,And whose slips and stumbles have increased
,وَخَلُصَتْ لِوَجْهِكَ تَوْبَتُهُ,And whose repentance is purely for Your sake
,فَصَلِّ عَلٰى مُحَمَّدٍ,So send blessings upon Muhammad
,خَاتَمِ النَّبِيِّينَ,The Seal of the Prophets
,وَعَلٰى أَهْلِ بَيْتِهِ الطَّيِّبِينَ الطَّاهِرِينَ,"And upon his household, the pure and the purified"
,وَارْزُقْنِيْ شَفَاعَةَ مُحَمَّدٍ,And grant me the intercession of Muhammad
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,May Allah's blessings be upon him and his family
,وَلَا تَحْرِمْنِيْ صُحْبَتَهُ,And do not deprive me of his companionship
,إِنَّكَ أَنْتَ أَرْحَمُ الرَّاحِمِيْنَ,"Indeed, You are the Most Merciful of those who show mercy"
,اَللّٰهُمَّ اقْضِ لِيْ فِيْ الْأَرْبَعَاءِ أَرْبَعًا,"O Allah, fulfill for me on Wednesday four things:"
,اِجْعَلْ قُوَّتِيْ فِيْ طَاعَتِكَ,Make my strength in Your obedience
,وَنَشَاطِيْ فِيْ عِبَادَتِكَ,And my energy in Your worship
,وَرَغْبَتِيْ فِيْ ثَوَابِكَ,And my desire in Your reward
,وَزُهْدِيْ فِيْمَا يُوجِبُ لِيْ أَلِيمَ عِقَابِكَ,And my abstinence from what brings upon me Your painful punishment
,إِنَّكَ لَطِيفٌ لِمَا تَشَاءُ,"Indeed, You are Subtle to whom You will"
