Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send Your blessings upon Muhammad and the family of Muhammad"
,اَلْحَمْدُ لِلّٰهِ الَّذِيْ أَذْهَبَ اللَّيْلَ مُظْلِمًا بِقُدْرَتِهِ,All praise is for Allah who removed the darkness of night by His power
,وَجَاءَ بِالنَّهَارِ مُبْصِرًا بِرَحْمَتِهِ,And brought the day with light by His mercy
,وَكَسَانِيْ ضِيَاءَهُ وَأَنَا فِيْ نِعْمَتِهِ,And clothed me in its brightness while I am in His blessing
,اَللّٰهُمَّ فَكَمَا أَبْقَيْتَنِيْ لَهُ فَأَبْقِنِيْ لِأَمْثَالِهِ,"O Allah, as You have kept me alive for this day, keep me alive for similar days"
,وَصَلِّ عَلَى النَّبِيِّ مُحَمَّدٍ وَ آلِهِ,And send blessings upon Prophet Muhammad and his family
,وَلَا تَفْجَعْنِيْ فِيهِ وَفِيْ غَيْرِهِ,And do not afflict me in this day or other days
,مِنَ اللَّيَالِيْ وَالْأَيَّامِ,From the nights and the days
,بِارْتِكَابِ الْمَحَارِمِ,By committing forbidden acts
,وَاكْتِسَابِ الْمَآثِمِ,And earning sins
,وَارْزُقْنِيْ خَيْرَهُ,And grant me its goodness
,وَخَيْرَ مَا فِيهِ,And the goodness that is in it
,وَخَيْرَ مَا بَعْدَهُ,And the goodness that comes after it
,وَاصْرِفْ عَنِّيْ شَرَّهُ,And turn away from me its evil
,وَشَرَّ مَا فِيهِ,And the evil that is in it
,وَشَرَّ مَا بَعْدَهُ,And the evil that comes after it
,اَللّٰهُمَّ إِنِّي بِذِمَّةِ الْإِسْلاَمِ أَتَوَسَّلُ إِلَيْكَ,"O Allah, I seek means to You through the covenant of Islam"
,وَبِحُرْمَةِ الْقُرْآنِ أَعْتَمِدُ عَلَيْكَ,And by the sanctity of the Quran I rely upon You
,وَبِمُحَمَّدٍ الْمُصْطَفَى,"And through Muhammad, the Chosen One"
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,May Allah's blessings be upon him and his family
,أَسْتَشْفِعُ لَدَيْكَ,I seek intercession with You
,فَاعْرِفِ اللَّهُمَّ ذِمَّتِي,"So recognize, O Allah, my covenant"
,اَلَّتِيْ رَجَوْتُ بِهَا قَضَاءَ حَاجَتِيْ,By which I hope for the fulfillment of my needs
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of the merciful ones
,اَللّٰهُمَّ اقْضِ لِيْ فِيْ الْخَمِيْسِ خَمْسًا,"O Allah, fulfill for me on Thursday five things"
,لَايَتَّسِعُ لَهَا إِلَّا كَرَمُكَ,For which only Your generosity is sufficient
,وَلَا يُطِيْقُهَا إِلَّا نِعَمُكَ,And only Your favors can encompass
,سَلَامَةً أَقْوٰى بِهَا عَلٰى طَاعَتِكَ,Safety by which I can be strengthened in Your obedience
,وَعِبَادَةً أَسْتَحِقُّ بِهَا جَزِيْلَ مَثُوبَتِكَ,And worship by which I deserve Your abundant reward
,وَسَعَةً فِيْ الْحَالِ مِنَ الرِّزْقِ الْحَلَالِ,And abundance in the state of lawful sustenance
,وَأَن تُؤْمِنَنِيْ فِيْ مَوَاقِفِ الْخَوْفِ بِأَمْنِكَ,And that You grant me security in times of fear through Your protection
,وَتَجْعَلَنِيْ مِنْ طَوَارِقِ الْهُمُومِ وَالْغُمُومِ فِيْ حِصْنِكَ,And place me in Your fortress from the onslaughts of worries and sorrows
,وَ صَلِّ عَلٰى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,And send blessings upon Muhammad and the family of Muhammad
,وَاجْعَلْ تَوَسُّلِيْ بِهِ شَافِعًا,And make my seeking means through him an intercessor
,يَوْمَ الْقِيَامَةِ نَافِعًا,"On the Day of Resurrection, beneficial"
,إِنَّكَ أَنْتَ أَرْحَمُ الرَّاحِمِيْنَ,"Indeed, You are the Most Merciful of the merciful ones"
