Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,بِسْمِ اللَّهِ كَلِمَةِ الْمُعْتَصِمِيْنَ,"In the name of Allah, the word of those who seek protection"
,وَمَقَالَةِ الْمُتَحَرِّزِينَ,And the statement of those who guard themselves
,وَأَعُوذُ بِاللَّهِ تَعَالَى مِنْ جَوْرِ الْجَائِرِينَ,And I seek refuge in Allah from the oppression of the oppressors
,وَكَيْدِ الْحَاسِدِيْنَ,And from the plots of the envious
,وَبَغْيِ الظَّالِمِيْنَ,And from the transgression of the wrongdoers
,وَأَحْمَدُهُ فَوْقَ حَمْدِ الْحَامِدِيْنَ,And I praise Him above all praises of those who praise
,اَللّٰهُمَّ أَنْتَ الْوَاحِدُ بِلَا شَرِيكٍ,"O Allah, You are the One without any partner"
,وَالْمَلِكُ بِلَا تَمْلِيكٍ,And the King without being possessed
,لَاتُضَادُّ فِيْ حُكْمِكَ,You are not opposed in Your judgment
,وَلَا تُنَازَعُ فِيْ مُلْكِكَ,And not disputed in Your dominion
,أَسْأَلُكَ أَنْ تُصَلِّيَ عَلٰى مُحَمَّدٍ,I ask You to send blessings upon Muhammad
,عَبْدِكَ وَرَسُولِكَ,Your servant and Your messenger
,وَأَنْ تُوْزِعَنِيْ مِنْ شُكْرِ نُعْمَاكَ,And to inspire me to thank You for Your blessings
,مَا تَبْلُغُ بِىْ غَايَةَ رِضَاكَ,In a way that reaches the extent of Your pleasure
,وَأَنْ تُعِينَنِيْ عَلٰى طَاعَتِكَ,And to help me in Your obedience
,وَلُزُومِ عِبَادَتِكَ,And to adhere to Your worship
,وَاسْتِحْقَاقِ مَثُوبَتِكَ,And to deserve Your reward
,بِلُطْفِ عِنَايَتِكَ,Through Your gentle care
,وَتَرْحَمَنِيْ بِصَدِّي عَنْ مَعَاصِيكَ مَا أَحْيَيْتَنِي,And to have mercy on me by keeping me away from Your disobedience as long as You keep me alive
,وَتُوَفِّقَنِيْ لِمَا يَنْفَعُنِيْ مَا أَبْقَيْتَنِي,And to grant me success in what benefits me as long as You keep me existing
,وَأَنْ تَشْرَحَ بِكِتَابِكَ صَدْرِيْ,And to expand my chest through Your Book
,وَتَحُطَّ بِتِلاوَتِهِ وِزْرِيْ,And to remove my burden through its recitation
,وَتَمْنَحَنِيْ السَّلَامَةَ فِيْ دِينِيْ وَنَفْسِي,And to grant me safety in my religion and myself
,وَلَا تُوحِشَ بِىْ أَهْلَ أُنْسِي,And not to alienate those who are familiar to me
,وَتُتِمَّ إِحْسَانَكَ فِيْمَا بَقِيَ مِنْ عُمْرِيْ,And to complete Your favor in what remains of my life
,كَمَا أَحْسَنْتَ فِيْمَا مَضَىٰ مِنْهُ,As You have favored me in what has passed of it
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of the merciful ones
