line id verse number,arabic text,english translation text
,زِیَارَةُ عَاشُورَاءَ,Ziyārat ʿĀshūrāʾ
,اَلسَّلَامُ عَلَيْكَ يَا أَبَا عَبْدِ اللهِ،,"Assalāmu ʿalayka yā Abā ʿAbdillāh,
Peace be upon you, O Abā ʿAbdallāh!"
,اَلسَّلَامُ عَلَيْكَ يَا ابْنَ رَسُوْلِ اللهِ،,"Assalāmu ʿalayka yabna Rasūl illāh,
Peace be upon you, O son of Allāh’s Messenger!"
,اَلسَّلَامُ عَلَيْكَ يَا ابْنَ أَمِيْرِ الْمُؤْمِنِيْنَ وَابْنَ سَيِّدِ الْوَصِيِّيْنَ،,"Assalāmu ʿalayka yabna Amīr il-Muʾminīna
wabna Sayyid il-Waṣiyyīn,
Peace be upon you, O son of the Commander of the Faithful and son of the Master of Successors!"
,اَلسَّلَامُ عَلَيْكَ يَا ابْنَ فَاطِمَةَ سَيِّدَةِ نِسَاءِ الْعَالَمِيْنَ،,"Assalāmu ʿalayka yabna Fāṭimata Sayyidati Nisāʾ il-ʿĀlamīn,
Peace be upon you, O son of Fāṭima, Leader of the Women of the Worlds!"
,اَلسَّلَامُ عَلَيْكَ يَا ثَارَ اللهِ وَابْنَ ثَارِهِ,"Assalāmu ʿalayka yā thār Allāhi wabna thārihi,
Peace be upon you, O Allāh’s avenger and the son of His avenger,"
,وَالْوِتْرَ الْمَوْتُوْرَ،,"wa-l-witr al-mawtūr,
the one who has yet to be avenged, and who did not get to avenge his murdered relatives!"
,اَلسَّلَامُ عَلَيْكَ وَعَلَى الْأَرْوَاحِ الَّتِي حَلَّتْ بِفِنَائِكَ،,"Assalāmu ʿalayka wa ʿala-l-arwāḥ il-ladhī ḥallat bi-fanāʾik,
Peace be upon you and upon those souls who alighted in your courtyard!"
,عَلَيْكُمْ مِنِّي جَمِيْعًا سَلَامُ اللهِ أَبَدًا مَا بَقِيتُ وَبَقِيَ اللَّيْلُ وَالنَّهَارُ.,"ʿalaykum minnī jamiʿan salām ullāhi abadan mā baqītu wa baqī al-laylu wa-n-nahār.
Peace be upon you all from me so long as I live and so long as night and day endure!"
,يَا أَبَا عَبْدِ اللهِ,"Yā Abā ʿAbdillāhi
O Abā ʿAbdallāh!"
,لَقَدْ عَظُمَتِ الرَّزِيَّةُ,"laqad ʿaẓumat ir-raziyyatu
Terrible was the tragedy,"
