line id verse number,arabic text,english translation text
,,Dua - e - Alqamah
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,يَا اللَّهُ يَا اللَّهُ يَا اللَّهُ,O Allah! O Allah! O Allah!
,يَا مُجِيبَ دَعْوَةِ ٱلْمُضْطَرِّينَ,O He Who responds to the prayer of the distressed!
,يَا كَاشِفَ كُرَبِ ٱلْمَكْرُوبِينَ,O He Who relieves the agonies of the agonized!
,يَا غِيَاثَ ٱلْمُسْتَغِيثِينَ,O Aide of the callers for aid!
,يَا صَرِيخَ ٱلْمُسْتَصْرِخِينَ,O Helper of those who cry for help!
,وَيَا مَنْ هُوَ أَقْرَبُ إِلَيَّ مِنْ حَبْلِ ٱلْوَرِيدِ,O He Who is nearer to me than my life-vein!
,وَيَا مَنْ يَحُولُ بَيْنَ ٱلْمَرْءِ وَقَلْبِهِ,O He Who intervenes between man and his heart!
,وَيَا مَنْ هُوَ بِٱلْمَنْظَرِ ٱلأَعْلَىٰ وَبِٱلأُفُقِ ٱلْمُبِينِ,O He Who is in the Highest Position and in the Clear Horizon!
,وَيَا مَنْ هُوَ ٱلرَّحْمٰنُ ٱلرَّحِيمُ عَلَىٰ ٱلْعَرْشِ ٱسْتَوَىٰ,O He Who is all-beneficent and all-merciful and is established on the Throne!
,وَيَا مَنْ يَعْلَمُ خَائِنَةَ ٱلأَعْيُنِ وَمَا تُخْفِي ٱلصُّدُورُ,O He Who knows the stealthy looks and that which the breasts conceal!
,وَيَا مَنْ لاَ يَخْفَىٰ عَلَيْهِ خَافِيَةٌ,O He from Whom no secret can remain hidden!
,يَا مَنْ لاَ تَشْتَبِهُ عَلَيْهِ الأَصْوَاتُ,O He Whom is not confused by the many voices (that pray Him)!
,وَيَا مَنْ لاَ تُغَلِّطُهُ ٱلْحَاجَاتُ,O He Whom is not confounded by the many requests (that are raised to Him)!
,وَيَا مَنْ لاَ يُبْرِمُهُ إِلْحَاحُ ٱلْمُلِحِّينَ,O He Who is not annoyed by the insistence of those who entreat Him persistently!
,يَا مُدْرِكَ كُلِّ فَوْتٍ,O He Who overtakes every attempt of escape!
,وَيَا جَامِعَ كُلِّ شَمْلٍ,O Reunifier of every scattering thing!
,وَيَا بَارِئَ ٱلنُّفُوسِ بَعْدَ ٱلْمَوْتِ,O Re-originator of the souls after death!
,يَا مَنْ هُوَ كُلِّ يَوْمٍ فِي شَأُنٍ,O He Who is in a state every moment!
,يَا قَاضِيَ ٱلْحَاجَاتِ,O Grantor of requests!
,يَا مُنَفِّسَ ٱلْكُرُبَاتِ,O Reliever of agonies!
,يَا مُعْطِيَ ٱلسُّؤُلاَتِ,O Conferrer of demands!
,يَا وَلِيَّ ٱلرَّغَبَاتِ,O Bestower of desires!
,يَا كَافِيَ ٱلْمُهِمَّاتِ,O Savior from sufferings!
,يَا مَنْ يَكْفِي مِنْ كُلِّ شَيْءٍ,O He Who can save from all things
