Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُ أَكْبَرُ اللَّهُ أَكْبَرُ اللَّهُ أَكْبَرُ رَبِّيْ وَ رَبُّكَ,"Allah is the Greatest, Allah is the Greatest, Allah is the Greatest, my Lord and your Lord"
,اَللَّهُ لَا إِلَهَ إِلَّا هُوَ رَبُّ الْعَالَمِيْنَ,"Allah, there is no god except Him, the Lord of all worlds"
,اَلْحَمْدُ لِلَّهِ الَّذِيْ خَلَقَنِيْ وَ خَلَقَكَ,All praise is for Allah who created me and created you
,وَ قَدَّرَكَ فِيْ مَنَازِلِكَ,And ordained you in your stations
,وَ جَعَلَكَ آيَةً لِلْعَالَمِيْنَ,And made you a sign for all worlds
,يُبَاهِيْ اللَّهُ بِكَ الْمَلَائِكَةَ,Allah boasts about you to the angels
,اَللَّهُمَّ أَهِلَّهُ عَلَيْنَا بِالْأَمْنِ وَ الْإِيمَانِ وَ السَّلَامَةِ,"O Allah, make this moon appear upon us with security, faith, and safety"
,وَ الْإِسْلَامِ وَ الْغِبْطَةِ وَ السُّرُوْرِ وَ الْبَهْجَةِ,"And Islam, joy, happiness, and delight"
,وَ ثَبِّتْنَا عَلَى طَاعَتِكَ وَ الْمُسَارَعَةِ فِيْمَا يُرْضِيْكَ,And make us steadfast upon Your obedience and hastening towards what pleases You
,اَللَّهُمَّ بَارِكْ لَنَا فِيْ شَهْرِنَا هَذَا,"O Allah, bless us in this month of ours"
,وَ ارْزُقْنَا خَيْرَهُ وَ بَرَكَتَهُ وَ يُمْنَهُ وَ عَوْنَهُ وَ فَوْزَهُ,"And grant us its goodness, its blessings, its prosperity, its help, and its success"
,وَ اصْرِفْ عَنَّا شَرَّهُ وَ بَلَاءَهُ وَ فِتْنَتَهُ,"And turn away from us its evil, its calamities, and its trials"
,بِرَحْمَتِكَ يَا أَرْحَمَ الرَّاحِمِيْنَ,"By Your mercy, O Most Merciful of the merciful ones"
