Line ID,Original,Translation
,بِسْمِ ٱللَّهِ ٱلرَّحْمٰنِ ٱلرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful"
,إِلٰهِي مَنْ ذَا ٱلَّذِي ذَاقَ حَلاوَةَ مَحَبَّتِكَ فَرَامَ مِنْكَ بَدَلاً,"My God, who can have tasted the sweetness of Your love, then wanted another in place of You?"
,وَمَنْ ذَا ٱلَّذِي أَنِسَ بِقُرْبِكَ فَٱبْتَغَىٰ عَنْكَ حِوَلاً,"Who can have become intimate with Your nearness, then sought removal from You?"
,إِلٰهِي فَٱجْعَلْنَا مِمَّنِ ٱصْطَفَيْتَهُ لِقُرْبِكَ وَوِلايَتِكَ,"My God, place us with him whom You have chosen for Your nearness and Your friendship,"
,وَأَخْلَصْتَهُ لِوُدِّكَ وَمَحَبَّتِكَ,"purified through Your affection and Your love,"
,وَشَوَّقْتَهُ إِلَىٰ لِقَائِكَ,"given yearning for the meeting with You,"
,وَرَضَّيْتَهُ بِقَضَائِكَ,"made pleased with Your decree,"
,وَمَنَحْتَهُ بِٱلنَّظَرِ إِلَىٰ وَجْهِكَ,"granted gazing upon thy face,"
,وَحَبَوْتَهُ بِرِضَاكَ,"shown the favor of Your good pleasure,"
,وَأَعَذْتَهُ مِنْ هَجْرِكَ وَقِلاكَ,"given refuge from separation from You and Your loathing,"
,وَبَوَّأْتَهُ مَقْعَدَ ٱلصِّدْقِ فِي جِوَارِكَ,"settled in a sure sitting place in Your neighborhood,"
,وَخَصَصْتَهُ بِمَعْرِفَتِكَ,"singled out for true knowledge of You,"
,وَأَهَّلْتَهُ لِعِبَادَتِكَ,"made worthy for worship of You,"
,وَهَيَّمْتَ قَلْبَهُ لإِرَادَتِكَ,"whose heart You have captivated with Your will,"
,وَٱجْتَبَيْتَهُ لِمُشَاهَدَتِكَ,"whom You have picked for contemplating You,"
,وَأَخْلَيْتَ وَجْهَهُ لَكَ,"whose look You have made empty for You,"
,وَفَرَّغْتَ فُؤَادَهُ لِحُبِّكَ,"whose breast You have freed for Your love,"
,وَرَغَّبْتَهُ فِيمَا عِنْدَكَ,"whom You have made desirous of what is with You,"
,وَأَلْهَمْتَهُ ذِكْرَكَ,"inspired with Your remembrance,"
,وَأَوْزَعْتَهُ شُكْرَكَ,"allotted thanksgiving to You,"
,وَشَغَلْتَهُ بِطَاعَتِكَ,"occupied with obeying You,"
,وَصَيَّرْتَهُ مِنْ صَالِحِي بَرِيَّتِكَ,"turned into one of Your righteous creatures,"
,وَٱخْتَرْتَهُ لِمُنَاجَاتِكَ,"chosen for whispered prayer to You,"
,وَقَطَعْتَ عَنْهُ كُلَّ شَيْءٍ يَقْطَعُهُ عَنْكَ,and from whom You have cut off all things which cut him off from You!
,اَللَّهُمَّ ٱجْعَلْنَا مِمَّنْ دَأْبُهُمُ ٱلاِرْتِيَاحُ إِلَيْكَ وَٱلْحَنِينُ,"O Allah, place us among those whose habit is rejoicing in You and yearning for You,"
,وَدَهْرُهُمُ ٱلزَّفْرَةُ وَٱلأَنِينُ,whose time is spent in sighing and moaning!
,جِبَاهُهُمْ سَاجِدَةٌ لِعَظَمَتِكَ,"Their foreheads are bowed down before Your mightiness,"
,وَعُيُونُهُمْ سَاهِرَةٌ فِي خِدْمَتِكَ,"their eyes wakeful in Your service,"
,وَدُمُوعُهُمْ سَائِلَةٌ مِنْ خَشْيَتِكَ,"their tears flowing in dread of You,"
,وَقُلُوبُهُمْ مُتَعَلِّقَةٌ بِمَحَبَّتِكَ,"their hearts fixed upon Your love,"
,وَأَفْئِدَتُهُمْ مُنْخَلِعَةٌ مِنْ مَهَابَتِكَ,their cores shaken with awe of You.
,يَا مَنْ أَنْوَارُ قُدْسِهِ لأَبْصَارِ مُحِبِّيهِ رَائِقَةٌ,"O He the lights of whose holiness induce wonder in the eyes of His lovers,"
,وَسُبُحَاتُ وَجْهِهِ لِقُلُوبِ عَارِفِيهِ شَائِقَةٌ,the glories of whose face arouse the longing of the hearts of His knowers!
,يَا مُنَىٰ قُلُوبِ ٱلْمُشْتَاقِينَ,O Furthest Wish of the hearts of the yearners!
,وَيَا غَايَةَ آمَالِ ٱلْمُحِبِّينَ,O Utmost Limit of the hopes of the lovers!
,أَسْأَلُكَ حُبَّكَ وَحُبَّ مَنْ يُحِبُّكَ,"I ask from You love for You, love for those who love You,"
,وَحُبَّ كُلِّ عَمَلٍ يُوصِلُنِي إِلىٰ قُرْبِكَ,"love for every work which will join me to Your nearness,"
,وَأَنْ تَجْعَلَكَ أَحَبَّ إِلَيَّ مِمَّا سِوَاكَ,and that You make Yourself more beloved to me than anything other than You
,وَأَنْ تَجْعَلَ حُبِّي إِيَّاكَ قَائِداً إِلَىٰ رِضْوَانِكَ,"and make my love for You lead to Your good pleasure,"
,وَشَوْقِي إِلَيْكَ ذَائِداً عَنْ عِصْيَانِكَ,and my yearning for You protect against disobeying You!
,وَٱمْنُنْ بِٱلنَّظَرِ إِلَيْكَ عَلَيَّ,"Oblige me by allowing me to gaze upon You,"
,وَٱنْظُرْ بِعَيْنِ ٱلْوُدِّ وَٱلْعَطْفِ إِلَيَّ,"gaze upon me with the eye of affection and tenderness,"
,وَلاَ تَصْرِفْ عَنِّي وَجْهَكَ,"turn not Your face away from me,"
,وَٱجْعَلْنِي مِنْ أَهْلِ ٱلإِسْعَادِ وَٱلْحُظْوَةِ عِنْدَكَ,and make me one of the people of happiness with You and favored position!
,يَا مُجِيبُ يَا أَرْحَمَ ٱلرَّاحِمِينَ,"O Responder, O Most Merciful of the merciful!"
