Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Gracious, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَهُمَّ إِنِّيْ أَخْلَصْتُ بِانْقِطَاعِيْ إِلَيْكَ,"O Allah, I have devoted myself sincerely by cutting off all attachments except to You"
,وَأَقْبَلْتُ بِكُلِّيْ عَلَيْكَ,And I have turned my entire being towards You
,وَصَرَفْتُ وَجْهِيْ عَمَّنْ يَحْتَاجُ إِلَى رِفْدِكَ,And I have turned my face away from those who need Your support
,وَقَلَبْتُ مَسْأَلَتِيْ عَمَّنْ لَمْ يَسْتَغْنِ عَنْ فَضْلِكَ,And I have redirected my requests from those who are not free from needing Your grace
,وَرَأَيْتُ أَنَّ طَلَبَ الْمُحْتَاجِ إِلَى الْمُحْتَاجِ,And I have realized that a needy person asking from another needy person
,سَفَهٌ مِنْ رَأْيِهِ وَضَلَّةٌ مِنْ عَقْلِهِ,Is foolishness in their opinion and a misguidance in their intellect
,فَكَمْ قَدْ رَأَيْتُ يَا إِلَهِي,"How many, O my God, have I seen"
,مِنْ أُنَاسٍ طَلَبُوْا الْعِزَّ بِغَيْرِكَ فَذَلُّوْا,"People who sought honor from other than You, only to be humiliated"
,وَرَامُوْا الثَّرْوَةَ مِنْ سِوَاكَ فَافْتَقَرُوْا,"And sought wealth from other than You, only to become impoverished"
,وَحَاوَلُوْا الِارْتِفَاعَ فَاتَّضَعُوْا,"And attempted to elevate themselves, only to be lowered"
,فَصَحَّ بِمُعَايَنَةِ أَمْثَالِهِمْ حَازِمٌ,So a wise person learns from witnessing their examples
,وَفَّقَهُ اعْتِبَارُهُ,Guided by his consideration
,وَأَرْشَدَهُ إِلَى طَرِيقِ صَوَابِهِ اخْتِيَارُهُ,And directed to the path of correctness by his choice
,فَأَنْتَ يَا مَوْلَايَ,"So You, O my Master"
,دُوْنَ كُلِّ مَسْؤُولٍ مَوْضِعُ مَسْأَلَتِي,"Are, before anyone else who could be asked, the place for my request"
,وَدُوْنَ كُلِّ مَطْلُوبٍ إِلَيْهِ وَلِيُّ حَاجَتِي,"And before anyone else who could be sought, the guardian of my need"
,أَنْتَ الْمَخْصُوصُ قَبْلَ كُلِّ مَدْعُوٍّ بِدَعْوَتِي,"You are exclusively, before anyone who could be called, the recipient of my call"
,لَا يَشْرَكُكَ أَحَدٌ فِيْ رَجَائِي,No one shares with You in my hope
,وَلَا يَتَّفِقُ أَحَدٌ مَعَكَ فِيْ دُعَائِي,And no one joins with You in my supplication
,وَلَا يَنْظِمُهُ وَإِيَّاكَ نِدَائِي,And my call does not include anyone alongside You
,لَكَ يَا إِلَهِيْ وَحْدَانِيَّةُ الْعَدَدِ,"To You, O my God, belongs the uniqueness of number"
,وَمَلَكَةُ الْقُدْرَةِ الصَّمَدِ,And the possession of everlasting power
,وَفَضِيلَةُ الْحَوْلِ وَالْقُوَّةِ,And the excellence of might and strength
,وَدَرَجَةُ الْعُلُوِّ وَالرِّفْعَةِ,And the highest degree of eminence and elevation
,وَمَنْ سِوَاكَ مَرْحُومٌ فِيْ عُمْرِهِ,And anyone other than You is limited in their lifespan
,مَغْلُوبٌ عَلَى أَمْرِهِ، مَقْهُورٌ عَلَى شَأْنِهِ,"Overpowered in their affairs, subjugated in their condition"
,مُخْتَلِفُ الْحَالَاتِ، مُتَنَقِّلٌ فِيْ الصِّفَاتِ,"Changing in states, transforming in attributes"
,فَتَعَالَيْتَ عَنِ الْأَشْبَاهِ وَالْأَضْدَادِ,You are exalted above similarities and opposites
,وَتَكَبَّرْتَ عَنِ الْأَمْثَالِ وَالْأَنْدَادِ,And You are greater than any comparisons or equals
,فَسُبْحَانَكَ لَا إِلَهَ إِلَّا أَنْتَ,"Glory be to You, there is no god but You"
