Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, bless Muhammad and the family of Muhammad"
,إِلٰهِيْ كَسْرِيْ لَا يَجْبُرُهُ إِلَّا لُطْفُكَ وَحَنَانُكَ,"My God, my brokenness cannot be mended except by Your kindness and compassion"
,وَفَقْرِيْ لَا يُغْنِيهِ إِلَّا عَطْفُكَ وَإِحْسَانُكَ,And my poverty cannot be enriched except by Your sympathy and favor
,وَرَوْعَتِيْ لَا يُسَكِّنُهَا إِلَّا أَمَانُكَ,And my fear cannot be calmed except by Your security
,وَذِلَّتِيْ لَا يُعِزُّهَا إِلَّا سُلْطَانُكَ,And my humiliation cannot be honored except by Your authority
,وَأُمْنِيَتِيْ لَا يُبَلِّغُنِيهَا إِلَّا فَضْلُكَ,And my wishes cannot be fulfilled except by Your grace
,وَخَلَّتِيْ لَا يَسُدُّهَا إِلَّا طَوْلُكَ,And my needs cannot be satisfied except by Your generosity
,وَحَاجَتِيْ لَا يَقْضِيهَا غَيْرُكَ,And my request cannot be granted by anyone other than You
,وَكَرْبِيْ لَا يُفَرِّجُهُ سِوَىٰ رَحْمَتِكَ,And my distress cannot be relieved except by Your mercy
,وَضُرِّيْ لَا يَكْشِفُهُ غَيْرُ رَأْفَتِكَ,And my harm cannot be removed except by Your compassion
,وَغُلَّتِيْ لَا يُبَرِّدُهَا إِلَّا وَصْلُكَ,And my burning thirst cannot be quenched except by Your connection
,وَلَوْعَتِيْ لَا يُطْفِيهَا إِلَّا لِقَاؤُكَ,And my anguish cannot be extinguished except by meeting You
,وَشَوْقِيْ إِلَيْكَ لَا يَبُلُّهُ إِلَّا النَّظَرُ إِلَى وَجْهِكَ,And my longing for You cannot be satisfied except by gazing at Your face
,وَقَرَارِيْ لَا يَقِرُّ دُوْنَ دُنُوِّيْ مِنْكَ,And my restlessness cannot be settled without being near to You
,وَلَهْفَتِيْ لَا يَرُدُّهَا إِلَّا رَوْحُكَ,And my yearning cannot be repelled except by Your comfort
,وَسُقْمِيْ لَا يَشْفِيْهِ إِلَّا طِبُّكَ,And my illness cannot be healed except by Your medicine
,وَغَمِّيْ لَا يُزِيلُهُ إِلَّا قُرْبُكَ,And my sorrow cannot be removed except by Your nearness
,وَجُرْحِيْ لَا يُبْرِئُهُ إِلَّا صَفْحُكَ,And my wound cannot be cured except by Your forgiveness
,وَرَيْنُ قَلْبِيْ لَا يَجْلُوهُ إِلَّا عَفْوُكَ,And the rust of my heart cannot be polished except by Your pardon
,وَوَسْوَاسُ صَدْرِيْ لَا يُزِيحُهُ إِلَّا أَمْرُكَ,And the whispers of my chest cannot be dispelled except by Your command
,فَيَا مُنْتَهَىٰ أَمَلِ الْآمِلِينَ,O Ultimate Goal of those who hope
,وَيَا غَايَةَ سُؤْلِ السَّائِلينَ,O Highest Aim of those who ask
,وَيَا أَقْصَىٰ طَلِبَةِ الطَّالِبِيْنَ,O Furthest Desire of those who seek
,وَيَا أَعْلَى رَغْبَةِ الرَّاغِبِينَ,O Greatest Wish of those who yearn
,وَيَا وَلِيَّ الصَّالِحِيْنَ,O Guardian of the righteous
,وَيَا أَمَانَ الْخَائِفِينَ,O Security of the fearful
,وَيَا مُجِيبَ دَعْوَةِ الْمُضْطَرِّينَ,O Answerer of the prayers of the distressed
,وَيَا ذُخْرَ الْمُعْدِمِيْنَ,O Treasure of the destitute
,وَيَا كَنْزَ الْبَائِسِينَ,O Wealth of the wretched
,وَيَا غِيَاثَ الْمُسْتَغِيثِينَ,O Helper of those who seek help
,وَيَا قَاضِيَ حَوَائِجِ الْفُقَرَاءِ وَالْمَسَاكِينِ,O Fulfiller of the needs of the poor and needy
,وَيَا أَكْرَمَ الْاَكْرَمِيْنَ,O Most Generous of the generous
,وَيَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of the merciful
,لَكَ تَخَضُّعِيْ وَسُؤَالِي,To You is my humility and my request
,وَإِلَيْكَ تَضَرُّعِيْ وَابْتِهَالِي,And to You is my pleading and my supplication
,أَسْأَلُكَ أَنْ تُنِيلَنِيْ مِنْ رَوْحِ رِضْوَانِكَ,I ask You to grant me the comfort of Your pleasure
,وَتُدِيمَ عَلَيَّ نِعَمَ امْتِنَانِكَ,And to make lasting upon me the blessings of Your favors
,وَهَا أَنَا بِبَابِ كَرَمِكَ وَاقِفٌ,Here I am standing at the door of Your generosity
,وَلِنَفَحَاتِ بِرِّكَ مُتَعَرِّضٌ,Exposing myself to the breeze of Your benevolence
,وَبِحَبْلِكَ الشَّدِيْدِ مُعْتَصِمٌ,Holding fast to Your strong rope
,وَبِعُرْوَتِكَ الْوُثْقَىٰ مُتَمَسِّكٌ,And grasping Your firm handhold
,إِلٰهِيْ اِرْحَمْ عَبْدَكَ الذَّلِيلَ,"My God, have mercy on Your humble servant"
,ذَا اللِّسَانِ الْكَلِيلِ,With the weary tongue
,وَالْعَمَلِ الْقَلِيلِ,And the little deeds
,وَامْنُنْ عَلَيْهِ بِطَوْلِكَ الْجَزِيلِ,And bestow upon him Your abundant grace
,وَاكْنُفْهُ تَحْتَ ظِلِّكَ الظَّلِيلِ,And shelter him under Your shading protection
,يَا كَرِيمُ يَا جَمِيلُ,"O Generous One, O Beautiful One"
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of the merciful
