line id verse number,urdu transliteration text,english translation text
,"AAO TABOOT MOHAMMAD KA UTHAAO LOGOOH PEOPLE, COME AND CARRY THE COFFIN OF MUHAMMADEnglish Transliteration
@HujjatELC",
,"SAARI DUNIYA KO WAFADARI, SIKHAAO LOGOAAO TABOOT MOHAMMAD KA UTHAO LOGO
@HujjatELC","TEACH THE WHOLE WORLD THE MEANING OF LOYALTY,
OH PEOPLE, COME AND CARRY THE COFFIN OF MUHAMMAD"
,"JIS AQEEDAT SE BAPA KARTE HO MILAD E NABIFARSH E GHUM WESE MOHAMMAD KA, BICHAAO LOGO
@HujjatELC","WITH THE DEVOTION YOU CELEBRATE THE BIRTH OF THE PROPHET,
O PEOPLE, IN THE SAME WAY COMMEMORATE THE DEMISE OF MUHAMMAD"
,"YE SAFAY GHUM HAI MOHAMMAD KI YAHA(N) FARK NAHIHA ISI SAFF PE ZAMAANE KO, BULAAO LOGO
@HujjatELC","THIS IS A GATHERING TO MOURN FOR THE PROPHET,
O PEOPLE, INVITE EVERYONE TO THIS GATHERING TO MOURN FOR MUHAMMAD (SAW)"
,"GHAR MEIN HAI FATEMA ZEHRA KE ANDHERA CHAAYAAAJ KI RAAT CHARAGHO'N KO, BUJHAAO LOGO
O PEOPLE, PUT OUT THE CANDLES TONIGHT
@HujjatELC",THERE IS DARKNESS IN THE HOUSE OF FATIMA (AS)
,"KHAAKE PATTHAR BHI JO UMMAT KO DUA DETE RAHEAISE MOHSIN KA NA EHSAAN, BHULAAO LOGO
@HujjatELC","EVEN AFTER BEING STONED, HE CARRIED ON PRAYING FOR THE UMMAH
O PEOPLE, NEVER FORGET THE FAVOURS OF THIS BENEVOLENT MAN"
,"APNE GHUM BHOOL KE DETI HAI KHADIJA YE SADAAASU ZEHRA KI YATEEMI PE, BAHAAO LOGO
FORGETTING HER OWN PAIN, KHADIJA CALLED OUT
@HujjatELC","O PEOPLE, SHED TEARS FOR ZAHRA HAS BECOME AN ORPHAN NOW"
,"GHUM MEIN MAZLOOM KE RONA HAI NABI KI SUNNATYE HAQIQAT NA ZAMANE SE, CHUPAAO LOGO
@HujjatELC","IT IS THE SUNNAH OF THE PROPHET TO CRY FOR THE OPPRESSED
O PEOPLE, DO NOT HIDE THIS REALITY FROM ANYONE"
,"KYU HO KHAMOSH BAQAIYYA KE UJAR JAANE PARAPNE SARKAAR KO AISE NA, RULAAO LOGO
@HujjatELC","WHY ARE YOU QUIET AFTER THE DESTRUCTION OF BAQEE
O PEOPLE, DO NOT MAKE THE PROPHET CRY"
,"APNE BABA KI JUDAYI MEIN JO CHHUP KAR ROYIDIL USI FATEMA ZEHRA KA, BARHAAO LOGO
O PEOPLE, COME & GIVE FATIMA ZAHRA (AS) SOME SUPPORT
@HujjatELC",SHE USED TO CRY SECRETLY AFTER BEING SEPARATED FROM HER FATHER
,"BAAD BABA KE JISE HAQ NA MILA DUNIYA SEUSKE HAQ KE LIYE AWAAZ, UTHAAO LOGO
@HujjatELC","AFTER HER FATHER’S DEATH, SHE DID NOT GET WHAT WAS RIGHTFULLY HERS,
O PEOPLE, FOR THIS RIGHT OF HERS SPEAK UP"
