line id verse number,urdu transliteration text,english translation text
,When the Caravan returned to MadinaBibi Zainab started narrating the martyrdom of Imam Husein to Bibi Ummul Baneen,
,"Pohche Jo Madine Me Sajjad Karwan Lekar
Ummul Baneen Pe Jo Zainab Ki Pari Nazar",Sajjad Reached Madina With The Caravan. Zainab's eyes fell upon Ummul Baneen
,,"Zainab Embraced Her And Cried Forcefully, ""I Was Unable To Save My Brother""
Zainab Lipat Ke Baahon Me Besakhta Ro-pari. Amma Me Apne Bhaayi Ko Bacha Nahi-saki"
,"Me Dekhti He Rehgayi Katta Tha Us Ka Sar
Sattar Kadam Ka Fasla, Bhai Bahan Mein Tha",“I Watched Helpless As He Was Beheaded” There Was Only 70 Steps Between This Brother And Sister
,"Zalim  Mere Husain  Ke Seene Pe Tha Sawar
Gin Gin Ke Kar Raha Tha Woh Pyase Gale Pe War",The Oppressor Was Mounted On The Chest Of Hussain. Every Attack On His Neck Was Counted
,"The Accursed Repeatedly Laughed Upon My Misfortune
Hasta Tha Bar Bar Laien  Mere Bain Par
Khanjar Chal Raha Tha Meri Simt Dekh Kar",
,"Aanknon Ke Saamne Mere Bhai Ka Sar Kata
Sattar Kadam Ka Fasla, Bhai Bahan Mein Tha",My Brothers Head Was Cut In Front Of My Eyes. There Was Only 70 Steps Between This Brother And Sister
,"Har War Par Sadaiyen Di Zehra Ke Chain Ne
Gazi Ko Terah Baar Pukara Husain  Ne","With Every Attack, Zehra's Beloved Called Out. Hussain Called For Abbas 13 Times"
,"Jan E Batool Ko Bhi Bacha Ne Na Aaonge
Bhai Hamari Lash Utha Ne Na Aaonge","""Will You Not Come To Save The Beloved Of Batool?” ""Brother, Will You Not Come To Raise My Mayyit?"""
,"Bhai Ki Har Sada Pe, Tadapta Tha Bawafa Sattar Kadam Ka Fasla, Bhai Bahan Mein Tha.","With Every Cry Of Hussain, The Bewafa Became Restless. There Was Only 70 Steps Between This Brother And Sister"
,"Bosa Gahe Rasool Jub Zibha Kar Chuka. Zulfon Se Sar Utha Liya, Mere Husain Ka",When The Place Where The Prophet Used To Kiss (Neck) Was Severed. The Head Was Picked Up  By The Hair Of Hussain
,Is Baat Par Bhi Zalimon Ke Dil Nahi Bhare Saidaniyon Ke Maut Ke Asbab Yun Kiye,"Even With This Sight, The Oppressors Were Not Satisfied. To Add To The Tragedy Of The Moment,"
,"Sar Ko Dar E Khayam Pe Lakar Gira Diya.
Sattar Kadam Ka Fasla, Bhai Bahan Mein Tha",The Blessed Head Of Hussain Was Thrown In Front Of The Tents. There Was Only 70 Steps Between This Brother And Sister
,Hoti Thi Zakmi Jis Ghadi Amma Ki Ungliyan Ro Kar Yeh Bain Karte The SHABBIR  Na Tawan,When The Fingers Of Our Mother (Fatima) Were About To Be Cut. Shabbir Called Out In Agony
,"Aaye shimr  Mera Sar Jo Tu Chahe Kaat Le
Amma Ka Hath Mujhko Gale Se Hata Ne De","""Oh Shimr, If You Want To Cut My Head, So Be It”. ""Allow Me To At Least Remove The Hand Of My Mother!"""
,"Lekin Laieen Shimr Ka Khanjar  Nahi Ruka
Sattar Kadam Ka Fasla, Bhai Bahan Mein Tha","Alas, Shimr's Dagger Didn't Stop. There Was Only 70 Steps Between This Brother And Sister"
