line id verse number,urdu transliteration text,english translation text
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Shabbir Ka Tum Sadka Ho, Ab Khaime Mai Beta, Tum Laut KarNa Aana","YOU HAVE BEEN SACRIFICED FOR SHABBIR (A.S), NOW O MY SONS, DO NOT RETURN TO THE TENTS"
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Hai Maa Ko Yaqeen, Tum Maa Ki Baat Rakhoge,",YOUR MOTHER HAS CONFIDENCE THAT YOU WOULD LISTEN TO HER
,"Yeh Yaad Rahe, Khaimo Mai Hai Pyaase Bache,",REMEMBER THAT THERE ARE THIRSTY CHILDREN IN THE TENTS
,"Dariya Pe Agar Jaana Ho, Seh Roz Ke Pyaaso, Tum Pyaas Na Bujhaana","IF YOU REACH THE RIVER, Oh MY THIRSTY CHILDREN, DO NOT QUENCH YOUR THIRST"
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Har Haal Pe Tum Par, Laazim Hai Shukr Khuda Ka,",YOU ARE OBLIGATED TO THANK GOD AT EVERY SITUATION
,"Aye Shehzaadon, Hai Sabr Tumhaara Virsaa,","O MY PRINCES’, PATIENCE IS YOUR INHERITTANCE"
,"Farzand Ho Tum Zainab Ke, Shikwa Nahi Karna, Jab Zakhm Koi Khaana","YOU ARE THE BOYS OF ZAINAB (A.S), DO NOT COMPLAIN WHEN YOU ARE INFLICTED WITH ANY INJURY"
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Kab Ham Pe Sitam, Karne Ke Liye Aaye Hai,",WHEN HAVE THEY COME TO INFLICT PAIN ON US?
,"Yeh Badro-Ohad Ke, Badle Ke Liye Aaye Hai",THEY HAVE ACTUALLY COME TO AVENGE THE BATTLES OF BADR AND UHuD
,"Laazim Hai Rajaz Se Pehle, Maidaan Mai Tum Par, Madhe-Ali Sunaana","BEFORE YOU ENTER THE BATTLEFIELD, YOU ARE OBLIGATED TO SING THE PRAISES OF ALI (A.S)"
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Jab Saans Tumhaari, Bacho Ho Utarne Waali,","WHEN YOU ARE ABOUT TO BREATHE YOUR LAST, O MY SONS…"
,"Uss Waqt Sirhaane, Aayegi Maadar Meri,","AT THAT TIME, MY MOTHER (BIBI FATIMA) WILL BE PRESENT BESIDES YOU"
,"Dil Ki Yeh Meri Khwaahish Hai, Uss Dam Meri Maa Se, Zakhmon Ko Tum Chhupaana",it IS MY EARNEST REQUEST FOR YOU TO PLEASE HIDE YOUR INJURIES FROM HER AT THAT TIME
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Qaatil Pe Karam, Nana Ki Tarha Kardena,","HAVE MERCY ON YOUR KILLER, THE WAY YOUR GRANDFATHER DID"
,"Yun Laaj Mere, Bhai Ke Naam Ki Rakhna,","THIS WAY, YOU WOULD KEEP THE RESPECT OF MY BROTHER’S NAME"
,"Jo Waasta De Bhai Ka, Maidaan Pe Uss Par, Tum Tegh Na Chalaana","ANYONE ON THE BATTLEFIELD, WHO PLEADS USING MY BROTHER’S NAME, DO NOT ATTACK HIM"
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Jab Laashe Uthaakar, Khaime Mai Laaye Sarwar,",WHEN SARWAR (IMAM HUSSAIN) BROUGHT THE CORPSES OF THE BOYS TO THE TENT
,"Zainab Yeh Boli, Askhon Ko Apne Chhupaakar,","ZAINAB (A.S) SAID, HIDING HER TEARS…"
,"Mai Bhi Na Tumhe Rowungi, Aur Mere Liye Bhi, Aansu Na Tum Bahaana",“I WILL NOT CRY FOR YOU…AND YOU DO NOT SHED TEARS FOR ME TOO”
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Taazeem Ki Khaatir, Kyun Uthte Nahi Ab Beta,","WHY HAVEN’T YOU STOOD UP OUT OF RESPECT, Oh MY SONS?"
,"Dekho Toh Sirhaane, Aaye Hai Mere Bhayya,",LOOK MY BROTHER HAS COME BESIDES YOU
,"Jaago Mere Shehzaado, Kya Bhoolgaye Ho, Qadmo Pe Sar Jhukaana","WAKE UP, O MY PRINCES’, HAVE YOU FORGOTTEN TO BOW YOUR HEADS ON HIS FEET?"
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
,"Shabaash Mere, Bacho Hun Mai Tumse Raazi,",“BRAVO MY SONS! YOUR MOTHER IS PLEASED WITH YOU”
,"Yeh Kehke Takallum, Khamosh Huwi Shahzaadi,
SAYING THIS, PRINCESS
(ZAINAB A.S) BECAME SILENT…",
,"Nezo Pe Safar Karke, Hamraah Hamaare, Tumko Hai Shaam Jaana","“WITH YOUR HEADS ON SPEARS, YOU WILL BE ACCOMPANYING US ALL THE WAY TO SHAAM”"
,Aye aun-o-muhammad,OH AUN AND MUHAMMAD
